cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_BC_British_Colombia,CD_NT_The_Territories,OVERLAPS,0.0001,0.0004,0.0001,402696802.88
CD_MB_Manitoba,CD_MB_Extension,OVERLAPS,0.532,0.7446,0.6507,100386759924.08
CD_MB_Manitoba,CD_NT_The_Territories,OVERLAPS,0.0,0.0024,0.0,325638763.25
CD_NT_The_Territories,CD_ON_Algoma,OVERLAPS,0.0276,0.0282,0.5785,205440219660.87
CD_NT_The_Territories,CD_QC_St._Maurice,OVERLAPS,0.0001,0.0001,0.0793,533268878.58
CD_NT_The_Territories,CD_MB_Lisgar,OVERLAPS,0.0,0.0,0.0029,18559404.02
CD_NT_The_Territories,CD_MB_Extension,OVERLAPS,0.0073,0.0074,0.3493,53888319727.53
CD_NT_The_Territories,CD_BC_Yale,OVERLAPS,0.0,0.0,0.0,5220.8
CD_NT_The_Territories,CD_BC_Cariboo,OVERLAPS,0.0,0.0,0.001,335553105.09
CD_NT_The_Territories,CD_BC_New_Westminster,OVERLAPS,0.0,0.0,0.0,12971049.83
"CD_ON_Brant,_North_or_East—Nord_ou_Est","CD_ON_Brant,_South—Sud",OVERLAPS,0.1681,0.2989,0.2776,196181063.08
CD_ON_Carleton,"CD_ON_Ottawa,_City—Cité",OVERLAPS,0.0025,0.0025,0.3223,4455046.28
"CD_ON_Elgin,_West—Ouest","CD_ON_Elgin,_East—Est",OVERLAPS,0.0001,0.0003,0.0003,260617.79
"CD_ON_Grey,_North—Nord","CD_ON_Grey,_East—Est",OVERLAPS,0.2375,0.3599,0.4113,907717456.97
"CD_ON_Grey,_South—Sud","CD_ON_Grey,_East—Est",OVERLAPS,0.3754,0.5088,0.5887,1299331526.19
CD_ON_Haldimand,CD_ON_Monck,OVERLAPS,0.0366,0.0685,0.073,74699198.94
CD_ON_Hamilton,"CD_ON_Wentworth,_South—Sud",OVERLAPS,0.0,0.0009,0.0,11178.7
"CD_ON_Huron,_North—Nord","CD_ON_Huron,_Centre",OVERLAPS,0.3716,0.4026,0.8283,915476930.28
"CD_ON_Huron,_South—Sud","CD_ON_Huron,_Centre",OVERLAPS,0.0846,0.143,0.1717,189722436.74
"CD_ON_Leeds,_South—Sud","CD_ON_Lanark,_South—Sud",OVERLAPS,0.0535,0.0933,0.1114,180052737.3
"CD_ON_Middlesex,_West—Ouest","CD_ON_Middlesex,_North—Nord",OVERLAPS,0.0,0.0001,0.0,54592.44
"CD_ON_Nipissing,_North—Nord","CD_ON_Renfrew,_South—Sud",OVERLAPS,0.0022,0.0026,0.0165,87405502.5
"CD_ON_Nipissing,_North—Nord","CD_ON_Renfrew,_North—Nord",OVERLAPS,0.0145,0.0161,0.128,540774660.64
"CD_ON_Nipissing,_North—Nord",CD_ON_Muskoka,OVERLAPS,0.0584,0.0807,0.1751,2714303888.69
"CD_ON_Nipissing,_North—Nord",CD_ON_Algoma,OVERLAPS,0.0846,0.9007,0.0853,30310915935.54
