cd_id,year,province,cd_name
CD_ON_Brant,1851,ON,Brant
CD_ON_Leeds,1851,ON,Leeds
CD_ON_Bruce,1851,ON,Bruce
CD_ON_Carleton,1851,ON,Carleton
CD_ON_Wellington,1851,ON,Wellington
CD_ON_Simcoe,1851,ON,Simcoe
CD_ON_Dundas,1851,ON,Dundas
CD_ON_Durham,1851,ON,Durham
CD_ON_Elgin,1851,ON,Elgin
CD_ON_Essex,1851,ON,Essex
CD_ON_Frontenac,1851,ON,Frontenac
CD_ON_Glengary,1851,ON,Glengary
CD_ON_Grenville,1851,ON,Grenville
CD_ON_Grey,1851,ON,Grey
CD_ON_Haldimand,1851,ON,Haldimand
CD_ON_Halton,1851,ON,Halton
CD_ON_Hastings,1851,ON,Hastings
CD_ON_Huron,1851,ON,Huron
CD_ON_Kent,1851,ON,Kent
CD_ON_Lambton,1851,ON,Lambton
CD_ON_Lanark,1851,ON,Lanark
CD_ON_Lennox,1851,ON,Lennox
CD_ON_Addington,1851,ON,Addington
CD_ON_Lincoln,1851,ON,Lincoln
CD_ON_Middlesex,1851,ON,Middlesex
CD_ON_Norfolk,1851,ON,Norfolk
CD_ON_Northumberland,1851,ON,Northumberland
CD_ON_Ontario,1851,ON,Ontario
CD_ON_Oxford,1851,ON,Oxford
CD_ON_Peel,1851,ON,Peel
CD_ON_Perth,1851,ON,Perth
CD_ON_Peterboro,1851,ON,Peterboro
CD_ON_Prescott,1851,ON,Prescott
CD_ON_Prince_Edward,1851,ON,Prince Edward
CD_ON_Renfrew,1851,ON,Renfrew
CD_ON_Russell,1851,ON,Russell
CD_ON_Waterloo,1851,ON,Waterloo
CD_ON_Wentworth,1851,ON,Wentworth
CD_ON_Welland,1851,ON,Welland
CD_ON_Stormont,1851,ON,Stormont
CD_ON_Victoria,1851,ON,Victoria
CD_ON_York,1851,ON,York
CD_ON_Hamilton,1851,ON,Hamilton
"CD_ON_Kingston,_City",1851,ON,"Kingston, City"
CD_ON_Bytown,1851,ON,Bytown
CD_ON_London,1851,ON,London
"CD_ON_Toronto,_City",1851,ON,"Toronto, City"
CD_NT_The_Territories,1851,NT,The Territories
CD_NL_Newfoundland,1851,NL,Newfoundland
CD_PE_Prince_Edward_Island,1851,PE,Prince Edward Island
CD_NS_Nova_Scotia,1851,NS,Nova Scotia
CD_NB_New_Brunswick,1851,NB,New Brunswick
CD_QC_Two_Mountains,1851,QC,Two Mountains
CD_QC_Drummond,1851,QC,Drummond
CD_QC_St._Hyacinthe,1851,QC,St. Hyacinthe
CD_QC_Dorchester,1851,QC,Dorchester
CD_QC_Megantic,1851,QC,Megantic
CD_QC_Beauharnois,1851,QC,Beauharnois
CD_QC_Bellechasse,1851,QC,Bellechasse
CD_QC_Berthier,1851,QC,Berthier
CD_QC_Bonaventure,1851,QC,Bonaventure
CD_QC_Stanstead,1851,QC,Stanstead
CD_QC_Shefford,1851,QC,Shefford
CD_QC_Missisquoi,1851,QC,Missisquoi
CD_QC_Chambly,1851,QC,Chambly
CD_QC_Verchères,1851,QC,Verchères
CD_QC_Champlain,1851,QC,Champlain
CD_QC_Saguenay,1851,QC,Saguenay
CD_QC_Huntingdon,1851,QC,Huntingdon
CD_QC_Sherbrooke,1851,QC,Sherbrooke
CD_QC_Gaspé,1851,QC,Gaspé
CD_QC_Montréal,1851,QC,Montréal
CD_QC_Kamouraska,1851,QC,Kamouraska
CD_QC_Outaouais,1851,QC,Outaouais
CD_QC_Leinster,1851,QC,Leinster
CD_QC_Terrebonne,1851,QC,Terrebonne
CD_QC_L’Islet,1851,QC,L’Islet
CD_QC_Lotbinière,1851,QC,Lotbinière
CD_QC_St._Maurice,1851,QC,St. Maurice
CD_QC_Rouville,1851,QC,Rouville
CD_QC_Montmorenci,1851,QC,Montmorenci
"CD_QC_Montréal,_cité",1851,QC,"Montréal, cité"
CD_QC_Nicolet,1851,QC,Nicolet
CD_QC_Portneuf,1851,QC,Portneuf
"CD_QC_Québec,_cité",1851,QC,"Québec, cité"
CD_QC_Québec,1851,QC,Québec
CD_QC_Richelieu,1851,QC,Richelieu
CD_QC_Rimouski,1851,QC,Rimouski
CD_QC_Vaudreuil,1851,QC,Vaudreuil
CD_QC_Yamaska,1851,QC,Yamaska
CD_ON_Brant,1861,ON,Brant
CD_ON_Leeds,1861,ON,Leeds
CD_ON_Bruce,1861,ON,Bruce
CD_ON_Carleton,1861,ON,Carleton
CD_ON_Wellington,1861,ON,Wellington
CD_ON_Grey,1861,ON,Grey
CD_ON_Simcoe,1861,ON,Simcoe
CD_ON_Dundas,1861,ON,Dundas
CD_ON_Durham,1861,ON,Durham
CD_ON_Elgin,1861,ON,Elgin
CD_ON_Essex,1861,ON,Essex
CD_ON_Frontenac,1861,ON,Frontenac
CD_ON_Glengary,1861,ON,Glengary
CD_ON_Grenville,1861,ON,Grenville
CD_ON_Haldimand,1861,ON,Haldimand
CD_ON_Halton,1861,ON,Halton
CD_ON_Hamilton,1861,ON,Hamilton
CD_ON_Hastings,1861,ON,Hastings
CD_ON_Huron,1861,ON,Huron
CD_ON_Kent,1861,ON,Kent
CD_ON_Kingston,1861,ON,Kingston
CD_ON_Lambton,1861,ON,Lambton
CD_ON_Lanark,1861,ON,Lanark
CD_ON_Lennox_and_Addington,1861,ON,Lennox and Addington
CD_ON_Lincoln,1861,ON,Lincoln
CD_ON_Middlesex,1861,ON,Middlesex
CD_ON_Victoria,1861,ON,Victoria
CD_ON_Nipissing,1861,ON,Nipissing
CD_ON_Norfolk,1861,ON,Norfolk
CD_ON_Northumberland,1861,ON,Northumberland
CD_ON_Ontario,1861,ON,Ontario
CD_ON_Ottawa,1861,ON,Ottawa
CD_ON_Oxford,1861,ON,Oxford
CD_ON_Peel,1861,ON,Peel
CD_ON_Perth,1861,ON,Perth
CD_ON_Peterborough,1861,ON,Peterborough
CD_ON_Prescott,1861,ON,Prescott
CD_ON_Prince_Edward,1861,ON,Prince Edward
CD_ON_Renfrew,1861,ON,Renfrew
CD_ON_Renfew,1861,ON,Renfew
CD_ON_Russell,1861,ON,Russell
CD_ON_London,1861,ON,London
CD_ON_Waterloo,1861,ON,Waterloo
CD_ON_Wentworth,1861,ON,Wentworth
CD_ON_Welland,1861,ON,Welland
CD_ON_Stormont,1861,ON,Stormont
CD_ON_Toronto,1861,ON,Toronto
CD_ON_York,1861,ON,York
CD_ON_Algoma,1861,ON,Algoma
CD_NL_Newfoundland,1861,NL,Newfoundland
CD_PE_Prince_Edward_Island,1861,PE,Prince Edward Island
CD_NS_Nova_Scotia,1861,NS,Nova Scotia
CD_NB_New_Brunswick,1861,NB,New Brunswick
CD_NT_The_Territories,1861,NT,The Territories
CD_QC_Argenteuil,1861,QC,Argenteuil
