cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_NB_New_Brunswick,CD_NB_New_Brunswick,SAME_AS,1.0,1.0,1.0,74118400927.67
CD_NL_Newfoundland,CD_NL_Newfoundland,SAME_AS,1.0,1.0,1.0,111661003634.19
CD_NS_Nova_Scotia,CD_NS_Nova_Scotia,SAME_AS,1.0,1.0,1.0,58128852430.55
CD_NT_The_Territories,CD_ON_Nipissing,CONTAINS,0.0065,0.0065,1.0,55154873448.17
CD_NT_The_Territories,CD_ON_Algoma,CONTAINS,0.0128,0.0128,0.9999,109483691852.35
CD_NT_The_Territories,CD_NT_The_Territories,WITHIN,0.9785,0.9785,1.0,8345738678986.41
CD_ON_Addington,CD_ON_Lennox_and_Addington_,WITHIN,0.3636,1.0,0.3636,1131156230.42
CD_ON_Brant,CD_ON_Brant,CONTAINS,0.2505,0.2505,1.0,292263617.69
CD_ON_Brant,CD_ON_Brant_,CONTAINS,0.7495,0.7495,1.0,874630275.68
CD_ON_Bruce,CD_ON_Bruce,WITHIN,0.647,1.0,0.647,2810459033.86
CD_ON_Bytown,CD_ON_Ottawa,WITHIN,0.686,1.0,0.686,8199758.93
CD_ON_Carleton,CD_ON_Carleton,SAME_AS,0.9985,0.9985,1.0,2564586995.38
CD_ON_Dundas,CD_ON_Dundas,SAME_AS,1.0,1.0,1.0,1062423486.58
CD_ON_Durham,CD_ON_Durham_,SAME_AS,1.0,1.0,1.0,1822075607.33
CD_ON_Elgin,CD_ON_Elgin,SAME_AS,1.0,1.0,1.0,1993591947.46
CD_ON_Essex,CD_ON_Essex,SAME_AS,1.0,1.0,1.0,1994187140.82
CD_ON_Glengary,CD_ON_Glengary_,SAME_AS,1.0,1.0,1.0,1300967157.42
CD_ON_Grenville,CD_ON_Grenville_,SAME_AS,1.0,1.0,1.0,1266470775.91
CD_ON_Grey,CD_ON_Grey,CONTAINS,0.768,0.768,1.0,5075658433.54
CD_ON_Haldimand,CD_ON_Haldimand,SAME_AS,1.0,1.0,1.0,1346964345.98
CD_ON_Halton,CD_ON_Halton,SAME_AS,1.0,1.0,1.0,1022520353.3
CD_ON_Hamilton,CD_ON_Hamilton,SAME_AS,1.0,1.0,1.0,12852054.23
CD_ON_Hastings,CD_ON_Hastings,WITHIN,0.5798,1.0,0.5798,3679913006.93
CD_ON_Huron,CD_ON_Huron,SAME_AS,1.0,1.0,1.0,4077577093.87
CD_ON_Kent,CD_ON_Kent,SAME_AS,1.0,1.0,1.0,2629398311.91
"CD_ON_Kingston,_City",CD_ON_Kingston,WITHIN,0.744,0.9876,0.751,7841151.45
CD_ON_Lambton,CD_ON_Lambton,SAME_AS,1.0,1.0,1.0,3218913249.29
CD_ON_Lanark,CD_ON_Lanark,SAME_AS,1.0,1.0,1.0,3300465107.05
CD_ON_Leeds,CD_ON_Leeds,SAME_AS,1.0,1.0,1.0,2486758154.81
CD_ON_Lennox,CD_ON_Lennox_and_Addington_,WITHIN,0.157,1.0,0.157,488515507.52
CD_ON_Lincoln,CD_ON_Lincoln,SAME_AS,1.0,1.0,1.0,905572142.02
CD_ON_London,CD_ON_London,WITHIN,0.6385,1.0,0.6385,5815873.24
CD_ON_Middlesex,CD_ON_Middlesex,SAME_AS,0.9989,0.9989,1.0,3042379552.32
CD_ON_Norfolk,CD_ON_Norfolk,SAME_AS,0.9985,0.9985,1.0,1747020214.75
CD_ON_Northumberland,CD_ON_Northumberland,SAME_AS,1.0,1.0,1.0,2107588677.31
CD_ON_Ontario,CD_ON_Ontario,CONTAINS,0.879,0.879,1.0,2519590660.47
CD_ON_Oxford,CD_ON_Oxford,SAME_AS,1.0,1.0,1.0,2154757456.87
CD_ON_Peel,CD_ON_Peel,SAME_AS,1.0,1.0,1.0,1289853294.05
CD_ON_Perth,CD_ON_Perth,SAME_AS,1.0,1.0,1.0,2340196166.55
CD_ON_Peterboro,CD_ON_Peterborough,WITHIN,0.4902,1.0,0.4902,2955375802.99
CD_ON_Prescott,CD_ON_Prescott,SAME_AS,1.0,1.0,1.0,1289524739.62
CD_ON_Prince_Edward,CD_ON_Prince_Edward,SAME_AS,1.0,1.0,1.0,1177762862.99
CD_ON_Renfrew,CD_ON_Renfrew,WITHIN,0.4547,0.9989,0.4549,3071375771.84
CD_ON_Renfrew,CD_ON_Renfew,CONTAINS,0.0011,0.0011,1.0,3474298.51
CD_ON_Russell,CD_ON_Russell,SAME_AS,1.0,1.0,1.0,1119024025.45
CD_ON_Simcoe,CD_ON_Simcoe,WITHIN,0.6725,1.0,0.6725,5541805628.88
CD_ON_Stormont,CD_ON_Stormont,SAME_AS,1.0,1.0,1.0,1073175841.05
"CD_ON_Toronto,_City",CD_ON_Toronto,WITHIN,0.8804,0.9908,0.8876,20505143.06
CD_ON_Victoria,CD_ON_Victoria,WITHIN,0.3608,1.0,0.3608,2116951711.0
CD_ON_Waterloo,CD_ON_Waterloo,SAME_AS,1.0,1.0,1.0,1422292459.63
CD_ON_Welland,CD_ON_Welland,SAME_AS,1.0,1.0,1.0,1082096274.53
CD_ON_Wellington,CD_ON_Wellington,SAME_AS,1.0,1.0,1.0,3451838411.92
CD_ON_Wentworth,CD_ON_Wentworth,SAME_AS,1.0,1.0,1.0,1228115457.72
CD_ON_York,CD_ON_York,WITHIN,0.8756,0.9989,0.8764,2462577822.99
CD_PE_Prince_Edward_Island,CD_PE_Prince_Edward_Island,SAME_AS,1.0,1.0,1.0,6024954067.65
CD_QC_Beauharnois,CD_QC_Huntingdon,CONTAINS,0.498,0.498,1.0,987466927.69
CD_QC_Beauharnois,CD_QC_Beauharnois,CONTAINS,0.1987,0.1987,1.0,393990597.35
CD_QC_Bellechasse,CD_QC_Bellechasse,CONTAINS,0.6324,0.6536,0.9511,1669983848.52
CD_QC_Berthier,CD_QC_Joliette,CONTAINS,0.5567,0.5567,1.0,1809586269.26
CD_QC_Berthier,CD_QC_Berthier,CONTAINS,0.4411,0.4411,1.0,1433710552.93
CD_QC_Bonaventure,CD_QC_Bonaventure,SAME_AS,1.0,1.0,1.0,9014472416.9
CD_QC_Chambly,CD_QC_Chambly,CONTAINS,0.6683,0.6737,0.9881,367653970.42
CD_QC_Champlain,CD_QC_Champlain,CONTAINS,0.9409,0.9409,1.0,5668348812.91
CD_QC_Dorchester,CD_QC_Lévis,CONTAINS,0.1287,0.1287,1.0,699337566.75
CD_QC_Drummond,CD_QC_Drummond,CONTAINS,0.3803,0.3803,1.0,1766200282.09
CD_QC_Gaspé,CD_QC_Gaspé,SAME_AS,1.0,1.0,1.0,12136459436.47
CD_QC_Huntingdon,CD_QC_Napierville,CONTAINS,0.3249,0.3249,1.0,410550334.61
CD_QC_Huntingdon,CD_QC_Laprairie,CONTAINS,0.3429,0.3474,0.9639,438951555.87
CD_QC_Kamouraska,CD_QC_Kamouraska,WITHIN,0.9707,0.9707,1.0,2834514247.32
CD_QC_Leinster,CD_QC_L'Assomption,CONTAINS,0.1798,0.1798,1.0,681836062.03
CD_QC_Leinster,CD_QC_Montcalm,CONTAINS,0.8187,0.8202,0.9978,3110052590.37
CD_QC_Lotbinière,CD_QC_Lotbiniere,SAME_AS,0.9979,0.9979,1.0,1969886012.32
CD_QC_L’Islet,CD_QC_L'Islet,CONTAINS,0.5604,0.5604,1.0,2134179762.96
CD_QC_Megantic,CD_QC_Megantic,CONTAINS,0.4525,0.454,0.9925,1984585406.96
CD_QC_Megantic,CD_QC_Mégantic,CONTAINS,0.0609,0.0609,1.0,266305754.58
CD_QC_Montmorenci,CD_QC_Montmorency,SAME_AS,1.0,1.0,1.0,5776776371.43
CD_QC_Montréal,CD_QC_Hochelaga,CONTAINS,0.5022,0.5022,1.0,235856415.85
"CD_QC_Montréal,_cité",CD_QC_City_of_Montreal,SAME_AS,1.0,1.0,1.0,16962702.04
CD_QC_Nicolet,CD_QC_Nicolet,CONTAINS,0.862,0.862,1.0,1248587288.37
CD_QC_Outaouais,CD_QC_Pontiac,CONTAINS,0.6196,0.6196,1.0,56966529783.47
