from,to,length_m
QC042002_1861,QC042003_1861,18146.88
QC042002_1861,QC042009_1861,5739.59
QC042002_1861,QC042013_1861,1931.0
QC042999_1861,QC052999_1861,1708.76
QC005999_1861,QC016009_1861,15936.59
QC005999_1861,QC016008_1861,23315.92
QC005999_1861,QC016012_1861,19986.13
QC005999_1861,QC017999_1861,12441.7
QC028002_1861,QC028003_1861,21968.15
QC028002_1861,QC028004_1861,9013.25
QC034999_1861,QC055001_1861,3058.56
QC034999_1861,QC039999_1861,59386.81
QC034999_1861,QC052999_1861,33610.08
QC040005_1861,QC040013_1861,9907.2
QC040005_1861,QC040009_1861,12420.97
QC040005_1861,QC040015_1861,16204.85
QC041999_1861,QC042012_1861,19784.5
QC041999_1861,QC042999_1861,40547.59
QC044001_1861,QC048001_1861,10275.19
QC044001_1861,QC044004_1861,24184.66
QC044001_1861,QC064002_1861,24901.37
QC044007_1861,QC044008_1861,23763.04
QC044007_1861,QC064001_1861,13493.89
QC044007_1861,QC059001_1861,16015.47
QC044007_1861,QC059005_1861,4285.26
QC048005_1861,QC048006_1861,16552.08
QC049001_1861,QC049008_1861,1646.5
QC049001_1861,QC049004_1861,505.26
QC058006_1861,QC058008_1861,1897.22
QC058006_1861,QC058007_1861,8590.92
QC015018_1861,QC047001_1861,13732.19
QC015018_1861,QC015999_1861,45003.67
QC005009_1861,QC005999_1861,24394.3
QC017001_1861,QC017003_1861,11005.96
QC017001_1861,QC017006_1861,769.3
QC017001_1861,QC017010_1861,9181.21
QC018003_1861,QC044002_1861,9214.08
QC018003_1861,QC044006_1861,13206.85
QC018003_1861,QC018004_1861,13698.33
QC019006_1861,QC019999_1861,20139.71
QC019006_1861,QC019015_1861,15554.13
QC039036_1861,QC039038_1861,9214.27
QC039025_1861,QC039035_1861,5255.96
QC039025_1861,QC039030_1861,8237.58
QC039025_1861,QC039033_1861,11368.36
QC039032_1861,QC039999_1861,14323.03
QC042013_1861,QC062008_1861,3450.42
QC042013_1861,QC062005_1861,11.66
QC042013_1861,QC062002_1861,529.96
QC054003_1861,QC054011_1861,10830.35
QC008004_1861,QC043007_1861,3009.24
QC008001_1861,QC008005_1861,5371.9
QC008001_1861,QC025014_1861,5182.19
QC008001_1861,QC025008_1861,5701.28
QC008001_1861,QC008004_1861,2219.72
QC008001_1861,QC008002_1861,3352.99
QC008001_1861,QC008010_1861,7577.97
QC008001_1861,QC008008_1861,13737.02
QC012999_1861,QC041999_1861,72549.05
QC012999_1861,QC042999_1861,104448.95
QC012999_1861,QC052999_1861,94286.9
QC047004_1861,QC047999_1861,114265.13
QC015999_1861,QC042999_1861,76099.86
QC015999_1861,QC036999_1861,50362.49
QC015999_1861,QC047001_1861,19189.96
QC015999_1861,QC047999_1861,495063.82
QC015999_1861,QC052999_1861,248685.27
QC012011_1861,QC041009_1861,15767.83
QC012011_1861,QC012012_1861,30597.37
QC026999_1861,QC054006_1861,7120.52
QC026999_1861,QC054999_1861,29521.78
QC026999_1861,QC054010_1861,11361.1
QC026012_1861,QC026013_1861,12195.74
QC039015_1861,QC039025_1861,13278.65
QC039015_1861,QC039031_1861,15795.61
QC039015_1861,QC039033_1861,14608.6
QC039015_1861,QC039019_1861,2344.71
QC039015_1861,QC039034_1861,9402.78
QC039008_1861,QC039031_1861,7591.72
QC039008_1861,QC039014_1861,8838.24
QC039008_1861,QC039020_1861,9640.46
QC039008_1861,QC039034_1861,22291.99
QC029001_1861,QC029004_1861,1797.66
QC029001_1861,QC029002_1861,10697.47
QC033002_1861,QC033008_1861,11014.85
QC033002_1861,QC046001_1861,10583.62
QC033002_1861,QC046003_1861,3401.3
QC042010_1861,QC042012_1861,28127.2
QC042010_1861,QC042999_1861,22664.09
QC012006_1861,QC052003_1861,12979.96
QC012006_1861,QC052999_1861,27346.7
QC052006_1861,QC063001_1861,7168.16
QC052006_1861,QC063005_1861,3302.05
QC052006_1861,QC063004_1861,135.59
QC052006_1861,QC063003_1861,1880.82
QC039027_1861,QC039034_1861,18611.12
QC039027_1861,QC039037_1861,6854.62
QC039027_1861,QC040999_1861,9764.06
QC040016_1861,QC040999_1861,11544.54
QC040014_1861,QC040999_1861,27034.35
QC040008_1861,QC040009_1861,15768.61
QC040008_1861,QC040015_1861,12578.14
QC040008_1861,QC040010_1861,1137.61
QC040008_1861,QC040019_1861,8344.55
QC040008_1861,QC040020_1861,11376.04
QC040008_1861,QC040021_1861,12650.87
QC002012_1861,QC002999_1861,11580.78
QC002006_1861,QC002008_1861,6855.32
QC002006_1861,QC039030_1861,5929.22
QC002006_1861,QC002012_1861,16355.84
QC002006_1861,QC039999_1861,9460.53
QC002001_1861,QC002008_1861,13511.12
QC002001_1861,QC002003_1861,9835.86
QC002001_1861,QC002006_1861,9562.78
QC002001_1861,QC039999_1861,14819.59
QC002008_1861,QC002999_1861,24530.28
QC002008_1861,QC002012_1861,4771.69
QC002007_1861,QC055002_1861,9029.0
QC002007_1861,QC002999_1861,9221.29
QC002007_1861,QC002012_1861,6288.53
QC002007_1861,QC002011_1861,4667.05
QC002007_1861,QC055007_1861,8046.57
QC003001_1861,QC003012_1861,11901.02
QC003001_1861,QC003010_1861,15043.05
QC003001_1861,QC032002_1861,2928.23
QC003001_1861,QC003007_1861,9453.44
QC003001_1861,QC003002_1861,13735.18
QC003001_1861,QC003006_1861,8979.55
QC003001_1861,QC003005_1861,5367.64
QC003009_1861,QC038006_1861,7135.8
QC005006_1861,QC005009_1861,14723.66
QC005006_1861,QC005011_1861,18791.78
QC005006_1861,QC005008_1861,28883.41
QC005006_1861,QC005015_1861,3887.43
QC005008_1861,QC005999_1861,22640.94
QC005008_1861,QC005009_1861,10582.78
QC005008_1861,QC005015_1861,8288.65
QC005008_1861,QC017999_1861,18152.59
QC005010_1861,QC016011_1861,3757.12
QC005010_1861,QC059006_1861,15967.76
QC005010_1861,QC032005_1861,10341.12
QC005001_1861,QC005007_1861,10235.54
QC005001_1861,QC005010_1861,8055.11
QC005001_1861,QC005004_1861,12224.07
QC005001_1861,QC032005_1861,6945.61
QC005001_1861,QC032010_1861,15168.03
QC005001_1861,QC005018_1861,14285.19
QC005004_1861,QC005007_1861,7158.74
QC005004_1861,QC005011_1861,11359.94
QC005004_1861,QC005018_1861,2474.34
QC005002_1861,QC016012_1861,1801.15
QC005002_1861,QC016011_1861,9558.42
QC005002_1861,QC005007_1861,11582.82
QC005002_1861,QC005004_1861,7878.05
QC005002_1861,QC005005_1861,6948.27
QC005002_1861,QC005003_1861,5751.75
QC008009_1861,QC008010_1861,4814.19
QC008009_1861,QC031004_1861,13492.66
QC008009_1861,QC031999_1861,7077.58
QC008009_1861,QC025011_1861,14258.2
QC008009_1861,QC008999_1861,16900.92
QC008003_1861,QC025010_1861,7020.73
QC008003_1861,QC008010_1861,2896.05
QC008003_1861,QC008009_1861,10615.4
QC008003_1861,QC025011_1861,947.05
QC013007_1861,QC013008_1861,8413.44
QC013007_1861,QC013011_1861,7545.48
QC013007_1861,QC013009_1861,25017.41
QC015001_1861,QC015011_1861,7747.08
QC015001_1861,QC015005_1861,13402.46
QC015001_1861,QC015999_1861,31123.94
QC015007_1861,QC015022_1861,11363.55
QC015007_1861,QC015999_1861,28116.84
QC015022_1861,QC015999_1861,15280.7
QC015019_1861,QC015999_1861,13445.87
QC015016_1861,QC015022_1861,15003.56
QC015016_1861,QC015999_1861,15584.57
QC015009_1861,QC015014_1861,15814.33
QC015009_1861,QC015010_1861,17689.08
QC015009_1861,QC015999_1861,9.88
QC015014_1861,QC015999_1861,27938.04
QC015002_1861,QC015016_1861,15543.48
QC015002_1861,QC015020_1861,14635.27
QC015002_1861,QC015999_1861,12501.49
QC015020_1861,QC015999_1861,12278.82
QC015006_1861,QC015017_1861,4631.57
QC015006_1861,QC015020_1861,11457.84
QC015006_1861,QC015999_1861,27129.64
QC015010_1861,QC015012_1861,13728.52
QC015010_1861,QC015017_1861,15462.92
QC015017_1861,QC015999_1861,10200.84
QC015012_1861,QC015014_1861,13144.68
QC015012_1861,QC015999_1861,11695.1
QC015013_1861,QC015999_1861,31725.37
QC015004_1861,QC015013_1861,16479.7
QC015004_1861,QC015015_1861,19908.85
QC015004_1861,QC015999_1861,17423.29
QC015015_1861,QC015021_1861,19919.92
QC015015_1861,QC015999_1861,21460.11
QC016005_1861,QC016009_1861,16676.56
QC016005_1861,QC016008_1861,17936.81
QC016005_1861,QC016007_1861,16952.13
QC016005_1861,QC016012_1861,4049.73
QC018006_1861,QC060006_1861,11879.75
QC018006_1861,QC038008_1861,12135.9
QC019005_1861,QC019015_1861,8184.51
QC019011_1861,QC019012_1861,16508.72
QC019011_1861,QC019999_1861,15385.26
QC023004_1861,QC035010_1861,12461.2
QC023004_1861,QC023999_1861,10029.18
QC025005_1861,QC025006_1861,8705.53
QC025005_1861,QC025012_1861,5595.45
QC025005_1861,QC034004_1861,6064.88
QC025002_1861,QC025011_1861,7245.53
QC025002_1861,QC025999_1861,7247.54
QC025004_1861,QC025007_1861,972.58
QC025003_1861,QC025007_1861,840.64
QC026002_1861,QC026010_1861,4068.33
QC026005_1861,QC026999_1861,16748.92
QC026005_1861,QC026006_1861,23637.05
QC026005_1861,QC054005_1861,4452.48
QC026005_1861,QC054006_1861,6909.46
QC026009_1861,QC026999_1861,10783.32
QC026009_1861,QC026013_1861,4886.67
QC026009_1861,QC026012_1861,5923.15
QC026009_1861,QC026010_1861,4329.52
QC026013_1861,QC026999_1861,22456.58
QC026001_1861,QC026007_1861,10379.63
QC026001_1861,QC026011_1861,8866.12
QC026001_1861,QC026999_1861,11820.75
QC034002_1861,QC034007_1861,1684.71
QC034010_1861,QC055002_1861,13685.9
QC034010_1861,QC034011_1861,18266.25
QC034010_1861,QC055006_1861,1931.96
QC034010_1861,QC055007_1861,1518.7
QC034010_1861,QC034999_1861,704.3
QC035003_1861,QC035004_1861,1392.7
QC035008_1861,QC035011_1861,1026.64
QC035008_1861,QC035012_1861,9858.72
QC035008_1861,QC035010_1861,15004.2
QC035008_1861,QC035999_1861,28329.39
QC035010_1861,QC035012_1861,10038.7
QC035010_1861,QC035999_1861,9447.19
QC038002_1861,QC038003_1861,6638.22
QC038002_1861,QC038009_1861,9697.96
QC038002_1861,QC038006_1861,9337.91
QC039001_1861,QC039034_1861,13109.58
QC039001_1861,QC039032_1861,14503.11
QC039001_1861,QC039999_1861,28885.43
QC039006_1861,QC039008_1861,14085.41
QC039006_1861,QC039020_1861,7347.7
QC039006_1861,QC039034_1861,17958.83
QC039006_1861,QC039007_1861,9209.11
QC039006_1861,QC039027_1861,2707.42
QC039005_1861,QC039015_1861,14718.47
QC039005_1861,QC039019_1861,11126.54
QC039005_1861,QC039034_1861,28755.35
QC039005_1861,QC039032_1861,14122.81
QC039005_1861,QC039022_1861,15376.16
QC039014_1861,QC039038_1861,16839.77
QC039014_1861,QC039026_1861,19649.01
QC039014_1861,QC039031_1861,4603.56
QC039014_1861,QC039020_1861,13689.87
QC039024_1861,QC039037_1861,5840.43
QC039024_1861,QC039027_1861,9188.9
QC039024_1861,QC039999_1861,3052.25
QC039002_1861,QC039024_1861,16961.55
QC039002_1861,QC039018_1861,22181.9
QC039002_1861,QC039022_1861,14299.1
QC039002_1861,QC039999_1861,15550.83
QC039018_1861,QC040999_1861,20752.6
QC039018_1861,QC039027_1861,41666.57
QC039018_1861,QC039024_1861,7755.47
QC039018_1861,QC039999_1861,17334.99
QC039010_1861,QC039037_1861,12454.13
QC039010_1861,QC039016_1861,14022.41
QC039010_1861,QC039024_1861,14384.01
QC039010_1861,QC039023_1861,8606.48
QC039010_1861,QC039999_1861,20479.68
QC039007_1861,QC039020_1861,15320.58
QC039007_1861,QC039029_1861,15601.22
QC039007_1861,QC039037_1861,9794.51
QC039007_1861,QC039013_1861,7958.19
QC039007_1861,QC039027_1861,9538.79
QC039016_1861,QC039037_1861,17662.87
QC039016_1861,QC039027_1861,20551.48
QC039016_1861,QC039022_1861,733.27
QC039016_1861,QC039023_1861,1495.04
QC039016_1861,QC039999_1861,16692.54
QC039023_1861,QC039999_1861,51292.87
QC039022_1861,QC039032_1861,678.26
QC039022_1861,QC039027_1861,15020.51
QC039022_1861,QC039999_1861,79427.38
QC039029_1861,QC039037_1861,27257.2
QC040001_1861,QC040018_1861,19795.18
QC040001_1861,QC040999_1861,29041.97
QC040018_1861,QC040999_1861,37480.34
QC040010_1861,QC040016_1861,8260.1
QC040010_1861,QC040012_1861,14952.37
QC040019_1861,QC040021_1861,849.45
QC040017_1861,QC040019_1861,13074.5
QC040017_1861,QC040021_1861,14413.09
QC040017_1861,QC040999_1861,13037.89
QC040020_1861,QC040021_1861,14157.97
QC040020_1861,QC040999_1861,11049.48
QC042004_1861,QC062008_1861,211.33
QC042004_1861,QC042013_1861,661.26
QC042005_1861,QC042013_1861,1327.01
QC045003_1861,QC045011_1861,11868.7
QC045003_1861,QC045007_1861,7105.39
QC045003_1861,QC045999_1861,30580.5
QC045005_1861,QC045999_1861,19093.74
QC045005_1861,QC045008_1861,7491.22
QC049007_1861,QC049008_1861,5232.16
QC049007_1861,QC057002_1861,6062.53
QC053001_1861,QC053006_1861,1590.52
QC053001_1861,QC053005_1861,722.48
QC053001_1861,QC053004_1861,1045.52
QC053001_1861,QC053003_1861,1203.92
QC054001_1861,QC054999_1861,17620.02
QC054001_1861,QC054002_1861,14143.33
QC054001_1861,QC054008_1861,3971.0
QC054001_1861,QC054013_1861,23079.16
QC055005_1861,QC055006_1861,4949.41
QC063001_1861,QC063005_1861,1733.47
QC056010_1861,QC056013_1861,3140.63
QC059002_1861,QC059007_1861,7847.91
QC059002_1861,QC059003_1861,7442.63
QC059002_1861,QC059004_1861,171.57
QC059002_1861,QC059006_1861,21990.81
QC059002_1861,QC059009_1861,16811.17
QC064004_1861,QC064005_1861,1258.0
QC063002_1861,QC063004_1861,329.26
QC063002_1861,QC063006_1861,1221.1
QC063002_1861,QC063003_1861,208.26
QC047002_1861,QC047003_1861,15114.65
QC047002_1861,QC047999_1861,24808.01
QC047005_1861,QC047999_1861,112083.24
QC047006_1861,QC047999_1861,78066.39
QC047006_1861,QC047008_1861,14341.11
QC047008_1861,QC047999_1861,79840.95
QC047007_1861,QC047999_1861,111107.31
QC047009_1861,QC047999_1861,225317.84
QC011003_1861,QC051005_1861,15478.29
QC011003_1861,QC027002_1861,3735.1
QC011003_1861,QC011004_1861,6051.28
QC011003_1861,QC011007_1861,14875.1
QC011003_1861,QC011008_1861,8199.12
QC011003_1861,QC058001_1861,1799.77
QC019010_1861,QC019999_1861,17622.98
QC019010_1861,QC019014_1861,14926.4
QC040002_1861,QC040011_1861,14781.87
QC040002_1861,QC040015_1861,14974.14
QC040002_1861,QC040019_1861,13733.9
QC047001_1861,QC047002_1861,11095.54
QC047001_1861,QC047999_1861,22599.4
QC026006_1861,QC026999_1861,1960.12
QC026006_1861,QC026010_1861,2571.64
QC026006_1861,QC026009_1861,17840.53
QC026006_1861,QC054005_1861,3411.32
QC039021_1861,QC039036_1861,20768.52
QC039021_1861,QC039038_1861,15486.29
QC012012_1861,QC041999_1861,12095.09
QC012012_1861,QC041009_1861,366.95
QC012012_1861,QC012999_1861,55922.12
QC012012_1861,QC052999_1861,2860.89
NT999999_1871,QC152999_1871,2287155.58
NT999999_1871,QC152008_1871,19401.75
NT999999_1871,QC092999_1871,458987.5
NT999999_1871,QC093999_1871,106719.87
NT999999_1871,QC094999_1871,29070.92
NT999999_1871,QC130999_1871,210739.07
NT999999_1871,QC150999_1871,831218.56
NT999999_1871,QC151999_1871,171499.72
NT999999_1871,ON088003_1871,99192.67
NT999999_1871,ON088002_1871,245654.69
NT999999_1871,ON084007_1871,72201.23
NT999999_1871,ON090002_1871,482784.54
NT999999_1871,ON090006_1871,379946.36
NT999999_1871,ON090003_1871,214969.34
NT999999_1871,ON090005_1871,428696.85
BC999999_1871,NT999999_1871,2491736.28
MB999999_1871,NT999999_1871,1069121.73
ON087002_1871,ON087003_1871,8169.17
ON088003_1871,ON089001_1871,112691.65
ON088003_1871,ON090001_1871,39347.47
ON088003_1871,ON090002_1871,27082.19
ON090002_1871,ON090003_1871,142999.69
ON016002_1871,ON016004_1871,13279.25
ON016002_1871,ON022005_1871,13501.88
ON015001_1871,ON015002_1871,8894.14
ON015001_1871,ON015003_1871,8554.9
ON015001_1871,ON016001_1871,2301.55
ON016001_1871,ON016002_1871,14896.83
ON016001_1871,ON016003_1871,11620.8
ON016001_1871,ON022005_1871,912.65
ON016001_1871,ON031003_1871,19941.1
ON016001_1871,ON023001_1871,10462.91
ON015005_1871,ON017001_1871,9776.98
ON015005_1871,ON017006_1871,14745.66
ON015005_1871,ON016004_1871,21098.77
ON015002_1871,ON015003_1871,14542.51
ON015003_1871,ON015005_1871,7970.17
ON015003_1871,ON016004_1871,11157.4
ON015003_1871,ON015004_1871,3509.12
ON015003_1871,ON016002_1871,29016.1
ON015003_1871,ON016001_1871,6504.66
ON015004_1871,ON016002_1871,7964.34
ON068004_1871,ON070001_1871,9935.94
ON068004_1871,ON069001_1871,23236.85
ON068004_1871,ON070003_1871,6028.75
ON068003_1871,ON068004_1871,2166.11
ON028007_1871,ON028999_1871,11437.23
ON028007_1871,ON028008_1871,11157.63
ON028006_1871,ON037009_1871,24575.59
ON028006_1871,ON028007_1871,12496.39
ON028005_1871,ON037001_1871,4433.99
ON028005_1871,ON037005_1871,10559.45
ON028005_1871,ON028006_1871,17652.98
ON028001_1871,ON028002_1871,20057.55
ON027005_1871,ON027006_1871,5999.91
ON027005_1871,ON027007_1871,7251.23
ON027005_1871,ON028001_1871,19536.09
ON028002_1871,ON028004_1871,7796.06
ON028002_1871,ON028005_1871,13690.88
ON028002_1871,ON028003_1871,7387.94
ON028003_1871,ON028005_1871,3022.27
ON028003_1871,ON028006_1871,4691.32
ON027008_1871,ON036005_1871,19047.97
ON027008_1871,ON028004_1871,16404.97
ON027008_1871,ON036001_1871,26.06
ON027004_1871,ON035003_1871,221.57
ON027004_1871,ON027008_1871,16513.84
ON027004_1871,ON036001_1871,15824.03
ON027003_1871,ON027004_1871,15930.98
ON027003_1871,ON027007_1871,15564.32
ON028004_1871,ON037001_1871,14465.76
ON028004_1871,ON028005_1871,17067.56
ON027007_1871,ON027008_1871,18801.46
ON027007_1871,ON028001_1871,14590.94
ON027007_1871,ON028004_1871,6882.0
ON027007_1871,ON028002_1871,2095.89
ON027001_1871,ON027002_1871,14198.96
ON027001_1871,ON027005_1871,16816.68
ON027002_1871,ON027003_1871,16305.88
ON027002_1871,ON027005_1871,7837.91
ON027002_1871,ON027007_1871,9462.47
ON078009_1871,ON080001_1871,345.23
ON078009_1871,ON080003_1871,16658.5
ON078009_1871,ON081001_1871,4179.36
ON078009_1871,QC091001_1871,40.51
ON078004_1871,ON079009_1871,16568.04
ON078004_1871,ON078005_1871,5257.22
ON078004_1871,ON078007_1871,16536.58
ON078004_1871,ON078006_1871,4133.18
ON078002_1871,ON078003_1871,16804.57
ON078002_1871,ON078004_1871,1425.16
ON078007_1871,ON080001_1871,16594.65
ON078007_1871,ON078009_1871,16007.2
ON078006_1871,ON078007_1871,16439.06
ON078006_1871,ON078008_1871,10323.34
ON078003_1871,ON079001_1871,16356.59
ON078003_1871,ON079009_1871,1287.43
ON078003_1871,ON078004_1871,15364.51
ON078001_1871,ON078002_1871,12173.36
ON078001_1871,ON078004_1871,16063.66
ON078001_1871,ON078006_1871,8175.7
ON078008_1871,ON078009_1871,18016.6
ON035007_1871,ON040003_1871,19764.72
ON035007_1871,ON036004_1871,14085.0
ON034008_1871,ON040001_1871,5461.83
ON034008_1871,ON035006_1871,7902.19
ON034008_1871,ON034009_1871,2281.23
ON034008_1871,ON035007_1871,14159.59
ON034008_1871,ON040003_1871,323.98
ON035006_1871,ON035007_1871,19609.29
ON035006_1871,ON036003_1871,16601.1
ON035006_1871,ON036004_1871,3318.11
ON036004_1871,ON041004_1871,19991.29
ON036004_1871,ON036007_1871,2172.37
ON036004_1871,ON036008_1871,15532.78
ON036004_1871,ON042001_1871,1401.38
ON040003_1871,ON040004_1871,19834.78
ON040003_1871,ON041004_1871,15223.32
ON041004_1871,ON041005_1871,19732.35
ON041004_1871,ON042001_1871,15184.82
ON034009_1871,ON040001_1871,3425.13
ON034009_1871,ON040003_1871,5916.29
ON071001_1871,ON071002_1871,6001.41
ON071001_1871,ON071003_1871,17922.74
ON071001_1871,ON071005_1871,14975.1
ON071005_1871,ON071006_1871,16982.53
ON071005_1871,ON076007_1871,15411.3
ON071003_1871,ON071004_1871,5998.81
ON071003_1871,ON071006_1871,15307.9
ON071003_1871,ON072001_1871,17828.16
ON071006_1871,ON076007_1871,6908.55
ON071006_1871,ON072002_1871,17011.84
ON071006_1871,ON076004_1871,8655.45
ON050003_1871,ON051004_1871,17555.46
ON050003_1871,ON052001_1871,8891.82
ON051003_1871,ON051004_1871,18349.34
ON051003_1871,ON056001_1871,10147.96
ON051003_1871,ON056002_1871,10260.41
ON051003_1871,ON052004_1871,13673.42
ON050004_1871,ON050005_1871,9127.77
ON050004_1871,ON051001_1871,20379.84
ON050004_1871,ON051004_1871,15150.69
ON050004_1871,ON051003_1871,1818.19
ON050001_1871,ON050002_1871,16235.21
ON050001_1871,ON050004_1871,19415.41
ON050001_1871,ON051004_1871,2657.32
ON050001_1871,ON050003_1871,14561.51
ON051001_1871,ON051002_1871,8169.23
ON051001_1871,ON054001_1871,20336.07
ON051001_1871,ON051003_1871,13942.24
ON051004_1871,ON052004_1871,2251.57
ON051004_1871,ON052001_1871,437.29
ON051004_1871,ON052002_1871,15216.97
ON006005_1871,ON006006_1871,5999.91
ON006005_1871,ON011001_1871,19269.63
ON006005_1871,ON012001_1871,7648.83
ON006005_1871,ON013001_1871,8132.32
ON006004_1871,ON009001_1871,762.54
ON006004_1871,ON013001_1871,8667.88
ON006004_1871,ON009002_1871,16230.18
ON006003_1871,ON006005_1871,20380.82
ON006003_1871,ON006004_1871,13213.32
ON006003_1871,ON013001_1871,2774.07
ON006001_1871,ON006003_1871,17849.31
ON006001_1871,ON006002_1871,10091.56
ON006001_1871,ON006004_1871,11189.01
ON006001_1871,ON009001_1871,10946.08
ON005001_1871,ON005002_1871,20051.21
ON005001_1871,ON007001_1871,31258.59
ON005002_1871,ON007001_1871,5032.18
ON005002_1871,ON007003_1871,27048.93
ON005002_1871,ON005003_1871,17293.66
ON005003_1871,ON006001_1871,21458.54
ON005003_1871,ON007005_1871,15345.16
ON005003_1871,ON007007_1871,11062.21
ON005003_1871,ON009001_1871,8103.62
ON001012_1871,ON001013_1871,19345.68
ON001013_1871,ON001014_1871,15910.12
ON001010_1871,ON001012_1871,16971.4
ON001010_1871,ON001011_1871,4369.74
ON001008_1871,ON001010_1871,13478.21
ON001008_1871,ON001009_1871,9436.64
ON001008_1871,ON001011_1871,4128.92
ON001003_1871,ON001004_1871,8782.11
ON001003_1871,ON001008_1871,8720.21
ON001003_1871,ON001010_1871,2830.56
ON001004_1871,ON001005_1871,20740.66
ON001004_1871,ON001012_1871,5496.47
ON001004_1871,ON001010_1871,7677.72
ON001005_1871,ON001006_1871,15617.06
ON001005_1871,ON001012_1871,7908.03
ON001005_1871,ON001013_1871,7229.1
ON001001_1871,ON001002_1871,4826.55
ON001001_1871,ON001004_1871,12223.42
ON001001_1871,ON001003_1871,9673.09
ON001006_1871,ON002001_1871,11482.02
ON001006_1871,ON001013_1871,2962.41
ON001006_1871,ON001014_1871,12222.99
ON001014_1871,ON002001_1871,4959.59
ON001014_1871,ON002002_1871,15280.15
ON001014_1871,ON002005_1871,1354.05
ON001002_1871,ON001003_1871,2399.42
ON064006_1871,ON064007_1871,11761.11
ON064006_1871,ON064015_1871,18209.66
ON064011_1871,ON065006_1871,9487.19
ON064011_1871,ON067007_1871,8510.55
ON064011_1871,ON067008_1871,17229.84
ON064011_1871,ON064013_1871,651.96
ON064011_1871,ON064012_1871,10885.05
ON064011_1871,ON079005_1871,3475.85
ON064015_1871,ON081005_1871,14319.51
ON064008_1871,ON064009_1871,16684.29
ON064008_1871,ON064011_1871,19912.64
ON064008_1871,ON064013_1871,14334.09
ON064007_1871,ON064008_1871,6975.83
ON064007_1871,ON064013_1871,20110.96
ON064007_1871,ON064015_1871,4940.44
ON065001_1871,ON065002_1871,3047.35
ON065001_1871,ON066002_1871,2518.18
ON065001_1871,ON066003_1871,2280.72
ON065001_1871,ON066007_1871,266.57
ON065001_1871,ON065005_1871,7892.04
ON065001_1871,ON065006_1871,15794.72
ON064010_1871,ON065001_1871,4280.21
ON064010_1871,ON065006_1871,26765.94
ON064010_1871,ON064011_1871,15543.29
ON064013_1871,ON064015_1871,10354.17
ON064013_1871,ON064014_1871,4859.67
ON064012_1871,ON064013_1871,19660.65
ON064012_1871,ON079005_1871,14220.16
ON064012_1871,ON064014_1871,10481.63
ON064012_1871,ON080007_1871,5105.55
ON064014_1871,ON064015_1871,35457.13
ON064014_1871,ON080007_1871,29568.17
ON064014_1871,ON081005_1871,4881.11
ON064014_1871,ON081004_1871,17406.35
ON064014_1871,ON081003_1871,9831.75
ON065005_1871,ON065006_1871,35452.76
ON065005_1871,ON067001_1871,14502.64
ON065005_1871,ON067003_1871,4897.03
ON064009_1871,ON065001_1871,7679.54
ON064009_1871,ON064010_1871,19978.1
ON065006_1871,ON067003_1871,2148.17
ON065006_1871,ON067007_1871,9115.16
ON074001_1871,ON074002_1871,18715.15
ON074001_1871,ON074003_1871,17210.12
ON074003_1871,ON075008_1871,3854.7
ON074003_1871,ON074004_1871,17833.71
ON074003_1871,ON075005_1871,14456.69
ON074002_1871,ON074003_1871,2230.49
ON074002_1871,QC110001_1871,3817.08
ON074002_1871,QC110002_1871,11468.87
ON074002_1871,QC109006_1871,5959.56
ON074002_1871,ON074004_1871,15506.77
ON074004_1871,QC109006_1871,4426.11
ON074004_1871,ON075005_1871,2712.54
ON074004_1871,ON075002_1871,11902.27
ON074004_1871,ON075001_1871,21011.17
ON069001_1871,ON069002_1871,4391.01
ON069001_1871,ON070003_1871,9316.59
ON069001_1871,ON069003_1871,19238.98
ON069001_1871,ON070005_1871,5324.58
ON069003_1871,ON070005_1871,11673.76
ON069003_1871,ON071001_1871,20193.94
ON069003_1871,ON070007_1871,4314.29
ON069003_1871,ON071005_1871,23.5
ON070007_1871,ON071005_1871,16948.0
ON070007_1871,ON078002_1871,7242.64
ON070007_1871,ON076007_1871,4274.86
ON070005_1871,ON070006_1871,6000.58
ON070005_1871,ON078003_1871,17563.73
ON070005_1871,ON070007_1871,16851.47
ON070005_1871,ON078002_1871,392.41
ON070003_1871,ON070004_1871,6001.57
ON070003_1871,ON079001_1871,36014.25
ON070003_1871,ON070005_1871,17011.94
ON070003_1871,ON078003_1871,948.99
ON069002_1871,ON069003_1871,2506.38
ON036007_1871,ON036008_1871,18907.2
ON036007_1871,ON037002_1871,287.76
ON036007_1871,ON037003_1871,16788.71
ON037004_1871,ON042001_1871,13450.25
ON037004_1871,ON037008_1871,6529.98
ON037003_1871,ON037004_1871,18931.03
ON037003_1871,ON037008_1871,16978.43
ON037002_1871,ON037003_1871,19132.51
ON037002_1871,ON037006_1871,16712.93
ON036008_1871,ON042001_1871,18713.29
ON036008_1871,ON037004_1871,16817.65
ON036003_1871,ON036004_1871,22133.83
ON036003_1871,ON036007_1871,18802.1
ON037005_1871,ON037007_1871,4893.0
ON037005_1871,ON037010_1871,2339.79
ON037005_1871,ON037009_1871,11231.41
ON037005_1871,ON037006_1871,9605.31
ON037009_1871,ON037010_1871,19123.56
ON037006_1871,ON037007_1871,9354.96
ON037006_1871,ON037008_1871,25767.25
ON037007_1871,ON037010_1871,1362.44
ON036005_1871,ON036006_1871,19021.53
ON036005_1871,ON037001_1871,17526.52
