from,to
NB015002_1901,APP_NB015002_1901_VARIANT
NB023013_1901,APP_NB023013_1901_VARIANT
NS026005_1901,APP_NS026005_1901_VARIANT
NS026007_1901,APP_NS026007_1901_VARIANT
NS026019_1901,APP_NS026019_1901_VARIANT
NS026023_1901,APP_NS026023_1901_VARIANT
NS026024_1901,APP_NS026024_1901_VARIANT
NS029012_1901,APP_NS029012_1901_VARIANT
NS029018_1901,APP_NS029018_1901_VARIANT
NS029021_1901,APP_NS029021_1901_VARIANT
NS029022_1901,APP_NS029022_1901_VARIANT
NS032010_1901,APP_NS032010_1901_VARIANT
NS032011_1901,APP_NS032011_1901_VARIANT
NS032012_1901,APP_NS032012_1901_VARIANT
NS041016_1911,APP_NS041016_1911_VARIANT
ON038007_1871,APP_ON038007_1871_VARIANT
PE001001_1921,APP_PE001001_1921_VARIANT
PE001003_1921,APP_PE001003_1921_VARIANT
PE001004_1921,APP_PE001004_1921_VARIANT
PE001005_1921,APP_PE001005_1921_VARIANT
PE001006_1921,APP_PE001006_1921_VARIANT
PE001007_1921,APP_PE001007_1921_VARIANT
PE001008_1921,APP_PE001008_1921_VARIANT
PE001009_1921,APP_PE001009_1921_VARIANT
PE001011_1921,APP_PE001011_1921_VARIANT
PE001012_1921,APP_PE001012_1921_VARIANT
PE001014_1921,APP_PE001014_1921_VARIANT
PE001015_1921,APP_PE001015_1921_VARIANT
PE001016_1921,APP_PE001016_1921_VARIANT
PE001018_1921,APP_PE001018_1921_VARIANT
PE001019_1881,APP_PE001019_1881_VARIANT
PE001019_1921,APP_PE001019_1921_VARIANT
PE001020_1881,APP_PE001020_1881_VARIANT
PE001020_1921,APP_PE001020_1921_VARIANT
PE001021_1881,APP_PE001021_1881_VARIANT
PE001021_1921,APP_PE001021_1921_VARIANT
PE001022_1881,APP_PE001022_1881_VARIANT
PE001024_1881,APP_PE001024_1881_VARIANT
PE002002_1881,APP_PE002002_1881_VARIANT
PE002002_1921,APP_PE002002_1921_VARIANT
PE002003_1881,APP_PE002003_1881_VARIANT
PE002003_1921,APP_PE002003_1921_VARIANT
PE002004_1881,APP_PE002004_1881_VARIANT
PE002005_1881,APP_PE002005_1881_VARIANT
PE002005_1921,APP_PE002005_1921_VARIANT
PE002006_1881,APP_PE002006_1881_VARIANT
PE002006_1921,APP_PE002006_1921_VARIANT
PE002007_1881,APP_PE002007_1881_VARIANT
PE002007_1921,APP_PE002007_1921_VARIANT
PE002008_1881,APP_PE002008_1881_VARIANT
PE002008_1921,APP_PE002008_1921_VARIANT
PE002009_1921,APP_PE002009_1921_VARIANT
PE002011_1881,APP_PE002011_1881_VARIANT
PE002011_1921,APP_PE002011_1921_VARIANT
PE002012_1881,APP_PE002012_1881_VARIANT
PE002013_1881,APP_PE002013_1881_VARIANT
PE002013_1921,APP_PE002013_1921_VARIANT
PE002014_1881,APP_PE002014_1881_VARIANT
PE002014_1921,APP_PE002014_1921_VARIANT
PE002015_1881,APP_PE002015_1881_VARIANT
PE002015_1921,APP_PE002015_1921_VARIANT
PE002016_1881,APP_PE002016_1881_VARIANT
PE002016_1921,APP_PE002016_1921_VARIANT
PE002017_1881,APP_PE002017_1881_VARIANT
PE002017_1921,APP_PE002017_1921_VARIANT
PE002018_1881,APP_PE002018_1881_VARIANT
PE002018_1921,APP_PE002018_1921_VARIANT
PE002019_1881,APP_PE002019_1881_VARIANT
PE002020_1881,APP_PE002020_1881_VARIANT
PE002020_1921,APP_PE002020_1921_VARIANT
PE002021_1881,APP_PE002021_1881_VARIANT
PE002021_1921,APP_PE002021_1921_VARIANT
PE002022_1881,APP_PE002022_1881_VARIANT
PE002022_1921,APP_PE002022_1921_VARIANT
PE002023_1881,APP_PE002023_1881_VARIANT
PE002023_1921,APP_PE002023_1921_VARIANT
PE003001_1881,APP_PE003001_1881_VARIANT
PE003001_1921,APP_PE003001_1921_VARIANT
PE003002_1881,APP_PE003002_1881_VARIANT
PE003002_1921,APP_PE003002_1921_VARIANT
PE003004_1881,APP_PE003004_1881_VARIANT
PE003004_1921,APP_PE003004_1921_VARIANT
PE003005_1881,APP_PE003005_1881_VARIANT
PE003005_1921,APP_PE003005_1921_VARIANT
PE003006_1881,APP_PE003006_1881_VARIANT
PE003006_1921,APP_PE003006_1921_VARIANT
PE003007_1881,APP_PE003007_1881_VARIANT
PE003007_1921,APP_PE003007_1921_VARIANT
PE003009_1881,APP_PE003009_1881_VARIANT
PE003009_1921,APP_PE003009_1921_VARIANT
PE003010_1881,APP_PE003010_1881_VARIANT
PE003010_1921,APP_PE003010_1921_VARIANT
PE003012_1881,APP_PE003012_1881_VARIANT
