from,to
ON002001_1851,PLACE_ON065002
ON002003_1851,PLACE_ON065003
ON002005_1851,PLACE_ON065005
ON002002_1851,PLACE_ON065001
ON020005_1851,PLACE_ON083007
ON003001_1851,PLACE_ON028005
ON003003_1851,PLACE_ON003003_1851
ON003009_1851,PLACE_ON003009
ON003011_1851,PLACE_ON003011
ON003002_1851,PLACE_ON027008
ON003004_1851,PLACE_ON060002
ON003005_1851,PLACE_ON027003
ON003006_1851,PLACE_ON028004
ON003007_1851,PLACE_ON066009
ON003008_1851,PLACE_ON104011
ON003010_1851,PLACE_ON066013
ON004001_1851,PLACE_ON108009
ON004003_1851,PLACE_ON105003
ON004005_1851,PLACE_ON108007
ON004006_1851,PLACE_ON105006
ON004007_1851,PLACE_ON105007
ON004008_1851,PLACE_ON004008
ON004011_1851,PLACE_ON105010
ON004010_1851,PLACE_ON105013
ON039011_1851,PLACE_ON035007
ON039006_1851,PLACE_ON103007
ON039010_1851,PLACE_ON039010
ON035016_1851,PLACE_ON098010
ON035015_1851,PLACE_ON098012
ON005001_1851,PLACE_ON005001
ON005002_1851,PLACE_ON107002
ON005003_1851,PLACE_ON005003
ON005004_1851,PLACE_ON102006
ON006001_1851,PLACE_ON069003
ON006002_1851,PLACE_ON051003
ON006003_1851,PLACE_ON006003
ON006004_1851,PLACE_ON006004
ON006005_1851,PLACE_ON127001
ON006006_1851,PLACE_ON108006
ON007002_1851,PLACE_ON007002
ON007005_1851,PLACE_ON006003_1851
ON007007_1851,PLACE_ON006001
ON007001_1851,PLACE_ON070001
ON007003_1851,PLACE_ON164002
ON007006_1851,PLACE_ON005003_1851
ON008009_1851,PLACE_ON001013
ON008002_1851,PLACE_ON110001
ON008004_1851,PLACE_ON008004_1851
ON008006_1851,PLACE_ON001001
ON008007_1851,PLACE_ON001006
ON009005_1851,PLACE_ON111002
ON009006_1851,PLACE_ON111009
ON009008_1851,PLACE_ON009008
ON009007_1851,PLACE_ON111014
ON009002_1851,PLACE_ON069016
ON010004_1851,PLACE_ON065003_1851
ON010001_1851,PLACE_ON099002
ON010003_1851,PLACE_ON099004
ON012002_1851,PLACE_ON106003
ON012004_1851,PLACE_ON012004
ON011001_1851,PLACE_ON075001
ON011003_1851,PLACE_ON155002
ON011006_1851,PLACE_ON114006
ON011008_1851,PLACE_ON114008
ON011011_1851,PLACE_ON075012
ON011014_1851,PLACE_ON011014_1851
ON011012_1851,PLACE_ON037008
ON011005_1851,PLACE_ON114005
ON011007_1851,PLACE_ON075007
ON011010_1851,PLACE_ON066008
ON013004_1851,PLACE_ON017009
ON013006_1851,PLACE_ON075006
ON013007_1851,PLACE_ON115007
ON013010_1851,PLACE_ON076009
ON013009_1851,PLACE_ON146001
ON014003_1851,PLACE_ON117002
ON014004_1851,PLACE_ON038001
ON014002_1851,PLACE_ON014002
ON015003_1851,PLACE_ON015003
ON015009_1851,PLACE_ON015009_1851
ON015002_1851,PLACE_ON078005
ON015005_1851,PLACE_ON015005
ON016006_1851,PLACE_ON026012
ON016008_1851,PLACE_ON016008
ON016010_1851,PLACE_ON079019
ON016001_1851,PLACE_ON077002
ON016007_1851,PLACE_ON079012
ON016002_1851,PLACE_ON025001
ON016011_1851,PLACE_ON079004
ON017005_1851,PLACE_ON017005
ON017004_1851,PLACE_ON080005
ON017006_1851,PLACE_ON080008
ON018001_1851,PLACE_ON004010
ON018004_1851,PLACE_ON081004
ON018005_1851,PLACE_ON081005
ON018010_1851,PLACE_ON004009
ON018003_1851,PLACE_ON081003
ON018006_1851,PLACE_ON079002
ON018007_1851,PLACE_ON004008_1851
ON018008_1851,PLACE_ON018008
ON019004_1851,PLACE_ON019004
ON019009_1851,PLACE_ON123005
ON019008_1851,PLACE_ON082008
ON019011_1851,PLACE_ON123011
ON019012_1851,PLACE_ON082013
ON019001_1851,PLACE_ON019001
ON019002_1851,PLACE_ON082002
ON019006_1851,PLACE_ON081005_1851
ON019007_1851,PLACE_ON019007_1851
ON019010_1851,PLACE_ON019010
ON020001_1851,PLACE_ON083001
ON020006_1851,PLACE_ON083006
ON021001_1851,PLACE_ON117002_1851
ON001001_1851,PLACE_ON125002
ON001002_1851,PLACE_ON084004
ON021003_1851,PLACE_ON021003
ON022001_1851,PLACE_ON144001
ON022002_1851,PLACE_ON021005
ON022003_1851,PLACE_ON094005
ON022004_1851,PLACE_ON085004
ON022005_1851,PLACE_ON021006
ON022006_1851,PLACE_ON126007
ON023012_1851,PLACE_ON023012
ON023008_1851,PLACE_ON086010
ON023011_1851,PLACE_ON167001
ON023005_1851,PLACE_ON023005_1851
ON016004_1851,PLACE_ON079002_1851
ON023007_1851,PLACE_ON128007
ON016003_1851,PLACE_ON079011
ON023010_1851,PLACE_ON128004
ON023002_1851,PLACE_ON007003
ON023004_1851,PLACE_ON128010
ON023001_1851,PLACE_ON086009
ON025003_1851,PLACE_ON157003
ON025001_1851,PLACE_ON131002
ON025002_1851,PLACE_ON012001
ON025005_1851,PLACE_ON012003
ON025007_1851,PLACE_ON025007
ON025004_1851,PLACE_ON158003
ON024001_1851,PLACE_ON024001
ON024002_1851,PLACE_ON024002
ON024009_1851,PLACE_ON123005_1851
ON024006_1851,PLACE_ON055006
ON024005_1851,PLACE_ON055007
ON024003_1851,PLACE_ON132004
ON024007_1851,PLACE_ON054001
ON026005_1851,PLACE_ON049005
ON026007_1851,PLACE_ON026007_1851
ON026009_1851,PLACE_ON133006
ON026006_1851,PLACE_ON089009
ON026003_1851,PLACE_ON049001
ON026002_1851,PLACE_ON133003
ON026004_1851,PLACE_ON049002
ON027009_1851,PLACE_ON166006
ON027008_1851,PLACE_ON127003
ON027006_1851,PLACE_ON013001
ON028001_1851,PLACE_ON040002
ON028002_1851,PLACE_ON136002
ON028003_1851,PLACE_ON028003
ON028004_1851,PLACE_ON028004_1851
ON029006_1851,PLACE_ON029006
ON029009_1851,PLACE_ON092006
ON029011_1851,PLACE_ON030006
ON029010_1851,PLACE_ON030007
ON029001_1851,PLACE_ON029001
ON029003_1851,PLACE_ON029003
ON029002_1851,PLACE_ON137008
ON029005_1851,PLACE_ON029005
ON030006_1851,PLACE_ON057004
ON030002_1851,PLACE_ON125017
ON030003_1851,PLACE_ON030003_1851
ON030008_1851,PLACE_ON030008
ON030007_1851,PLACE_ON093006
ON030004_1851,PLACE_ON030004
ON031005_1851,PLACE_ON139001
ON031001_1851,PLACE_ON139002
ON032001_1851,PLACE_ON119004
ON032002_1851,PLACE_ON140002
ON032003_1851,PLACE_ON059004
ON032004_1851,PLACE_ON095004_1851
ON032006_1851,PLACE_ON119008
ON033004_1851,PLACE_ON142007
ON033006_1851,PLACE_ON114009
ON033010_1851,PLACE_ON114010
ON033008_1851,PLACE_ON142032
ON033013_1851,PLACE_ON082007
ON033001_1851,PLACE_ON142001
ON033012_1851,PLACE_ON113005
ON033005_1851,PLACE_ON033005
ON034003_1851,PLACE_ON116001
ON034002_1851,PLACE_ON104001
ON034001_1851,PLACE_ON143003
ON004002_1851,PLACE_ON067002
ON034004_1851,PLACE_ON143004
ON035003_1851,PLACE_ON113003
ON035006_1851,PLACE_ON144003
ON035009_1851,PLACE_ON035009
ON035004_1851,PLACE_ON144010
ON035008_1851,PLACE_ON144011
ON035005_1851,PLACE_ON114008_1851
ON038005_1851,PLACE_ON150003
ON038004_1851,PLACE_ON162001
ON039009_1851,PLACE_ON152007
