from,to,overlap_type,iou,year_from,year_to
ON003009_1851,ON066012_1861,CONTAINS,0.0097,1851,1861
ON003011_1851,ON066014_1861,CONTAINS,0.9268,1851,1861
ON003011_1851,ON066015_1861,CONTAINS,0.0732,1851,1861
ON004008_1851,ON111006_1861,CONTAINS,0.0091,1851,1861
ON039010_1851,ON103012_1861,CONTAINS,0.3145,1851,1861
ON039010_1851,ON103002_1861,CONTAINS,0.2952,1851,1861
ON039010_1851,ON103010_1861,CONTAINS,0.3903,1851,1861
ON005001_1851,ON068001_1861,CONTAINS,0.0094,1851,1861
ON005003_1851,ON068003_1861,CONTAINS,0.0099,1851,1861
ON006003_1851,ON069008_1861,CONTAINS,0.0258,1851,1861
ON006004_1851,ON069001_1861,CONTAINS,0.0525,1851,1861
ON006004_1851,ON069005_1861,CONTAINS,0.9475,1851,1861
ON007002_1851,ON070008_1861,CONTAINS,0.01,1851,1861
ON009008_1851,ON072016_1861,CONTAINS,0.0098,1851,1861
ON012004_1851,ON074004_1861,CONTAINS,0.0094,1851,1861
ON014002_1851,ON077006_1861,CONTAINS,0.0207,1851,1861
ON014002_1851,ON077003_1861,CONTAINS,0.0084,1851,1861
ON015003_1851,ON078006_1861,CONTAINS,0.3394,1851,1861
ON015005_1851,ON078009_1861,CONTAINS,0.0088,1851,1861
ON015005_1851,ON078008_1861,CONTAINS,0.9244,1851,1861
ON016008_1851,ON079007_1861,CONTAINS,0.4143,1851,1861
ON016008_1851,ON079013_1861,CONTAINS,0.3533,1851,1861
ON016008_1851,ON079017_1861,CONTAINS,0.2324,1851,1861
ON017005_1851,ON080006_1861,CONTAINS,0.5318,1851,1861
ON017005_1851,ON080007_1861,CONTAINS,0.4682,1851,1861
ON018008_1851,ON081009_1861,CONTAINS,0.0229,1851,1861
ON019004_1851,ON082014_1861,CONTAINS,0.2543,1851,1861
ON019004_1851,ON082004_1861,CONTAINS,0.7457,1851,1861
ON019001_1851,ON082015_1861,CONTAINS,0.3952,1851,1861
ON019001_1851,ON082001_1861,CONTAINS,0.6048,1851,1861
ON021003_1851,ON084009_1861,CONTAINS,0.0335,1851,1861
ON023012_1851,ON110007_1861,CONTAINS,0.007,1851,1861
ON025007_1851,ON087006_1861,WITHIN,0.917,1851,1861
ON024001_1851,ON088002_1861,CONTAINS,0.011,1851,1861
ON024002_1851,ON088005_1861,CONTAINS,0.0123,1851,1861
ON026007_1851,ON089002_1861,CONTAINS,0.6239,1851,1861
