from,to,iou
ON068001_1871,ON109001_1881,1.0
ON068002_1871,ON109003_1881,1.0
ON077005_1871,ON105005_1881,1.0
ON076006_1871,ON104006_1881,1.0
ON079004_1871,ON111006_1881,1.0
ON080002_1871,ON112002_1881,1.0
NB180008_1871,NB031008_1881,1.0
NB180010_1871,NB031010_1881,1.0
NB180007_1871,NB031007_1881,1.0
NB180011_1871,NB031011_1881,1.0
NB180009_1871,NB031009_1881,1.0
NB180002_1871,NB031002_1881,1.0
NB180004_1871,NB031004_1881,1.0
NB180003_1871,NB031003_1881,1.0
NB180006_1871,NB031006_1881,1.0
NB180005_1871,NB031005_1881,1.0
NB180001_1871,NB031001_1881,0.9886
NB175012_1871,NB026017_1881,1.0
NB175001_1871,NB026001_1881,1.0
NB175006_1871,NB026006_1881,1.0
NB175013_1871,NB026018_1881,1.0
NB175002_1871,NB026002_1881,1.0
NB175003_1871,NB026003_1881,1.0
NB175010_1871,NB026015_1881,1.0
NB175005_1871,NB026005_1881,1.0
NB183002_1871,NB036002_1881,1.0
NB183001_1871,NB036001_1881,1.0
NB183006_1871,NB036006_1881,1.0
NB183004_1871,NB036004_1881,1.0
NB183003_1871,NB036003_1881,1.0
NB183005_1871,NB036005_1881,1.0
NB183007_1871,NB036007_1881,1.0
NB185007_1871,NB034008_1881,1.0
NB185003_1871,NB034004_1881,1.0
NB185002_1871,NB034003_1881,1.0
NB185006_1871,NB034007_1881,1.0
NB185004_1871,NB034005_1881,1.0
NB185005_1871,NB034006_1881,1.0
NB176002_1871,NB027002_1881,1.0
NB176010_1871,NB027010_1881,1.0
NB176005_1871,NB027005_1881,1.0
NB176013_1871,NB027015_1881,1.0
NB176006_1871,NB027006_1881,1.0
NB176003_1871,NB027003_1881,1.0
NB176008_1871,NB027008_1881,1.0
NB176004_1871,NB027004_1881,1.0
NB176012_1871,NB027014_1881,1.0
NB176007_1871,NB027007_1881,1.0
NB176009_1871,NB027009_1881,1.0
NB176001_1871,NB027001_1881,1.0
NB187005_1871,NB023005_1881,1.0
NB187001_1871,NB023001_1881,1.0
NB187006_1871,NB023006_1881,1.0
NB187004_1871,NB023004_1881,1.0
NB187002_1871,NB023002_1881,1.0
NB187003_1871,NB023003_1881,1.0
NB184001_1871,NB035001_1881,1.0
NB184006_1871,NB035007_1881,1.0
NB184005_1871,NB035006_1881,1.0
NB184009_1871,NB035010_1881,1.0
NB184007_1871,NB035008_1881,1.0
NB184010_1871,NB035011_1881,1.0
NB184011_1871,NB035012_1881,1.0
NB184004_1871,NB035005_1881,1.0
NB184008_1871,NB035009_1881,1.0
NB184002_1871,NB035002_1881,1.0
NB182002_1871,NB037002_1881,1.0
NB182004_1871,NB037004_1881,1.0
NB182003_1871,NB037003_1881,1.0
NB182005_1871,NB037005_1881,1.0
NB182001_1871,NB037001_1881,1.0
NB174013_1871,NB025009_1881,1.0
NB174012_1871,NB025008_1881,1.0
NB174007_1871,NB024007_1881,1.0
NB174005_1871,NB024005_1881,1.0
NB174009_1871,NB024009_1881,1.0
NB174003_1871,NB024003_1881,1.0
NB174001_1871,NB024001_1881,1.0
NB174004_1871,NB024004_1881,1.0
NB174006_1871,NB024006_1881,1.0
NB174002_1871,NB024002_1881,1.0
NB178003_1871,NB029004_1881,1.0
NB178002_1871,NB029003_1881,1.0
NB178006_1871,NB029007_1881,1.0
NB178005_1871,NB029006_1881,1.0
NB178004_1871,NB029005_1881,1.0
NB177009_1871,NB028009_1881,1.0
NB177005_1871,NB028005_1881,1.0
NB177006_1871,NB028006_1881,1.0
NB177010_1871,NB028010_1881,1.0
NB177002_1871,NB028002_1881,1.0
NB177003_1871,NB028003_1881,1.0
NB177008_1871,NB028008_1881,1.0
NB177001_1871,NB028001_1881,1.0
NB177007_1871,NB028007_1881,1.0
NB177004_1871,NB028004_1881,1.0
NB181001_1871,NB032010_1881,1.0
NB181006_1871,NB032005_1881,1.0
NB181008_1871,NB032001_1881,1.0
NB186004_1871,NB033004_1881,1.0
NB186001_1871,NB033001_1881,1.0
NB186006_1871,NB033007_1881,0.9916
NB186002_1871,NB033002_1881,1.0
NB186007_1871,NB033008_1881,1.0
NB186005_1871,NB033005_1881,1.0
NB186003_1871,NB033003_1881,1.0
NB179014_1871,NB030015_1881,1.0
NB179015_1871,NB030016_1881,1.0
NB179008_1871,NB030008_1881,1.0
NB179007_1871,NB030007_1881,1.0
NB179006_1871,NB030006_1881,1.0
NB179013_1871,NB030014_1881,1.0
NB179017_1871,NB030018_1881,1.0
NB179012_1871,NB030013_1881,1.0
NB179016_1871,NB030017_1881,1.0
NB174008_1871,NB024008_1881,1.0
NB179005_1871,NB030005_1881,1.0
NB179004_1871,NB030004_1881,1.0
NB179003_1871,NB030003_1881,1.0
NB179002_1871,NB030002_1881,1.0
NB179001_1871,NB030001_1881,1.0
NS190005_1871,NS016005_1881,1.0
NS190011_1871,NS016011_1881,1.0
NS190003_1871,NS016003_1881,1.0
NS190009_1871,NS016009_1881,1.0
NS190008_1871,NS016008_1881,1.0
NS190006_1871,NS016006_1881,1.0
NS190007_1871,NS016007_1881,1.0
NS190015_1871,NS016015_1881,1.0
NS190001_1871,NS016001_1881,1.0
NS190002_1871,NS016002_1881,1.0
NS190013_1871,NS016013_1881,1.0
NS190012_1871,NS016012_1881,1.0
NS190004_1871,NS016004_1881,1.0
NS201004_1871,NS021004_1881,1.0
NS201003_1871,NS021003_1881,1.0
NS201005_1871,NS021005_1881,1.0
NS201006_1871,NS021006_1881,1.0
NS201007_1871,NS021007_1881,1.0
NS201001_1871,NS021001_1881,1.0
NS204004_1871,NS005005_1881,1.0
NS204012_1871,NS005014_1881,1.0
NS204011_1871,NS005013_1881,1.0
NS204010_1871,NS005012_1881,1.0
NS204003_1871,NS005004_1881,1.0
NS205002_1871,NS006004_1881,1.0
NS205009_1871,NS006013_1881,1.0
NS205007_1871,NS006016_1881,1.0
NS199007_1871,NS019011_1881,1.0
NS199013_1871,NS019017_1881,1.0
NS199008_1871,NS019012_1881,1.0
NS199004_1871,NS019008_1881,1.0
NS199005_1871,NS019009_1881,1.0
NS199006_1871,NS019010_1881,1.0
NS198010_1871,NS022011_1881,1.0
NS198011_1871,NS022012_1881,1.0
NS198001_1871,NS022001_1881,1.0
NS198008_1871,NS022009_1881,1.0
NS198009_1871,NS022010_1881,1.0
NS198007_1871,NS022008_1881,1.0
NS191012_1871,NS015011_1881,1.0
NS191014_1871,NS015014_1881,1.0
NS191013_1871,NS015012_1881,1.0
NS191009_1871,NS015008_1881,1.0
NS202009_1871,NS008009_1881,1.0
NS202002_1871,NS008002_1881,1.0
NS202014_1871,NS008011_1881,1.0
NS202008_1871,NS008008_1881,1.0
NS202015_1871,NS008014_1881,1.0
NS202012_1871,NS008012_1881,1.0
NS202007_1871,NS008007_1881,1.0
NS202003_1871,NS008003_1881,1.0
NS197007_1871,NS010020_1881,1.0
NS196015_1871,NS010008_1881,1.0
NS197004_1871,NS010017_1881,1.0
NS196009_1871,NS010002_1881,1.0
NS196016_1871,NS010009_1881,1.0
NS196018_1871,NS010011_1881,1.0
NS196017_1871,NS010010_1881,1.0
NS197009_1871,NS010022_1881,1.0
NS197006_1871,NS010019_1881,1.0
NS197016_1871,NS010029_1881,1.0
NS197017_1871,NS010030_1881,1.0
NS197015_1871,NS010028_1881,1.0
NS197008_1871,NS010021_1881,1.0
NS196008_1871,NS010001_1881,1.0
NS197012_1871,NS010025_1881,1.0
NS196010_1871,NS010003_1881,1.0
NS197005_1871,NS010018_1881,1.0
NS197002_1871,NS010015_1881,1.0
NS196011_1871,NS010004_1881,1.0
NS197011_1871,NS010024_1881,1.0
NS197010_1871,NS010023_1881,1.0
NS197014_1871,NS010027_1881,1.0
NS196001_1871,NS009001_1881,1.0
NS196002_1871,NS009002_1881,1.0
NS196005_1871,NS009005_1881,1.0
NS196007_1871,NS009007_1881,1.0
NS188002_1871,NS018015_1881,1.0
NS188007_1871,NS018010_1881,1.0
NS188008_1871,NS018016_1881,1.0
NS188009_1871,NS018008_1881,1.0
NS188011_1871,NS018005_1881,1.0
NS188001_1871,NS018007_1881,1.0
NS188006_1871,NS018011_1881,1.0
NS188010_1871,NS018006_1881,1.0
NS188003_1871,NS018014_1881,1.0
NS203012_1871,NS004013_1881,1.0
NS203005_1871,NS004005_1881,1.0
NS203015_1871,NS004016_1881,1.0
NS203008_1871,NS004009_1881,1.0
NS203013_1871,NS004014_1881,1.0
NS203007_1871,NS004008_1881,1.0
NS203006_1871,NS004006_1881,1.0
NS203002_1871,NS004002_1881,1.0
NS203003_1871,NS004003_1881,1.0
NS189012_1871,NS017012_1881,1.0
NS189005_1871,NS017002_1881,1.0
NS189008_1871,NS017004_1881,1.0
NS189014_1871,NS017011_1881,1.0
NS189011_1871,NS017014_1881,1.0
NS189010_1871,NS017005_1881,1.0
NS189001_1871,NS017006_1881,1.0
NS195002_1871,NS011009_1881,1.0
NS195001_1871,NS011005_1881,1.0
NS195012_1871,NS011006_1881,1.0
NS195004_1871,NS011013_1881,1.0
NS195011_1871,NS011012_1881,1.0
NS195013_1871,NS011007_1881,1.0
NS195003_1871,NS011008_1881,1.0
NS195005_1871,NS011002_1881,1.0
NS195006_1871,NS011001_1881,1.0
NS200022_1871,NS020024_1881,1.0
NS200021_1871,NS020023_1881,1.0
NS200004_1871,NS020004_1881,1.0
NS200005_1871,NS020005_1881,1.0
NS200009_1871,NS020010_1881,1.0
NS200008_1871,NS020009_1881,1.0
NS200013_1871,NS020014_1881,1.0
NS200016_1871,NS020018_1881,1.0
NS200017_1871,NS020019_1881,1.0
NS200012_1871,NS020013_1881,1.0
NS200010_1871,NS020011_1881,1.0
NS200001_1871,NS020001_1881,1.0
NS200011_1871,NS020012_1881,1.0
NS200003_1871,NS020003_1881,1.0
NS200002_1871,NS020002_1881,1.0
NS206012_1871,NS007001_1881,1.0
NS206007_1871,NS007005_1881,1.0
NS206010_1871,NS007003_1881,1.0
NS206004_1871,NS007009_1881,1.0
NS206008_1871,NS007004_1881,1.0
NS206002_1871,NS007012_1881,1.0
NS206003_1871,NS007008_1881,1.0
NS206009_1871,NS007006_1881,1.0
NS206005_1871,NS007010_1881,1.0
NS206006_1871,NS007007_1881,1.0
NS193003_1871,NS013010_1881,1.0
NS193002_1871,NS013009_1881,1.0
NS192009_1871,NS014009_1881,1.0
NS192005_1871,NS014005_1881,1.0
NS192007_1871,NS014007_1881,1.0
NS192006_1871,NS014006_1881,1.0
NS192004_1871,NS014004_1881,1.0
NS192010_1871,NS014010_1881,1.0
NS192008_1871,NS014008_1881,1.0
NS192001_1871,NS014001_1881,1.0
NS190999_1871,NS016999_1881,1.0
NS204999_1871,NS005999_1881,1.0
NS191999_1871,NS015999_1881,1.0
NS202999_1871,NS008999_1881,1.0
NS188999_1871,NS018999_1881,1.0
NS203999_1871,NS004999_1881,1.0
NS200999_1871,NS020999_1881,1.0
NS193999_1871,NS013999_1881,1.0
NS189004_1871,NS017008_1881,1.0
NS189009_1871,NS017013_1881,1.0
NS189007_1871,NS017003_1881,1.0
NS189013_1871,NS017010_1881,1.0
NS189002_1871,NS017007_1881,1.0
NS189003_1871,NS017009_1881,1.0
NS198012_1871,NS022013_1881,1.0
NS189006_1871,NS017001_1881,1.0
NS204005_1871,NS005006_1881,1.0
NS197003_1871,NS010016_1881,1.0
NS196020_1871,NS009008_1881,1.0
NS206011_1871,NS007002_1881,1.0
NS188005_1871,NS018012_1881,1.0
NS192002_1871,NS014002_1881,1.0
NS192003_1871,NS014003_1881,1.0
NS192999_1871,NS014999_1881,1.0
NS200007_1871,NS020008_1881,1.0
NS196003_1871,NS009003_1881,1.0
NS196004_1871,NS009004_1881,1.0
NS196006_1871,NS009006_1881,1.0
PE003006_1871,PE003010_1881,1.0
PE003007_1871,PE003009_1881,1.0
PE003008_1871,PE003008_1881,1.0
PE003009_1871,PE003007_1881,1.0
PE003010_1871,PE003006_1881,1.0
PE003001_1871,PE003005_1881,1.0
PE003002_1871,PE003004_1881,1.0
PE003003_1871,PE003003_1881,1.0
PE003004_1871,PE003002_1881,1.0
PE003005_1871,PE003001_1881,1.0
PE003012_1871,PE003016_1881,1.0
PE003013_1871,PE003015_1881,1.0
PE003014_1871,PE003014_1881,1.0
PE003015_1871,PE003013_1881,1.0
PE003016_1871,PE003012_1881,1.0
PE003011_1871,PE003011_1881,1.0
PE003017_1871,PE003018_1881,1.0
PE003018_1871,PE003019_1881,1.0
PE003019_1871,PE003020_1881,1.0
PE003020_1871,PE003021_1881,1.0
PE003021_1871,PE003017_1881,1.0
PE003022_1871,PE003022_1881,1.0
PE001001_1871,PE001001_1881,1.0
PE001002_1871,PE001002_1881,1.0
PE001003_1871,PE001003_1881,1.0
PE001004_1871,PE001004_1881,1.0
PE001005_1871,PE001005_1881,1.0
PE001006_1871,PE001006_1881,1.0
PE001007_1871,PE001007_1881,1.0
PE001008_1871,PE001008_1881,1.0
PE001009_1871,PE001009_1881,1.0
PE001010_1871,PE001010_1881,1.0
PE001011_1871,PE001011_1881,1.0
PE001012_1871,PE001012_1881,1.0
PE001013_1871,PE001013_1881,1.0
PE001014_1871,PE001014_1881,1.0
PE001015_1871,PE001015_1881,1.0
PE001016_1871,PE001016_1881,1.0
PE001024_1871,PE001018_1881,1.0
PE001019_1871,PE001020_1881,1.0
PE001020_1871,PE001021_1881,1.0
PE001021_1871,PE001022_1881,1.0
PE001022_1871,PE001023_1881,1.0
PE001023_1871,PE001024_1881,1.0
PE001025_1871,PE001017_1881,1.0
PE002001_1871,PE002002_1881,1.0
PE002002_1871,PE002003_1881,1.0
PE002003_1871,PE002004_1881,1.0
PE002007_1871,PE002005_1881,1.0
PE002008_1871,PE002006_1881,1.0
PE002004_1871,PE002007_1881,1.0
PE002005_1871,PE002008_1881,1.0
PE002009_1871,PE002009_1881,1.0
PE002010_1871,PE002010_1881,1.0
PE002012_1871,PE002011_1881,1.0
PE002013_1871,PE002012_1881,1.0
PE002014_1871,PE002013_1881,1.0
PE002015_1871,PE002014_1881,1.0
PE002016_1871,PE002015_1881,1.0
PE002017_1871,PE002016_1881,1.0
PE002018_1871,PE002017_1881,1.0
PE002019_1871,PE002018_1881,1.0
PE002020_1871,PE002019_1881,1.0
PE002021_1871,PE002020_1881,1.0
PE002022_1871,PE002021_1881,1.0
PE002023_1871,PE002022_1881,1.0
PE002011_1871,PE002023_1881,1.0
PE002006_1871,PE002024_1881,1.0
PE002024_1871,PE002001_1881,1.0
NL998999_1871,NL998999_1881,1.0
QC096003_1871,QC096003_1881,1.0
QC096007_1871,QC096011_1881,1.0
QC096001_1871,QC096005_1881,0.9909
QC096008_1871,QC096013_1881,1.0
QC096005_1871,QC096002_1881,1.0
QC096006_1871,QC096001_1881,1.0
QC122010_1871,QC058011_1881,1.0
QC122002_1871,QC058002_1881,1.0
QC122006_1871,QC058006_1881,1.0
QC122007_1871,QC058007_1881,1.0
QC122001_1871,QC058001_1881,1.0
QC122003_1871,QC058003_1881,1.0
QC122004_1871,QC058004_1881,1.0
QC122009_1871,QC058010_1881,1.0
QC157003_1871,QC048014_1881,1.0
QC158006_1871,QC048010_1881,1.0
QC157007_1871,QC048019_1881,1.0
QC157006_1871,QC048018_1881,1.0
QC111003_1871,QC073006_1881,1.0
QC111007_1871,QC073004_1881,1.0
QC111004_1871,QC073002_1881,1.0
QC111002_1871,QC073007_1881,1.0
QC162002_1871,QC045009_1881,1.0
QC161002_1871,QC045004_1881,1.0
QC161001_1871,QC045001_1881,1.0
QC162001_1871,QC045007_1881,1.0
QC161004_1871,QC045002_1881,1.0
QC161005_1871,QC045006_1881,1.0
QC161006_1871,QC045003_1881,1.0
QC103002_1871,QC086002_1881,1.0
QC103001_1871,QC086001_1881,1.0
QC103006_1871,QC086006_1881,1.0
QC103007_1871,QC086007_1881,1.0
QC103008_1871,QC086008_1881,1.0
QC103004_1871,QC086004_1881,1.0
QC169001_1871,QC038001_1881,1.0
QC126002_1871,QC060001_1881,1.0
QC126001_1871,QC060006_1881,1.0
QC126004_1871,QC060003_1881,1.0
QC126003_1871,QC060002_1881,1.0
QC119004_1871,QC066007_1881,1.0
QC119007_1871,QC066004_1881,1.0
QC119008_1871,QC066005_1881,1.0
QC119003_1871,QC066008_1881,1.0
QC119005_1871,QC066006_1881,1.0
QC118003_1871,QC067001_1881,1.0
QC118010_1871,QC067007_1881,1.0
QC132003_1871,QC082002_1881,1.0
QC132007_1871,QC082014_1881,1.0
QC132005_1871,QC082003_1881,1.0
QC132006_1871,QC082004_1881,1.0
QC132004_1871,QC082007_1881,1.0
QC132002_1871,QC082008_1881,1.0
QC133002_1871,QC082006_1881,1.0
QC132008_1871,QC082005_1881,1.0
QC149003_1871,QC077012_1881,1.0
QC149002_1871,QC077006_1881,1.0
QC149005_1871,QC077009_1881,1.0
QC149008_1871,QC077003_1881,1.0
QC149007_1871,QC077008_1881,1.0
QC149011_1871,QC077001_1881,1.0
QC149004_1871,QC077005_1881,1.0
QC112006_1871,QC071003_1881,1.0
QC112005_1871,QC071001_1881,0.9999
QC112001_1871,QC071007_1881,1.0
QC112007_1871,QC071004_1881,0.9947
QC112003_1871,QC071002_1881,0.9997
QC112002_1871,QC071006_1881,1.0
QC112004_1871,QC071005_1881,1.0
QC150006_1871,QC076018_1881,0.985
QC142004_1871,QC054019_1881,1.0
QC142008_1871,QC054010_1881,1.0
QC142005_1871,QC054016_1881,1.0
QC142009_1871,QC054009_1881,1.0
QC142007_1871,QC054018_1881,1.0
QC142011_1871,QC054006_1881,1.0
QC097007_1871,QC095009_1881,0.9803
QC097012_1871,QC095012_1881,1.0
QC097004_1871,QC095005_1881,1.0
QC097008_1871,QC095011_1881,1.0
QC097001_1871,QC095010_1881,1.0
QC097010_1871,QC095002_1881,1.0
QC159005_1871,QC047004_1881,1.0
QC159002_1871,QC047014_1881,0.9903
QC159006_1871,QC047005_1881,1.0
QC159007_1871,QC047006_1881,1.0
QC137017_1871,QC052023_1881,1.0
QC137015_1871,QC052020_1881,1.0
QC137014_1871,QC052019_1881,1.0
QC137016_1871,QC052021_1881,1.0
QC136008_1871,QC052009_1881,1.0
QC136004_1871,QC052006_1881,0.9865
QC137004_1871,QC052029_1881,1.0
QC137013_1871,QC052024_1881,1.0
QC137007_1871,QC052018_1881,1.0
QC137008_1871,QC052017_1881,1.0
QC137018_1871,QC052022_1881,1.0
QC137011_1871,QC052027_1881,1.0
QC136005_1871,QC052003_1881,1.0
QC136006_1871,QC052007_1881,1.0
QC137012_1871,QC052025_1881,1.0
QC170001_1871,QC039001_1881,1.0
QC171008_1871,QC039013_1881,1.0
QC172004_1871,QC039017_1881,1.0
QC172003_1871,QC039016_1881,1.0
QC170003_1871,QC039003_1881,1.0
QC172002_1871,QC039015_1881,1.0
QC170002_1871,QC039002_1881,1.0
QC171007_1871,QC039012_1881,1.0
QC114004_1871,QC072009_1881,1.0
QC113005_1871,QC072005_1881,1.0
QC113003_1871,QC072003_1881,1.0
QC114001_1871,QC072006_1881,1.0
QC113002_1871,QC072002_1881,1.0
QC113001_1871,QC072001_1881,1.0
QC113004_1871,QC072004_1881,1.0
QC114003_1871,QC072008_1881,1.0
QC114002_1871,QC072007_1881,1.0
QC108007_1871,QC092007_1881,1.0
QC108004_1871,QC092004_1881,1.0
QC108003_1871,QC092011_1881,1.0
QC108008_1871,QC092008_1881,1.0
QC102005_1871,QC087012_1881,1.0
QC102004_1871,QC087010_1881,1.0
QC102012_1871,QC087011_1881,1.0
QC102002_1871,QC087002_1881,1.0
QC102008_1871,QC087005_1881,1.0
QC102010_1871,QC087009_1881,1.0
QC102001_1871,QC087003_1881,1.0
QC102007_1871,QC087004_1881,1.0
QC102003_1871,QC087001_1881,1.0
QC165007_1871,QC042007_1881,1.0
QC165003_1871,QC042003_1881,1.0
QC165001_1871,QC042001_1881,1.0
QC165005_1871,QC042005_1881,1.0
QC165013_1871,QC042012_1881,1.0
QC165008_1871,QC042009_1881,1.0
QC165002_1871,QC042002_1881,1.0
QC165004_1871,QC042004_1881,1.0
QC165006_1871,QC042006_1881,1.0
QC094001_1871,QC097001_1881,1.0
QC095007_1871,QC097018_1881,1.0
QC095004_1871,QC097014_1881,1.0
QC095002_1871,QC097012_1881,1.0
QC094002_1871,QC097002_1881,1.0
QC115001_1871,QC069002_1881,1.0
QC115007_1871,QC069007_1881,1.0
QC115005_1871,QC069004_1881,1.0
QC115006_1871,QC069005_1881,1.0
QC115003_1871,QC069003_1881,1.0
QC115002_1871,QC069001_1881,1.0
QC116003_1871,QC070003_1881,1.0
QC116001_1871,QC070001_1881,1.0
QC116002_1871,QC070002_1881,1.0
QC100008_1871,QC088008_1881,1.0
QC100010_1871,QC088010_1881,0.9987
QC100006_1871,QC088006_1881,0.9977
QC100003_1871,QC088003_1881,1.0
QC100004_1871,QC088004_1881,0.9993
QC100007_1871,QC088007_1881,1.0
QC100009_1871,QC088009_1881,1.0
QC107007_1871,QC091016_1881,1.0
QC107008_1871,QC091017_1881,1.0
QC098001_1871,QC093005_1881,1.0
QC098002_1871,QC093002_1881,0.9919
QC098005_1871,QC093001_1881,1.0
QC107006_1871,QC091015_1881,1.0
QC107009_1871,QC091018_1881,1.0
QC154001_1871,QC046007_1881,1.0
QC154002_1871,QC046009_1881,1.0
QC154004_1871,QC046011_1881,1.0
QC153004_1871,QC046002_1881,1.0
QC164005_1871,QC043006_1881,1.0
QC164002_1871,QC043003_1881,1.0
QC155009_1871,QC049010_1881,1.0
QC155010_1871,QC049007_1881,1.0
QC155007_1871,QC049008_1881,1.0
QC155008_1871,QC049009_1881,1.0
QC155005_1871,QC049005_1881,1.0
QC155004_1871,QC049004_1881,1.0
QC155006_1871,QC049006_1881,1.0
QC155003_1871,QC049003_1881,1.0
QC107010_1871,QC091004_1881,0.9986
QC128002_1871,QC085001_1881,0.9887
QC128004_1871,QC085005_1881,1.0
QC156001_1871,QC050001_1881,1.0
QC156002_1871,QC050002_1881,1.0
QC156007_1871,QC050009_1881,1.0
QC156008_1871,QC050010_1881,1.0
QC156004_1871,QC050004_1881,1.0
QC156010_1871,QC050013_1881,1.0
QC125007_1871,QC065008_1881,1.0
QC125005_1871,QC065005_1881,1.0
QC125003_1871,QC065003_1881,1.0
QC125001_1871,QC065001_1881,1.0
QC125009_1871,QC065012_1881,1.0
QC125008_1871,QC065007_1881,1.0
QC125006_1871,QC065006_1881,1.0
QC101003_1871,QC089003_1881,1.0
QC101004_1871,QC089004_1881,1.0
QC101001_1871,QC089001_1881,1.0
QC101005_1871,QC089005_1881,1.0
QC163001_1871,QC044005_1881,1.0
QC163005_1871,QC044004_1881,1.0
QC163006_1871,QC044003_1881,1.0
QC163002_1871,QC044002_1881,1.0
QC163003_1871,QC044001_1881,1.0
QC148008_1871,QC078008_1881,1.0
QC148006_1871,QC078007_1881,1.0
QC148007_1871,QC078013_1881,1.0
QC148004_1871,QC078005_1881,1.0
QC148005_1871,QC078004_1881,1.0
QC148003_1871,QC078003_1881,1.0
QC148010_1871,QC078010_1881,1.0
QC148001_1871,QC078002_1881,1.0
QC148012_1871,QC078011_1881,1.0
QC104002_1871,QC090003_1881,1.0
QC106001_1871,QC090001_1881,1.0
QC104001_1871,QC090002_1881,1.0
QC104003_1871,QC090004_1881,1.0
QC105002_1871,QC090006_1881,1.0
QC106003_1871,QC090009_1881,1.0
QC105001_1871,QC090005_1881,1.0
QC135005_1871,QC051003_1881,0.9949
QC135013_1871,QC051014_1881,1.0
QC135009_1871,QC051013_1881,0.9944
QC135012_1871,QC051009_1881,1.0
QC135010_1871,QC051011_1881,1.0
QC091002_1871,QC098004_1881,1.0
QC091012_1871,QC098016_1881,1.0
QC091004_1871,QC098007_1881,1.0
QC143006_1871,QC081016_1881,1.0
QC143003_1871,QC081002_1881,1.0
QC143007_1871,QC081008_1881,1.0
QC143001_1871,QC081001_1881,1.0
QC143010_1871,QC081006_1881,1.0
QC143005_1871,QC081015_1881,1.0
QC143008_1871,QC081013_1881,1.0
QC143013_1871,QC081007_1881,1.0
QC146001_1871,QC079005_1881,1.0
QC146002_1871,QC079006_1881,1.0
QC146003_1871,QC079007_1881,1.0
QC147002_1871,QC079002_1881,1.0
QC147001_1871,QC079001_1881,1.0
QC145002_1871,QC079011_1881,1.0
QC144003_1871,QC080007_1881,0.9951
QC144005_1871,QC080002_1881,1.0
QC144011_1871,QC080010_1881,1.0
QC120009_1871,QC061008_1881,1.0
QC120002_1871,QC061011_1881,1.0
QC120001_1871,QC061012_1881,1.0
QC120003_1871,QC061010_1881,1.0
QC138004_1871,QC053004_1881,1.0
QC139007_1871,QC053020_1881,1.0
QC139004_1871,QC053021_1881,1.0
QC138009_1871,QC053001_1881,1.0
QC138006_1871,QC053006_1881,1.0
QC139001_1871,QC053022_1881,1.0
QC138005_1871,QC053003_1881,1.0
QC138007_1871,QC053007_1881,1.0
QC138003_1871,QC053005_1881,1.0
QC167003_1871,QC040003_1881,1.0
QC167008_1871,QC040010_1881,1.0
QC167001_1871,QC040002_1881,1.0
QC167006_1871,QC040007_1881,1.0
QC123011_1871,QC063010_1881,1.0
QC123008_1871,QC063008_1881,1.0
QC123003_1871,QC063012_1881,1.0
QC123009_1871,QC063007_1881,1.0
QC121006_1871,QC062004_1881,1.0
QC121001_1871,QC062011_1881,1.0
QC121004_1871,QC062007_1881,1.0
QC121009_1871,QC062003_1881,1.0
QC121008_1871,QC062001_1881,1.0
QC124006_1871,QC064004_1881,1.0
QC124002_1871,QC064001_1881,1.0
QC117001_1871,QC068001_1881,1.0
QC124005_1871,QC064006_1881,1.0
QC124004_1871,QC064003_1881,0.9866
QC117004_1871,QC068004_1881,1.0
QC117003_1871,QC068003_1881,1.0
QC124007_1871,QC064005_1881,1.0
QC117002_1871,QC068002_1881,1.0
QC117005_1871,QC068005_1881,1.0
QC127011_1871,QC059011_1881,1.0
QC127012_1871,QC059012_1881,1.0
QC127001_1871,QC059001_1881,0.9852
QC127010_1871,QC059010_1881,1.0
QC127009_1871,QC059009_1881,1.0
QC127002_1871,QC059002_1881,1.0
QC127008_1871,QC059008_1881,1.0
QC140002_1871,QC055005_1881,1.0
QC110001_1871,QC074003_1881,1.0
QC141005_1871,QC056006_1881,1.0
QC141004_1871,QC056005_1881,1.0
QC141003_1871,QC056004_1881,1.0
QC141006_1871,QC056007_1881,1.0
QC141002_1871,QC056002_1881,1.0
QC166004_1871,QC041007_1881,1.0
QC166006_1871,QC041008_1881,1.0
QC166001_1871,QC041003_1881,1.0
QC166002_1871,QC041002_1881,1.0
QC166009_1871,QC041004_1881,1.0
QC166011_1871,QC041021_1881,1.0
QC166005_1871,QC041006_1881,1.0
QC099007_1871,QC094007_1881,1.0
QC099002_1871,QC094002_1881,1.0
QC129001_1871,QC084002_1881,1.0
QC129004_1871,QC084008_1881,1.0
QC129007_1871,QC084005_1881,1.0
QC129008_1871,QC084006_1881,1.0
QC129003_1871,QC084003_1881,1.0
QC129002_1871,QC084001_1881,1.0
QC131001_1871,QC083001_1881,1.0
QC109001_1871,QC075007_1881,1.0
QC109005_1871,QC075003_1881,1.0
QC109003_1871,QC075005_1881,1.0
QC093009_1871,QC097035_1881,1.0
QC093014_1871,QC097039_1881,1.0
QC093015_1871,QC097040_1881,1.0
QC093004_1871,QC097027_1881,1.0
QC093010_1871,QC097036_1881,1.0
QC093007_1871,QC097034_1881,1.0
QC093005_1871,QC097032_1881,1.0
QC093012_1871,QC097037_1881,1.0
QC093003_1871,QC097026_1881,1.0
QC136002_1871,QC052004_1881,1.0
QC134008_1871,QC057008_1881,1.0
QC134003_1871,QC057003_1881,1.0
QC136001_1871,QC052002_1881,1.0
QC134006_1871,QC057007_1881,1.0
QC149999_1871,QC077999_1881,1.0
QC105999_1871,QC090999_1881,1.0
