raw_cd_id,year,chain_place_id
CD_BC_Vancouver,1881,CD_BC_Vancouver
CD_BC_Vancouver,1891,CD_BC_Vancouver
CD_BC_Vancouver,1901,CD_BC_Vancouver
CD_BC_Vancouver_Centre,1921,CD_BC_Vancouver_Centre
CD_BC_Vancouver_City,1911,CD_BC_Vancouver_City
CD_BC_Vancouver_South,1921,CD_BC_Vancouver_South
CD_BC_Victoria,1881,CD_BC_Victoria
CD_BC_Victoria,1891,CD_BC_Victoria
CD_BC_Victoria,1901,CD_BC_Victoria_1901
CD_BC_Victoria_,1901,CD_BC_Victoria_City
CD_BC_Victoria_1901,1901,CD_BC_Victoria_1901_1901
CD_BC_Victoria_City,1901,CD_BC_Victoria_City
CD_BC_Victoria_City,1911,CD_BC_Victoria_City
CD_BC_Victoria_City,1921,CD_BC_Victoria_City
CD_BC_Yale,1881,CD_BC_Yale
CD_BC_Yale,1891,CD_BC_Yale
CD_BC_Yale,1921,CD_BC_Yale_1921
CD_BC_Yale_&_Cariboo,1901,CD_BC_Yale_&_Cariboo
CD_BC_Yale_&_Cariboo,1911,CD_BC_Yale_&_Cariboo
CD_BC_Yale_1921,1921,CD_BC_Yale_1921_1921
CD_MB_Brandon,1901,CD_MB_Brandon
CD_MB_Brandon,1911,CD_MB_Brandon
CD_MB_Dauphin,1911,CD_MB_Dauphin
CD_MB_Division_No._1,1921,CD_MB_Division_No._1
CD_MB_Division_No._10,1921,CD_MB_Division_No._10
CD_MB_Division_No._11,1921,CD_MB_Division_No._11
CD_MB_Division_No._12,1921,CD_MB_Division_No._12
CD_MB_Division_No._13,1921,CD_MB_Division_No._13
CD_MB_Division_No._14,1921,CD_MB_Division_No._14
CD_MB_Division_No._15,1921,CD_MB_Division_No._15
CD_MB_Division_No._16,1921,CD_MB_Division_No._16
CD_MB_Division_No._2,1921,CD_MB_Division_No._2
CD_MB_Division_No._3,1921,CD_MB_Division_No._3
CD_MB_Division_No._4,1921,CD_MB_Division_No._4
CD_MB_Division_No._5,1921,CD_MB_Division_No._5
CD_MB_Division_No._6,1921,CD_MB_Division_No._6
CD_MB_Division_No._7,1921,CD_MB_Division_No._7
CD_MB_Division_No._8,1921,CD_MB_Division_No._8
CD_MB_Division_No._9,1921,CD_MB_Division_No._9
CD_MB_Extension,1881,CD_MB_Extension
CD_MB_Lisgar,1881,CD_MB_Lisgar
CD_MB_Lisgar,1891,CD_MB_Lisgar
CD_MB_Lisgar,1901,CD_MB_Lisgar
CD_MB_Lisgar,1911,CD_MB_Lisgar
CD_MB_Macdonald,1901,CD_MB_Macdonald
CD_MB_Macdonald,1911,CD_MB_Macdonald
CD_MB_Manitoba,1871,CD_MB_Manitoba
CD_MB_Marquette,1881,CD_MB_Marquette
CD_MB_Marquette,1891,CD_MB_Marquette
CD_MB_Marquette,1901,CD_MB_Marquette
CD_MB_Marquette,1911,CD_MB_Marquette
CD_MB_Portage_La_Prairie,1911,CD_MB_Portage_La_Prairie
CD_MB_Provencher,1881,CD_MB_Provencher
CD_MB_Provencher,1891,CD_MB_Provencher_1891_1891
CD_MB_Provencher,1901,CD_MB_Provencher
CD_MB_Provencher,1911,CD_MB_Provencher
CD_MB_Provencher_,1881,CD_MB_Provencher_1881
CD_MB_Provencher_,1891,CD_MB_Provencher_1891
CD_MB_Provencher_1881,1881,CD_MB_Provencher_1881_1881
CD_MB_Provencher_1891,1891,CD_MB_Provencher_1891_1891_1891
CD_MB_Provencher_1891_1891,1891,CD_MB_Provencher_1891_1891_1891_1891
CD_MB_Selkirk,1881,CD_MB_Selkirk
CD_MB_Selkirk,1891,CD_MB_Selkirk
CD_MB_Selkirk,1901,CD_MB_Selkirk
CD_MB_Selkirk,1911,CD_MB_Selkirk
CD_MB_Souris,1911,CD_MB_Souris
"CD_MB_Winnipeg,_City—Cité",1891,CD_MB_Winnipeg_City
"CD_MB_Winnipeg,_City—Cité",1901,CD_MB_Winnipeg_City
CD_MB_Winnipeg_City,1891,CD_MB_Winnipeg_City_1891
CD_MB_Winnipeg_City,1901,CD_MB_Winnipeg_City_1901
CD_MB_Winnipeg_City,1911,CD_MB_Winnipeg_City
CD_NB_Albert,1871,CD_NB_Albert
CD_NB_Albert,1881,CD_NB_Albert
CD_NB_Albert,1891,CD_NB_Albert
CD_NB_Albert,1901,CD_NB_Albert
CD_NB_Albert,1921,CD_NB_Albert_1921
CD_NB_Albert_1921,1921,CD_NB_Albert_1921_1921
CD_NB_Carleton,1871,CD_NB_Carleton
CD_NB_Carleton,1881,CD_NB_Carleton
CD_NB_Carleton,1891,CD_NB_Carleton
CD_NB_Carleton,1901,CD_NB_Carleton
CD_NB_Carleton,1911,CD_NB_Carleton
CD_NB_Carleton,1921,CD_NB_Carleton
CD_NB_Charlotte,1871,CD_NB_Charlotte
CD_NB_Charlotte,1881,CD_NB_Charlotte
CD_NB_Charlotte,1891,CD_NB_Charlotte
CD_NB_Charlotte,1901,CD_NB_Charlotte
CD_NB_Charlotte,1911,CD_NB_Charlotte
CD_NB_Charlotte,1921,CD_NB_Charlotte
CD_NB_Gloucester,1871,CD_NB_Gloucester
CD_NB_Gloucester,1881,CD_NB_Gloucester
CD_NB_Gloucester,1891,CD_NB_Gloucester
CD_NB_Gloucester,1901,CD_NB_Gloucester
CD_NB_Gloucester,1911,CD_NB_Gloucester
CD_NB_Gloucester,1921,CD_NB_Gloucester
CD_NB_Kent,1871,CD_NB_Kent
CD_NB_Kent,1881,CD_NB_Kent
CD_NB_Kent,1891,CD_NB_Kent
CD_NB_Kent,1901,CD_NB_Kent
CD_NB_Kent,1911,CD_NB_Kent
CD_NB_Kent,1921,CD_NB_Kent
CD_NB_King's,1871,CD_NB_King's
CD_NB_King's,1881,CD_NB_King's
CD_NB_King's,1891,CD_NB_King's_1891
CD_NB_King's,1901,CD_NB_King's_1901
CD_NB_Kings,1901,CD_NB_King's
CD_NB_Kings,1921,CD_NB_Kings
CD_NB_Kings_&_Albert,1911,CD_NB_Kings_&_Albert
CD_NB_King’s,1891,CD_NB_King's
CD_NB_Madawaska,1921,CD_NB_Madawaska
CD_NB_New_Brunswick,1851,CD_NB_New_Brunswick
CD_NB_New_Brunswick,1861,CD_NB_New_Brunswick
CD_NB_Northumberland,1871,CD_NB_Northumberland
CD_NB_Northumberland,1881,CD_NB_Northumberland
CD_NB_Northumberland,1891,CD_NB_Northumberland
CD_NB_Northumberland,1901,CD_NB_Northumberland
CD_NB_Northumberland,1911,CD_NB_Northumberland
CD_NB_Northumberland,1921,CD_NB_Northumberland
CD_NB_Queen's,1871,CD_NB_Queen's
CD_NB_Queen's,1881,CD_NB_Queen's
CD_NB_Queen's,1891,CD_NB_Queen's
CD_NB_Queens,1921,CD_NB_Queens
CD_NB_Restigouche,1871,CD_NB_Restigouche
CD_NB_Restigouche,1881,CD_NB_Restigouche
CD_NB_Restigouche,1891,CD_NB_Restigouche
CD_NB_Restigouche,1901,CD_NB_Restigouche
CD_NB_Restigouche,1911,CD_NB_Restigouche
CD_NB_Restigouche,1921,CD_NB_Restigouche
"CD_NB_St-John,_County—Comté",1891,CD_NB_St._John
CD_NB_St._John,1871,CD_NB_St._John
CD_NB_St._John,1881,CD_NB_St._John
CD_NB_St._John,1891,CD_NB_St._John
CD_NB_St._John,1901,CD_NB_St._John
CD_NB_St._John,1911,CD_NB_St._John
CD_NB_St._John,1921,CD_NB_St._John
"CD_NB_St._John,_(City-Ville)",1881,CD_NB_St._John_City
"CD_NB_St._John,_(County-Comté)",1881,CD_NB_St._John
"CD_NB_St._John,_City_&_Co—Cité_et_comté",1901,CD_NB_St._John
CD_NB_St._John_City,1881,CD_NB_St._John_City_1881
CD_NB_St._John_City_&_County,1911,CD_NB_St._John
CD_NB_Sunbury,1871,CD_NB_Sunbury
CD_NB_Sunbury,1881,CD_NB_Sunbury
CD_NB_Sunbury,1891,CD_NB_Sunbury
CD_NB_Sunbury,1921,CD_NB_Sunbury_1921
CD_NB_Sunbury_&_Queens,1901,CD_NB_Sunbury_&_Queens
CD_NB_Sunbury_&_Queens,1911,CD_NB_Sunbury_&_Queens
CD_NB_Sunbury_1921,1921,CD_NB_Sunbury_1921_1921
CD_NB_Victoria,1871,CD_NB_Victoria
CD_NB_Victoria,1881,CD_NB_Victoria
CD_NB_Victoria,1891,CD_NB_Victoria
CD_NB_Victoria,1901,CD_NB_Victoria
CD_NB_Victoria,1911,CD_NB_Victoria
CD_NB_Victoria,1921,CD_NB_Victoria_1921
CD_NB_Victoria_&_Madawaska,1901,CD_NB_Victoria
CD_NB_Victoria_&_Madawaska,1911,CD_NB_Victoria
CD_NB_Victoria_1921,1921,CD_NB_Victoria_1921_1921
CD_NB_Westmoreland,1881,CD_NB_Westmorland
CD_NB_Westmoreland,1891,CD_NB_Westmorland
CD_NB_Westmorland,1871,CD_NB_Westmorland
CD_NB_Westmorland,1881,CD_NB_Westmorland
CD_NB_Westmorland,1891,CD_NB_Westmorland
CD_NB_Westmorland,1901,CD_NB_Westmorland
CD_NB_Westmorland,1911,CD_NB_Westmorland
CD_NB_Westmorland,1921,CD_NB_Westmorland
CD_NB_York,1871,CD_NB_York
CD_NB_York,1881,CD_NB_York
CD_NB_York,1891,CD_NB_York
CD_NB_York,1901,CD_NB_York
CD_NB_York,1911,CD_NB_York
CD_NB_York,1921,CD_NB_York
CD_NL_Labrador,1891,CD_NL_Labrador
CD_NL_Labrador,1901,CD_NL_Labrador
CD_NL_Labrador,1911,CD_NL_Labrador
CD_NL_Labrador,1921,CD_NL_Labrador
CD_NL_Newfoundland,1851,CD_NL_Newfoundland
CD_NL_Newfoundland,1861,CD_NL_Newfoundland
CD_NL_Newfoundland,1871,CD_NL_Newfoundland
CD_NL_Newfoundland,1881,CD_NL_Newfoundland
CD_NL_Newfoundland,1891,CD_NL_Newfoundland
CD_NL_Newfoundland,1901,CD_NL_Newfoundland
CD_NL_Newfoundland,1911,CD_NL_Newfoundland
CD_NL_Newfoundland,1921,CD_NL_Newfoundland
CD_NS_Annapolis,1871,CD_NS_Annapolis
CD_NS_Annapolis,1881,CD_NS_Annapolis
CD_NS_Annapolis,1891,CD_NS_Annapolis
CD_NS_Annapolis,1901,CD_NS_Annapolis
CD_NS_Annapolis,1911,CD_NS_Annapolis
CD_NS_Annapolis,1921,CD_NS_Annapolis
CD_NS_Antigonish,1871,CD_NS_Antigonish
CD_NS_Antigonish,1881,CD_NS_Antigonish
CD_NS_Antigonish,1891,CD_NS_Antigonish
CD_NS_Antigonish,1901,CD_NS_Antigonish
CD_NS_Antigonish,1911,CD_NS_Antigonish
CD_NS_Antigonish,1921,CD_NS_Antigonish
CD_NS_Cap_Breton,1891,CD_NS_Cape_Breton
CD_NS_Cape_Breton,1871,CD_NS_Cape_Breton
CD_NS_Cape_Breton,1881,CD_NS_Cape_Breton
CD_NS_Cape_Breton,1891,CD_NS_Cape_Breton
CD_NS_Cape_Breton,1901,CD_NS_Cape_Breton
CD_NS_Cape_Breton,1921,CD_NS_Cape_Breton
CD_NS_Cape_Breton_N._&_Victoria,1911,CD_NS_Cape_Breton_N._&_Victoria
CD_NS_Cape_Breton_S.,1911,CD_NS_Cape_Breton_South
CD_NS_Cape_Breton_South,1911,CD_NS_Cape_Breton_South_1911
CD_NS_Colchester,1871,CD_NS_Colchester
CD_NS_Colchester,1881,CD_NS_Colchester
CD_NS_Colchester,1891,CD_NS_Colchester
CD_NS_Colchester,1901,CD_NS_Colchester
CD_NS_Colchester,1911,CD_NS_Colchester
CD_NS_Colchester,1921,CD_NS_Colchester
CD_NS_Cumberland,1871,CD_NS_Cumberland
CD_NS_Cumberland,1881,CD_NS_Cumberland
CD_NS_Cumberland,1891,CD_NS_Cumberland
CD_NS_Cumberland,1901,CD_NS_Cumberland
CD_NS_Cumberland,1911,CD_NS_Cumberland
CD_NS_Cumberland,1921,CD_NS_Cumberland
CD_NS_Digby,1871,CD_NS_Digby
CD_NS_Digby,1881,CD_NS_Digby
CD_NS_Digby,1891,CD_NS_Digby
CD_NS_Digby,1901,CD_NS_Digby
CD_NS_Digby,1911,CD_NS_Digby
CD_NS_Digby,1921,CD_NS_Digby
CD_NS_Guysborough,1871,CD_NS_Guysborough
CD_NS_Guysborough,1881,CD_NS_Guysborough
CD_NS_Guysborough,1891,CD_NS_Guysborough
CD_NS_Guysborough,1901,CD_NS_Guysborough
CD_NS_Guysborough,1911,CD_NS_Guysborough
CD_NS_Guysborough,1921,CD_NS_Guysborough
CD_NS_Halifax,1921,CD_NS_Halifax_City
"CD_NS_Halifax,_City_&_Co—Cité_et_comté",1901,CD_NS_Halifax_City
"CD_NS_Halifax,_City—Cité",1891,CD_NS_Halifax_City
"CD_NS_Halifax,_East",1871,CD_NS_Halifax_East
"CD_NS_Halifax,_West",1871,CD_NS_Halifax_West
CD_NS_Halifax_(City-Ville),1881,CD_NS_Halifax_City
CD_NS_Halifax_(County-Comté),1881,CD_NS_Halifax_City
CD_NS_Halifax_City,1881,CD_NS_Halifax_City_1881
CD_NS_Halifax_City,1891,CD_NS_Halifax_City_1891
CD_NS_Halifax_City,1901,CD_NS_Halifax_City_1901
CD_NS_Halifax_City,1911,CD_NS_Halifax_City_1901
CD_NS_Halifax_City,1921,CD_NS_Halifax_City_1901
CD_NS_Halifax_City_&_County,1911,CD_NS_Halifax_City
CD_NS_Halifax_East,1871,CD_NS_Halifax_East_1871
CD_NS_Halifax_West,1871,CD_NS_Halifax_West_1871
CD_NS_Hants,1871,CD_NS_Hants
CD_NS_Hants,1881,CD_NS_Hants
CD_NS_Hants,1891,CD_NS_Hants
CD_NS_Hants,1901,CD_NS_Hants
CD_NS_Hants,1911,CD_NS_Hants
CD_NS_Hants,1921,CD_NS_Hants
CD_NS_Inverness,1871,CD_NS_Inverness
CD_NS_Inverness,1881,CD_NS_Inverness
CD_NS_Inverness,1891,CD_NS_Inverness
CD_NS_Inverness,1901,CD_NS_Inverness
CD_NS_Inverness,1911,CD_NS_Inverness
CD_NS_Inverness,1921,CD_NS_Inverness
CD_NS_King's,1871,CD_NS_Kings
CD_NS_King's,1881,CD_NS_Kings
CD_NS_Kings,1871,CD_NS_Kings
CD_NS_Kings,1881,CD_NS_Kings
CD_NS_Kings,1891,CD_NS_Kings
CD_NS_Kings,1901,CD_NS_Kings
CD_NS_Kings,1911,CD_NS_Kings
CD_NS_Kings,1921,CD_NS_Kings
CD_NS_King’s,1891,CD_NS_Kings
CD_NS_Lunenburg,1871,CD_NS_Lunenburg
CD_NS_Lunenburg,1881,CD_NS_Lunenburg
CD_NS_Lunenburg,1891,CD_NS_Lunenburg
CD_NS_Lunenburg,1901,CD_NS_Lunenburg
CD_NS_Lunenburg,1911,CD_NS_Lunenburg
CD_NS_Lunenburg,1921,CD_NS_Lunenburg
CD_NS_Nova_Scotia,1851,CD_NS_Nova_Scotia
CD_NS_Nova_Scotia,1861,CD_NS_Nova_Scotia
CD_NS_Pictou,1871,CD_NS_Pictou
CD_NS_Pictou,1881,CD_NS_Pictou
CD_NS_Pictou,1891,CD_NS_Pictou
CD_NS_Pictou,1901,CD_NS_Pictou
CD_NS_Pictou,1911,CD_NS_Pictou
CD_NS_Pictou,1921,CD_NS_Pictou
CD_NS_Queen's,1891,CD_NS_Queens
CD_NS_Queens,1871,CD_NS_Queens
CD_NS_Queens,1881,CD_NS_Queens
CD_NS_Queens,1891,CD_NS_Queens
CD_NS_Queens,1921,CD_NS_Queens_1921
CD_NS_Queens_1921,1921,CD_NS_Queens_1921_1921
CD_NS_Richmond,1871,CD_NS_Richmond
CD_NS_Richmond,1881,CD_NS_Richmond
CD_NS_Richmond,1891,CD_NS_Richmond
CD_NS_Richmond,1901,CD_NS_Richmond
CD_NS_Richmond,1911,CD_NS_Richmond
CD_NS_Richmond,1921,CD_NS_Richmond
CD_NS_Shelburne,1871,CD_NS_Shelburne
CD_NS_Shelburne,1881,CD_NS_Shelburne
CD_NS_Shelburne,1891,CD_NS_Shelburne
CD_NS_Shelburne,1921,CD_NS_Shelburne_1921
CD_NS_Shelburne_&_Queens,1901,CD_NS_Shelburne_&_Queens
CD_NS_Shelburne_&_Queens,1911,CD_NS_Shelburne_&_Queens
CD_NS_Shelburne_1921,1921,CD_NS_Shelburne_1921_1921
CD_NS_Victoria,1871,CD_NS_Victoria
CD_NS_Victoria,1881,CD_NS_Victoria
CD_NS_Victoria,1891,CD_NS_Victoria
CD_NS_Victoria,1901,CD_NS_Victoria
CD_NS_Victoria,1921,CD_NS_Victoria_1921
CD_NS_Victoria_1921,1921,CD_NS_Victoria_1921_1921
CD_NS_Yarmouth,1871,CD_NS_Yarmouth
CD_NS_Yarmouth,1881,CD_NS_Yarmouth
CD_NS_Yarmouth,1891,CD_NS_Yarmouth
CD_NS_Yarmouth,1901,CD_NS_Yarmouth
CD_NS_Yarmouth,1911,CD_NS_Yarmouth
CD_NS_Yarmouth,1921,CD_NS_Yarmouth
CD_NT_Alberta,1891,CD_NT_Alberta
CD_NT_Alberta,1901,CD_NT_Alberta
"CD_NT_Assiniboia,_East—Est",1901,CD_NT_Assiniboia_East
"CD_NT_Assiniboia,_West—Ouest",1901,CD_NT_Assiniboia_West
CD_NT_Assiniboia_East,1891,CD_NT_Assiniboia_East_1891
CD_NT_Assiniboia_East,1901,CD_NT_Assiniboia_East_1901
CD_NT_Assiniboia_East-Est,1891,CD_NT_Assiniboia_East
CD_NT_Assiniboia_West,1891,CD_NT_Assiniboia_West_1891
CD_NT_Assiniboia_West,1901,CD_NT_Assiniboia_West_1901
CD_NT_Assiniboia_West-Ouest,1891,CD_NT_Assiniboia_West
CD_NT_Northwest_Territories,1911,CD_NT_Northwest_Territories
CD_NT_Northwest_Territories,1921,CD_NT_Northwest_Territories
CD_NT_Saskatchewan,1891,CD_NT_Saskatchewan
CD_NT_Saskatchewan,1901,CD_NT_Saskatchewan
CD_NT_The_Territories,1851,CD_NT_The_Territories
CD_NT_The_Territories,1861,CD_NT_The_Territories
CD_NT_The_Territories,1871,CD_NT_The_Territories
CD_NT_The_Territories,1881,CD_NT_The_Territories
CD_NT_The_Unorganized_Territories,1891,CD_NT_The_Unorganized_Territories
CD_NT_Unorganized_Territories,1901,CD_NT_Unorganized_Territories
CD_NT_Unorganized_Territories—Territoires_non-organisés,1901,CD_NT_Unorganized_Territories—Territoires_non-organisés
CD_ON_Addington,1851,CD_ON_Addington
CD_ON_Addington,1871,CD_ON_Addington_1871
CD_ON_Addington,1881,CD_ON_Addington_1871
CD_ON_Addington,1891,CD_ON_Addington_1871
CD_ON_Addington,1901,CD_ON_Addington_1871
CD_ON_Addington,1921,CD_ON_Addington_1921
CD_ON_Addington_1871,1871,CD_ON_Addington_1871_1871
CD_ON_Addington_1871,1881,CD_ON_Addington_1881
CD_ON_Addington_1871,1891,CD_ON_Addington_1891
CD_ON_Addington_1871,1901,CD_ON_Addington_1901
CD_ON_Addington_1921,1921,CD_ON_Addington_1921_1921
CD_ON_Algoma,1861,CD_ON_Algoma
CD_ON_Algoma,1881,CD_ON_Algoma
CD_ON_Algoma,1891,CD_ON_Algoma
CD_ON_Algoma,1901,CD_ON_Algoma
CD_ON_Algoma,1921,CD_ON_Algoma
"CD_ON_Algoma,_Centre",1871,CD_ON_Algoma_Centre
"CD_ON_Algoma,_East—Est",1871,CD_ON_Algoma_East
"CD_ON_Algoma,_West—Ouest",1871,CD_ON_Algoma_West
CD_ON_Algoma_Centre,1871,CD_ON_Algoma_Centre_1871
CD_ON_Algoma_E,1911,CD_ON_Algoma_East_1911
CD_ON_Algoma_East,1871,CD_ON_Algoma_East_1871
CD_ON_Algoma_East_1911,1911,CD_ON_Algoma_East_1911_1911
CD_ON_Algoma_W-O,1911,CD_ON_Algoma_West_1911
CD_ON_Algoma_West,1871,CD_ON_Algoma_West_1871
CD_ON_Algoma_West_1911,1911,CD_ON_Algoma_West_1911_1911
CD_ON_Bothwell,1871,CD_ON_Bothwell
CD_ON_Bothwell,1881,CD_ON_Bothwell
CD_ON_Bothwell,1891,CD_ON_Bothwell
CD_ON_Bothwell,1901,CD_ON_Bothwell
CD_ON_Brant,1851,CD_ON_Brant
CD_ON_Brant,1861,CD_ON_Brant_1861
CD_ON_Brant,1911,CD_ON_Brant_1911
CD_ON_Brant,1921,CD_ON_Brant_1911
"CD_ON_Brant,_North_or_East—Nord_ou_East",1871,"CD_ON_Brant,_North_or_East—Nord_ou_East_1871"
"CD_ON_Brant,_North_or_East—Nord_ou_Est",1871,"CD_ON_Brant,_North_or_East—Nord_ou_East"
"CD_ON_Brant,_North—Nord",1881,CD_ON_Brant_North
"CD_ON_Brant,_North—Nord",1891,CD_ON_Brant_North_1891
"CD_ON_Brant,_South_or_West—Sud_ou_Ouest",1871,"CD_ON_Brant,_South_or_West—Sud_ou_West"
"CD_ON_Brant,_South_or_West—Sud_ou_West",1871,"CD_ON_Brant,_South_or_West—Sud_ou_West_1871"
"CD_ON_Brant,_South—Sud",1881,CD_ON_Brant_South
"CD_ON_Brant,_South—Sud",1891,CD_ON_Brant_South_1891
"CD_ON_Brant,_South—Sud",1901,CD_ON_Brant_South_1891
CD_ON_Brant_,1861,CD_ON_Brant_1861_1861
CD_ON_Brant_1861,1861,CD_ON_Brant_1861_1861_1861
CD_ON_Brant_1861_1861,1861,CD_ON_Brant_1861_1861_1861_1861
CD_ON_Brant_1911,1911,CD_ON_Brant_1911_1911
CD_ON_Brant_1911,1921,CD_ON_Brant_1921
CD_ON_Brant_North,1881,CD_ON_Brant_North_1881
CD_ON_Brant_North,1891,CD_ON_Brant_North_1891_1891
CD_ON_Brant_South,1881,CD_ON_Brant_South_1881
CD_ON_Brant_South,1891,CD_ON_Brant_South_1891_1891
CD_ON_Brant_South,1901,CD_ON_Brant_South_1901
CD_ON_Brantford,1911,CD_ON_Brantford
CD_ON_Brockville,1871,CD_ON_Brockville
CD_ON_Brockville,1881,CD_ON_Brockville
CD_ON_Brockville,1891,CD_ON_Brockville
CD_ON_Brockville,1901,CD_ON_Brockville
CD_ON_Brockville,1911,CD_ON_Brockville
CD_ON_Bruce,1851,CD_ON_Bruce
CD_ON_Bruce,1861,CD_ON_Bruce
CD_ON_Bruce,1921,CD_ON_Bruce_1921
"CD_ON_Bruce,_East—Est",1891,CD_ON_Bruce_East
"CD_ON_Bruce,_East—Est",1901,CD_ON_Bruce_East
"CD_ON_Bruce,_North—Nord",1871,CD_ON_Bruce_North
"CD_ON_Bruce,_North—Nord",1881,CD_ON_Bruce_North
"CD_ON_Bruce,_North—Nord",1891,CD_ON_Bruce_North
"CD_ON_Bruce,_North—Nord",1901,CD_ON_Bruce_North
"CD_ON_Bruce,_South—Sud",1871,CD_ON_Bruce_South
"CD_ON_Bruce,_South—Sud",1881,CD_ON_Bruce_South
"CD_ON_Bruce,_West—Ouest",1891,CD_ON_Bruce_West
"CD_ON_Bruce,_West—Ouest",1901,CD_ON_Bruce_West
CD_ON_Bruce_1921,1921,CD_ON_Bruce_1921_1921
CD_ON_Bruce_East,1891,CD_ON_Bruce_East_1891
CD_ON_Bruce_East,1901,CD_ON_Bruce_East_1901
CD_ON_Bruce_N,1911,CD_ON_Bruce_North_1911
CD_ON_Bruce_North,1871,CD_ON_Bruce_North_1871
CD_ON_Bruce_North,1881,CD_ON_Bruce_North_1881
CD_ON_Bruce_North,1891,CD_ON_Bruce_North_1891
CD_ON_Bruce_North,1901,CD_ON_Bruce_North_1901
CD_ON_Bruce_North,1911,CD_ON_Bruce_North_1911_1911
CD_ON_Bruce_S,1911,CD_ON_Bruce_South_1911
CD_ON_Bruce_South,1871,CD_ON_Bruce_South_1871
CD_ON_Bruce_South,1881,CD_ON_Bruce_South_1881
CD_ON_Bruce_South_1911,1911,CD_ON_Bruce_South_1911_1911
CD_ON_Bruce_West,1891,CD_ON_Bruce_West_1891
CD_ON_Bruce_West,1901,CD_ON_Bruce_West_1901
CD_ON_Bytown,1851,CD_ON_Bytown
CD_ON_Cardwell,1871,CD_ON_Cardwell
CD_ON_Cardwell,1881,CD_ON_Cardwell
CD_ON_Cardwell,1891,CD_ON_Cardwell
CD_ON_Cardwell,1901,CD_ON_Cardwell
CD_ON_Carleton,1851,CD_ON_Carleton
CD_ON_Carleton,1861,CD_ON_Carleton
CD_ON_Carleton,1871,CD_ON_Carleton
CD_ON_Carleton,1881,CD_ON_Carleton
CD_ON_Carleton,1891,CD_ON_Carleton
CD_ON_Carleton,1901,CD_ON_Carleton
CD_ON_Carleton,1911,CD_ON_Carleton
CD_ON_Carleton,1921,CD_ON_Carleton
CD_ON_Cornwall,1871,CD_ON_Cornwall
CD_ON_Cornwall,1881,CD_ON_Cornwall
CD_ON_Cornwall_&_Stormont,1891,CD_ON_Stormont_1891
CD_ON_Cornwall_&_Stormont,1901,CD_ON_Stormont_1891
CD_ON_Dover,1871,CD_ON_Kent_1871
CD_ON_Dufferin,1911,CD_ON_Dufferin
CD_ON_Dufferin,1921,CD_ON_Dufferin
CD_ON_Dundas,1851,CD_ON_Dundas
CD_ON_Dundas,1861,CD_ON_Dundas
CD_ON_Dundas,1871,CD_ON_Dundas
