raw_cd_id,year,chain_place_id
CD_AB_Calgary,1911,CD_AB_Calgary
CD_AB_Division_No._1,1921,CD_AB_Division_No._1
CD_AB_Division_No._10,1921,CD_AB_Division_No._10
CD_AB_Division_No._11,1921,CD_AB_Division_No._11
CD_AB_Division_No._12,1921,CD_AB_Division_No._12
CD_AB_Division_No._13,1921,CD_AB_Division_No._13
CD_AB_Division_No._14,1921,CD_AB_Division_No._14
CD_AB_Division_No._15,1921,CD_AB_Division_No._15
CD_AB_Division_No._16,1921,CD_AB_Division_No._16
CD_AB_Division_No._17,1921,CD_AB_Division_No._17
CD_AB_Division_No._2,1921,CD_AB_Division_No._2
CD_AB_Division_No._3,1921,CD_AB_Division_No._3
CD_AB_Division_No._4,1921,CD_AB_Division_No._4
CD_AB_Division_No._5,1921,CD_AB_Division_No._5
CD_AB_Division_No._6,1921,CD_AB_Division_No._6
CD_AB_Division_No._7,1921,CD_AB_Division_No._7
CD_AB_Division_No._8,1921,CD_AB_Division_No._8
CD_AB_Division_No._9,1921,CD_AB_Division_No._9
CD_AB_Edmonton,1911,CD_AB_Edmonton
CD_AB_Macleod,1911,CD_AB_Macleod
CD_AB_Medicine_Hat,1911,CD_AB_Medicine_Hat
CD_AB_Red_Deer,1911,CD_AB_Red_Deer
CD_AB_Strathcona,1911,CD_AB_Strathcona
CD_AB_Victoria,1911,CD_AB_Victoria
CD_BC_British_Colombia,1871,CD_BC_British_Colombia
CD_BC_Burrard,1901,CD_BC_Burrard
CD_BC_Burrard,1921,CD_BC_Burrard_1921
CD_BC_Burrard_1921,1921,CD_BC_Burrard_1921_1921
CD_BC_Cariboo,1881,CD_BC_Cariboo
CD_BC_Cariboo,1891,CD_BC_Cariboo
CD_BC_Cariboo,1921,CD_BC_Cariboo_1921
CD_BC_Cariboo_1921,1921,CD_BC_Cariboo_1921_1921
CD_BC_Comox-Alberni,1921,CD_BC_Comox-Alberni
CD_BC_Comox-Atlin,1911,CD_BC_Comox-Atlin
CD_BC_Fraser_Valley,1921,CD_BC_Fraser_Valley
CD_BC_Kootenay,1911,CD_BC_Kootenay
CD_BC_Kootenay_East,1921,CD_BC_Kootenay_East
CD_BC_Kootenay_West,1921,CD_BC_Kootenay_West
CD_BC_Nanaimo,1911,CD_BC_Nanaimo
CD_BC_Nanaimo,1921,CD_BC_Nanaimo
CD_BC_New_Westminster,1881,CD_BC_New_Westminster
CD_BC_New_Westminster,1891,CD_BC_New_Westminster
CD_BC_New_Westminster,1901,CD_BC_New_Westminster
CD_BC_New_Westminster,1911,CD_BC_New_Westminster
CD_BC_New_Westminster,1921,CD_BC_New_Westminster
CD_BC_Skeena,1921,CD_BC_Skeena
