place_id,canonical_name,province,anchor_cd_id,anchor_year,years_active,num_years
CD_AB_Calgary,Calgary,AB,CD_AB_Calgary,1911,1911,1
CD_AB_Division_No._1,Division No. 1,AB,CD_AB_Division_No._1,1921,1921,1
CD_AB_Division_No._10,Division No. 10,AB,CD_AB_Division_No._10,1921,1921,1
CD_AB_Division_No._11,Division No. 11,AB,CD_AB_Division_No._11,1921,1921,1
CD_AB_Division_No._12,Division No. 12,AB,CD_AB_Division_No._12,1921,1921,1
CD_AB_Division_No._13,Division No. 13,AB,CD_AB_Division_No._13,1921,1921,1
CD_AB_Division_No._14,Division No. 14,AB,CD_AB_Division_No._14,1921,1921,1
CD_AB_Division_No._15,Division No. 15,AB,CD_AB_Division_No._15,1921,1921,1
CD_AB_Division_No._16,Division No. 16,AB,CD_AB_Division_No._16,1921,1921,1
CD_AB_Division_No._17,Division No. 17,AB,CD_AB_Division_No._17,1921,1921,1
CD_AB_Division_No._2,Division No. 2,AB,CD_AB_Division_No._2,1921,1921,1
CD_AB_Division_No._3,Division No. 3,AB,CD_AB_Division_No._3,1921,1921,1
CD_AB_Division_No._4,Division No. 4,AB,CD_AB_Division_No._4,1921,1921,1
CD_AB_Division_No._5,Division No. 5,AB,CD_AB_Division_No._5,1921,1921,1
CD_AB_Division_No._6,Division No. 6,AB,CD_AB_Division_No._6,1921,1921,1
CD_AB_Division_No._7,Division No. 7,AB,CD_AB_Division_No._7,1921,1921,1
CD_AB_Division_No._8,Division No. 8,AB,CD_AB_Division_No._8,1921,1921,1
CD_AB_Division_No._9,Division No. 9,AB,CD_AB_Division_No._9,1921,1921,1
CD_AB_Edmonton,Edmonton,AB,CD_AB_Edmonton,1911,1911,1
CD_AB_Macleod,Macleod,AB,CD_AB_Macleod,1911,1911,1
CD_AB_Medicine_Hat,Medicine Hat,AB,CD_AB_Medicine_Hat,1911,1911,1
CD_AB_Red_Deer,Red Deer,AB,CD_AB_Red_Deer,1911,1911,1
CD_AB_Strathcona,Strathcona,AB,CD_AB_Strathcona,1911,1911,1
CD_AB_Victoria,Victoria,AB,CD_AB_Victoria,1911,1911,1
CD_BC_British_Colombia,British Colombia,BC,CD_BC_British_Colombia,1871,1871,1
CD_BC_Burrard,Burrard,BC,CD_BC_Burrard,1901,1901,1
CD_BC_Burrard_1921,Burrard,BC,CD_BC_Burrard,1921,1921,1
CD_BC_Cariboo,Cariboo,BC,CD_BC_Cariboo,1891,1881;1891,2
CD_BC_Cariboo_1921,Cariboo,BC,CD_BC_Cariboo,1921,1921,1
CD_BC_Comox-Alberni,Comox-Alberni,BC,CD_BC_Comox-Alberni,1921,1921,1
CD_BC_Comox-Atlin,Comox-Atlin,BC,CD_BC_Comox-Atlin,1911,1911,1
CD_BC_Fraser_Valley,Fraser Valley,BC,CD_BC_Fraser_Valley,1921,1921,1
CD_BC_Kootenay,Kootenay,BC,CD_BC_Kootenay,1911,1911,1
CD_BC_Kootenay_East,Kootenay East,BC,CD_BC_Kootenay_East,1921,1921,1
CD_BC_Kootenay_West,Kootenay West,BC,CD_BC_Kootenay_West,1921,1921,1
CD_BC_Nanaimo,Nanaimo,BC,CD_BC_Nanaimo,1921,1911;1921,2
CD_BC_New_Westminster,New Westminster,BC,CD_BC_New_Westminster,1921,1881;1891;1901;1911;1921,5
CD_BC_Skeena,Skeena,BC,CD_BC_Skeena,1921,1921,1
CD_BC_Vancouver,Vancouver,BC,CD_BC_Vancouver,1901,1881;1891;1901,3
CD_BC_Vancouver_Centre,Vancouver Centre,BC,CD_BC_Vancouver_Centre,1921,1921,1
CD_BC_Vancouver_City,Vancouver City,BC,CD_BC_Vancouver_City,1911,1911,1
CD_BC_Vancouver_South,Vancouver South,BC,CD_BC_Vancouver_South,1921,1921,1
CD_BC_Victoria,Victoria,BC,CD_BC_Victoria,1901,1881;1891;1901,3
CD_BC_Victoria_City,Victoria City,BC,CD_BC_Victoria_City,1921,1911;1921,2
CD_BC_Yale,Yale,BC,CD_BC_Yale,1891,1881;1891,2
