uid_from,year_from,name_from,canon_from,uid_to,year_to,name_to,canon_to,rel,iou,frac_from,frac_to,source,accept_rule,chain_place_id
CD_NB_New_Brunswick,1851,New Brunswick,New Brunswick,CD_NB_New_Brunswick,1861,New Brunswick,New Brunswick,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NB_New_Brunswick
CD_NL_Newfoundland,1851,Newfoundland,Newfoundland,CD_NL_Newfoundland,1861,Newfoundland,Newfoundland,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NL_Newfoundland
CD_NS_Nova_Scotia,1851,Nova Scotia,Nova Scotia,CD_NS_Nova_Scotia,1861,Nova Scotia,Nova Scotia,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_NS_Nova_Scotia
CD_NT_The_Territories,1851,The Territories,The Territories,CD_NT_The_Territories,1861,The Territories,The Territories,WITHIN,0.9785,0.9785,1.0,high_confidence,3,CD_NT_The_Territories
CD_ON_Bruce,1851,Bruce,Bruce,CD_ON_Bruce,1861,Bruce,Bruce,WITHIN,0.647,1.0,0.647,high_confidence,3,CD_ON_Bruce
CD_ON_Carleton,1851,Carleton,Carleton,CD_ON_Carleton,1861,Carleton,Carleton,SAME_AS,0.9985,0.9985,1.0,high_confidence,1,CD_ON_Carleton
CD_ON_Dundas,1851,Dundas,Dundas,CD_ON_Dundas,1861,Dundas,Dundas,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Dundas
CD_ON_Durham,1851,Durham,Durham,CD_ON_Durham_,1861,Durham ,Durham,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Durham
CD_ON_Elgin,1851,Elgin,Elgin,CD_ON_Elgin,1861,Elgin,Elgin,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Elgin
CD_ON_Essex,1851,Essex,Essex,CD_ON_Essex,1861,Essex,Essex,SAME_AS,1.0,1.0,1.0,high_confidence,1,CD_ON_Essex
