place_id:ID,uri,uri_source,wikidata_qid,wikidata_label,grounding_status,mint_reason
PLACE_NS010032,http://temp.lincsproject.ca/census/place/NS010032,temp_lincs,,,ungrounded,
PLACE_NS010026,http://temp.lincsproject.ca/census/place/NS010026,temp_lincs,,,ungrounded,
PLACE_NS010014_1921,http://temp.lincsproject.ca/census/place/NS010014,temp_lincs,,,ungrounded,
PLACE_NS010013_1921,http://temp.lincsproject.ca/census/place/NS010013,temp_lincs,,,ungrounded,
PLACE_NS010019_1921,http://temp.lincsproject.ca/census/place/NS010019,temp_lincs,,,ungrounded,
PLACE_NS010020_1921,http://temp.lincsproject.ca/census/place/NS010020,temp_lincs,,,ungrounded,
PLACE_NS011002,http://temp.lincsproject.ca/census/place/NS011002,temp_lincs,,,ungrounded,
PLACE_NS011003,http://temp.lincsproject.ca/census/place/NS011003,temp_lincs,,,ungrounded,
PLACE_NS011021,http://temp.lincsproject.ca/census/place/NS011021,temp_lincs,,,ungrounded,
PLACE_NS011020,http://temp.lincsproject.ca/census/place/NS011020,temp_lincs,,,ungrounded,
PLACE_NS011034,http://temp.lincsproject.ca/census/place/NS011034,temp_lincs,,,ungrounded,
PLACE_NS011033,http://temp.lincsproject.ca/census/place/NS011033,temp_lincs,,,ungrounded,
PLACE_NS011044,http://temp.lincsproject.ca/census/place/NS011044,temp_lincs,,,ungrounded,
PLACE_NS045043,http://temp.lincsproject.ca/census/place/NS045043,temp_lincs,,,ungrounded,
PLACE_NS011043,http://temp.lincsproject.ca/census/place/NS011043,temp_lincs,,,ungrounded,
PLACE_NS045044,http://temp.lincsproject.ca/census/place/NS045044,temp_lincs,,,ungrounded,
PLACE_NS045045,http://temp.lincsproject.ca/census/place/NS045045,temp_lincs,,,ungrounded,
PLACE_NS045046,http://temp.lincsproject.ca/census/place/NS045046,temp_lincs,,,ungrounded,
PLACE_NS045047,http://temp.lincsproject.ca/census/place/NS045047,temp_lincs,,,ungrounded,
PLACE_NS045048,http://temp.lincsproject.ca/census/place/NS045048,temp_lincs,,,ungrounded,
PLACE_NS012999,http://temp.lincsproject.ca/census/place/NS012999,temp_lincs,,,ungrounded,
PLACE_NS012007_1921,http://temp.lincsproject.ca/census/place/NS012007,temp_lincs,,,ungrounded,
PLACE_NS012017,http://temp.lincsproject.ca/census/place/NS012017,temp_lincs,,,ungrounded,
PLACE_NS012013_1921,http://temp.lincsproject.ca/census/place/NS012013,temp_lincs,,,ungrounded,
PLACE_NS012019,http://temp.lincsproject.ca/census/place/NS012019,temp_lincs,,,ungrounded,
PLACE_NS013009_1911,http://temp.lincsproject.ca/census/place/NS013009,temp_lincs,,,ungrounded,
PLACE_NS013010_1911,http://temp.lincsproject.ca/census/place/NS013010,temp_lincs,,,ungrounded,
PLACE_NS013011_1911,http://temp.lincsproject.ca/census/place/NS013011,temp_lincs,,,ungrounded,
PLACE_NS013012,http://temp.lincsproject.ca/census/place/NS013012,temp_lincs,,,ungrounded,
PLACE_NS013017,http://temp.lincsproject.ca/census/place/NS013017,temp_lincs,,,ungrounded,
PLACE_NS013018,http://temp.lincsproject.ca/census/place/NS013018,temp_lincs,,,ungrounded,
PLACE_NS047022,http://temp.lincsproject.ca/census/place/NS047022,temp_lincs,,,ungrounded,
PLACE_NS013024,http://temp.lincsproject.ca/census/place/NS013024,temp_lincs,,,ungrounded,
PLACE_NS013022,http://temp.lincsproject.ca/census/place/NS013022,temp_lincs,,,ungrounded,
PLACE_NS013023,http://temp.lincsproject.ca/census/place/NS013023,temp_lincs,,,ungrounded,
PLACE_NS014002_1921,http://temp.lincsproject.ca/census/place/NS014002,temp_lincs,,,mint_uri,Historic NS 1921 CSD (district of Kings County municipality); no district-level Wikidata entity
PLACE_NS014008_1921,http://temp.lincsproject.ca/census/place/NS014008,temp_lincs,,,ungrounded,
PLACE_NS014009_1911,http://temp.lincsproject.ca/census/place/NS014009,temp_lincs,,,mint_uri,Historic NS 1921 CSD (district of Kings County municipality); no district-level Wikidata entity
PLACE_NS015003_1911,http://temp.lincsproject.ca/census/place/NS015003,temp_lincs,,,ungrounded,
PLACE_NS015027,http://temp.lincsproject.ca/census/place/NS015027,temp_lincs,,,ungrounded,
PLACE_NS015026,http://temp.lincsproject.ca/census/place/NS015026,temp_lincs,,,ungrounded,
PLACE_NS015007,http://temp.lincsproject.ca/census/place/NS015007,temp_lincs,,,ungrounded,
PLACE_NS049009,http://temp.lincsproject.ca/census/place/NS049009,temp_lincs,,,ungrounded,
PLACE_NS015008,http://temp.lincsproject.ca/census/place/NS015008,temp_lincs,,,ungrounded,
PLACE_NS015011_1921,http://temp.lincsproject.ca/census/place/NS015011,temp_lincs,,,ungrounded,
PLACE_NS015012,http://temp.lincsproject.ca/census/place/NS015012,temp_lincs,,,ungrounded,
PLACE_NS015016,http://temp.lincsproject.ca/census/place/NS015016,temp_lincs,,,ungrounded,
PLACE_NS015029,http://temp.lincsproject.ca/census/place/NS015029,temp_lincs,,,ungrounded,
PLACE_NS015028,http://temp.lincsproject.ca/census/place/NS015028,temp_lincs,,,ungrounded,
PLACE_NS015040,http://temp.lincsproject.ca/census/place/NS015040,temp_lincs,,,ungrounded,
PLACE_NS015043,http://www.wikidata.org/entity/Q474178,wikidata,Q474178,Bridgewater,matched,
PLACE_NS015010_1921,http://temp.lincsproject.ca/census/place/NS015010,temp_lincs,,,ungrounded,
PLACE_NS015044,http://www.wikidata.org/entity/Q105441,wikidata,Q105441,Lunenburg,matched,
PLACE_NS016021,http://temp.lincsproject.ca/census/place/NS016021,temp_lincs,,,ungrounded,
PLACE_NS016032,http://temp.lincsproject.ca/census/place/NS016032,temp_lincs,,,ungrounded,
PLACE_NS016022,http://temp.lincsproject.ca/census/place/NS016022,temp_lincs,,,ungrounded,
PLACE_NS016029,http://temp.lincsproject.ca/census/place/NS016029,temp_lincs,,,ungrounded,
PLACE_NS016037,http://www.wikidata.org/entity/Q1018711,wikidata,Q1018711,Pictou,matched,
PLACE_NS016014_1921,http://temp.lincsproject.ca/census/place/NS016014,temp_lincs,,,ungrounded,
PLACE_NS016039,http://www.wikidata.org/entity/Q3538507,wikidata,Q3538507,Trenton,matched,
PLACE_NS018002,http://temp.lincsproject.ca/census/place/NS018002,temp_lincs,,,ungrounded,
PLACE_NS018003_1911,http://temp.lincsproject.ca/census/place/NS018003,temp_lincs,,,ungrounded,
PLACE_NS018016_1921,http://temp.lincsproject.ca/census/place/NS018016,temp_lincs,,,ungrounded,
PLACE_NS018017,http://temp.lincsproject.ca/census/place/NS018017,temp_lincs,,,ungrounded,
PLACE_NS017012,http://temp.lincsproject.ca/census/place/NS017012,temp_lincs,,,ungrounded,
PLACE_NS019003,http://temp.lincsproject.ca/census/place/NS019003,temp_lincs,,,ungrounded,
PLACE_NS019002,http://temp.lincsproject.ca/census/place/NS019002,temp_lincs,,,ungrounded,
PLACE_NS017004,http://temp.lincsproject.ca/census/place/NS017004,temp_lincs,,,ungrounded,
PLACE_NS019004_1911,http://temp.lincsproject.ca/census/place/NS019004,temp_lincs,,,ungrounded,
PLACE_NS019011,http://temp.lincsproject.ca/census/place/NS019011,temp_lincs,,,ungrounded,
PLACE_NS017013,http://temp.lincsproject.ca/census/place/NS017013,temp_lincs,,,ungrounded,
PLACE_NS019018,http://www.wikidata.org/entity/Q1693101,wikidata,Q1693101,Shelburne,matched,
PLACE_NS017014,http://temp.lincsproject.ca/census/place/NS017014,temp_lincs,,,ungrounded,
PLACE_NS019999,http://temp.lincsproject.ca/census/place/NS019999,temp_lincs,,,ungrounded,
PLACE_NS019015,http://temp.lincsproject.ca/census/place/NS019015,temp_lincs,,,ungrounded,
