dimension_id:ID,:LABEL,value:float,dimension_type
BORDER_DIM_NT999999_QC152999_1871,E54_Dimension,2287155.58,length
BORDER_DIM_NT999999_QC152008_1871,E54_Dimension,19401.75,length
BORDER_DIM_NT999999_QC092999_1871,E54_Dimension,458987.5,length
BORDER_DIM_NT999999_QC093999_1871,E54_Dimension,106719.87,length
BORDER_DIM_NT999999_QC094999_1871,E54_Dimension,29070.92,length
BORDER_DIM_NT999999_QC130999_1871,E54_Dimension,210739.07,length
BORDER_DIM_NT999999_QC150999_1871,E54_Dimension,831218.56,length
BORDER_DIM_NT999999_QC151999_1871,E54_Dimension,171499.72,length
BORDER_DIM_NT999999_ON088003_1871,E54_Dimension,99192.67,length
BORDER_DIM_NT999999_ON088002_1871,E54_Dimension,245654.69,length
BORDER_DIM_NT999999_ON084007_1871,E54_Dimension,72201.23,length
BORDER_DIM_NT999999_ON090002_1871,E54_Dimension,482784.54,length
BORDER_DIM_NT999999_ON090006_1871,E54_Dimension,379946.36,length
BORDER_DIM_NT999999_ON090003_1871,E54_Dimension,214969.34,length
BORDER_DIM_NT999999_ON090005_1871,E54_Dimension,428696.85,length
BORDER_DIM_BC999999_NT999999_1871,E54_Dimension,2491736.28,length
BORDER_DIM_MB999999_NT999999_1871,E54_Dimension,1069121.73,length
BORDER_DIM_ON087002_ON087003_1871,E54_Dimension,8169.17,length
BORDER_DIM_ON088003_ON089001_1871,E54_Dimension,112691.65,length
BORDER_DIM_ON088003_ON090001_1871,E54_Dimension,39347.47,length
BORDER_DIM_ON088003_ON090002_1871,E54_Dimension,27082.19,length
BORDER_DIM_ON090002_ON090003_1871,E54_Dimension,142999.69,length
BORDER_DIM_ON016002_ON016004_1871,E54_Dimension,13279.25,length
BORDER_DIM_ON016002_ON022005_1871,E54_Dimension,13501.88,length
BORDER_DIM_ON015001_ON015002_1871,E54_Dimension,8894.14,length
BORDER_DIM_ON015001_ON015003_1871,E54_Dimension,8554.9,length
BORDER_DIM_ON015001_ON016001_1871,E54_Dimension,2301.55,length
BORDER_DIM_ON016001_ON016002_1871,E54_Dimension,14896.83,length
BORDER_DIM_ON016001_ON016003_1871,E54_Dimension,11620.8,length
BORDER_DIM_ON016001_ON022005_1871,E54_Dimension,912.65,length
BORDER_DIM_ON016001_ON031003_1871,E54_Dimension,19941.1,length
BORDER_DIM_ON016001_ON023001_1871,E54_Dimension,10462.91,length
BORDER_DIM_ON015005_ON017001_1871,E54_Dimension,9776.98,length
BORDER_DIM_ON015005_ON017006_1871,E54_Dimension,14745.66,length
BORDER_DIM_ON015005_ON016004_1871,E54_Dimension,21098.77,length
BORDER_DIM_ON015002_ON015003_1871,E54_Dimension,14542.51,length
BORDER_DIM_ON015003_ON015005_1871,E54_Dimension,7970.17,length
BORDER_DIM_ON015003_ON016004_1871,E54_Dimension,11157.4,length
BORDER_DIM_ON015003_ON015004_1871,E54_Dimension,3509.12,length
BORDER_DIM_ON015003_ON016002_1871,E54_Dimension,29016.1,length
BORDER_DIM_ON015003_ON016001_1871,E54_Dimension,6504.66,length
BORDER_DIM_ON015004_ON016002_1871,E54_Dimension,7964.34,length
BORDER_DIM_ON068004_ON070001_1871,E54_Dimension,9935.94,length
BORDER_DIM_ON068004_ON069001_1871,E54_Dimension,23236.85,length
BORDER_DIM_ON068004_ON070003_1871,E54_Dimension,6028.75,length
BORDER_DIM_ON068003_ON068004_1871,E54_Dimension,2166.11,length
BORDER_DIM_ON028007_ON028999_1871,E54_Dimension,11437.23,length
BORDER_DIM_ON028007_ON028008_1871,E54_Dimension,11157.63,length
