dimension_id:ID,:LABEL,value:float,dimension_type
BORDER_DIM_NB024011_NB024013_1921,E54_Dimension,23570.3,length
BORDER_DIM_NB024011_NB033003_1921,E54_Dimension,11815.44,length
BORDER_DIM_NB024012_NB024014_1921,E54_Dimension,23291.14,length
BORDER_DIM_NB024012_NB036006_1921,E54_Dimension,9697.01,length
BORDER_DIM_NB024012_NB036007_1921,E54_Dimension,8390.01,length
BORDER_DIM_NB024014_NB024016_1921,E54_Dimension,5999.91,length
BORDER_DIM_NB024014_NB024019_1921,E54_Dimension,5999.88,length
BORDER_DIM_NB025001_NB029011_1921,E54_Dimension,51269.41,length
BORDER_DIM_NB025001_NB029010_1921,E54_Dimension,23597.24,length
BORDER_DIM_NB025001_NB029001_1921,E54_Dimension,13989.85,length
BORDER_DIM_NB025001_NB025010_1921,E54_Dimension,10928.4,length
BORDER_DIM_NB025001_NB031003_1921,E54_Dimension,4298.25,length
BORDER_DIM_NB025001_NB025008_1921,E54_Dimension,15016.59,length
BORDER_DIM_NB025001_NB025011_1921,E54_Dimension,5999.88,length
BORDER_DIM_NB025001_NB031005_1921,E54_Dimension,4520.22,length
BORDER_DIM_NB025001_NB025002_1921,E54_Dimension,35542.63,length
BORDER_DIM_NB025001_NB025005_1921,E54_Dimension,24800.85,length
BORDER_DIM_NB025002_NB031005_1921,E54_Dimension,41659.0,length
BORDER_DIM_NB025003_NB025006_1921,E54_Dimension,11808.11,length
BORDER_DIM_NB025003_NB025005_1921,E54_Dimension,2095.22,length
BORDER_DIM_NB025003_NB025004_1921,E54_Dimension,19951.24,length
BORDER_DIM_NB025004_NB025007_1921,E54_Dimension,14737.11,length
BORDER_DIM_NB025004_NB025006_1921,E54_Dimension,8189.76,length
BORDER_DIM_NB025005_NB025008_1921,E54_Dimension,1149.84,length
BORDER_DIM_NB025005_NB025006_1921,E54_Dimension,39976.85,length
BORDER_DIM_NB025006_NB025008_1921,E54_Dimension,13247.25,length
BORDER_DIM_NB025006_NB025007_1921,E54_Dimension,21776.39,length
BORDER_DIM_NB025007_NB025008_1921,E54_Dimension,38677.61,length
BORDER_DIM_NB025008_NB029001_1921,E54_Dimension,32871.47,length
BORDER_DIM_NB026001_NB026999_1921,E54_Dimension,9992.39,length
BORDER_DIM_NB026001_NB029012_1921,E54_Dimension,27227.69,length
BORDER_DIM_NB026001_NB026007_1921,E54_Dimension,22981.3,length
BORDER_DIM_NB026001_NB029006_1921,E54_Dimension,3486.43,length
BORDER_DIM_NB026001_NB026010_1921,E54_Dimension,2905.87,length
BORDER_DIM_NB026001_NB026002_1921,E54_Dimension,13696.82,length
BORDER_DIM_NB026002_NB026007_1921,E54_Dimension,24055.01,length
BORDER_DIM_NB026002_NB029006_1921,E54_Dimension,16626.69,length
BORDER_DIM_NB026002_NB029007_1921,E54_Dimension,21562.41,length
BORDER_DIM_NB026003_NB035003_1921,E54_Dimension,7118.21,length
BORDER_DIM_NB026003_NB026009_1921,E54_Dimension,1997.76,length
BORDER_DIM_NB026003_NB035006_1921,E54_Dimension,15307.73,length
BORDER_DIM_NB026003_NB026008_1921,E54_Dimension,19492.13,length
