space_id:ID,latitude:float,longitude:float,crs,:LABEL
ON055006_1891_centroid,45.412591,-75.674598,EPSG:4326,E94_Space_Primitive
ON055007_1891_centroid,45.188838,-75.834585,EPSG:4326,E94_Space_Primitive
ON127001_1891_centroid,43.980012,-80.233417,EPSG:4326,E94_Space_Primitive
ON126004_1891_centroid,43.845996,-80.241624,EPSG:4326,E94_Space_Primitive
ON127006_1891_centroid,43.93767,-80.432923,EPSG:4326,E94_Space_Primitive
ON067005_1891_centroid,44.147944,-80.290781,EPSG:4326,E94_Space_Primitive
ON054005_1891_centroid,44.017143,-80.06176,EPSG:4326,E94_Space_Primitive
ON119005_1891_centroid,44.189377,-80.102496,EPSG:4326,E94_Space_Primitive
ON126008_1891_centroid,43.906582,-80.112876,EPSG:4326,E94_Space_Primitive
ON067009_1891_centroid,44.085125,-80.207054,EPSG:4326,E94_Space_Primitive
ON057003_1891_centroid,44.916475,-75.348101,EPSG:4326,E94_Space_Primitive
ON057005_1891_centroid,45.05363,-75.457713,EPSG:4326,E94_Space_Primitive
ON057006_1891_centroid,44.986581,-75.187619,EPSG:4326,E94_Space_Primitive
ON057007_1891_centroid,45.12028,-75.291895,EPSG:4326,E94_Space_Primitive
ON057001_1891_centroid,45.096938,-75.226857,EPSG:4326,E94_Space_Primitive
ON057002_1891_centroid,44.846414,-75.32423,EPSG:4326,E94_Space_Primitive
ON057004_1891_centroid,44.902625,-75.183383,EPSG:4326,E94_Space_Primitive
ON057008_1891_centroid,45.090108,-75.340045,EPSG:4326,E94_Space_Primitive
ON059002_1891_centroid,44.118943,-78.801657,EPSG:4326,E94_Space_Primitive
ON058001_1891_centroid,44.18612,-78.466765,EPSG:4326,E94_Space_Primitive
ON059003_1891_centroid,43.990169,-78.562945,EPSG:4326,E94_Space_Primitive
ON059004_1891_centroid,43.969375,-78.746578,EPSG:4326,E94_Space_Primitive
ON058002_1891_centroid,44.015686,-78.389861,EPSG:4326,E94_Space_Primitive
ON058003_1891_centroid,44.164785,-78.643667,EPSG:4326,E94_Space_Primitive
ON059001_1891_centroid,43.909466,-78.678694,EPSG:4326,E94_Space_Primitive
ON058005_1891_centroid,43.949134,-78.309527,EPSG:4326,E94_Space_Primitive
ON058004_1891_centroid,44.147118,-78.439387,EPSG:4326,E94_Space_Primitive
ON059005_1891_centroid,43.914765,-78.59365,EPSG:4326,E94_Space_Primitive
ON060002_1891_centroid,42.736786,-80.788081,EPSG:4326,E94_Space_Primitive
ON090002_1891_centroid,42.860905,-80.984204,EPSG:4326,E94_Space_Primitive
ON060003_1891_centroid,42.742032,-80.944059,EPSG:4326,E94_Space_Primitive
ON060007_1891_centroid,42.757741,-81.124075,EPSG:4326,E94_Space_Primitive
ON060001_1891_centroid,42.769181,-80.983434,EPSG:4326,E94_Space_Primitive
ON060004_1891_centroid,42.674152,-81.201158,EPSG:4326,E94_Space_Primitive
ON090007_1891_centroid,42.823888,-80.930283,EPSG:4326,E94_Space_Primitive
ON060006_1891_centroid,42.682688,-80.797528,EPSG:4326,E94_Space_Primitive
ON061001_1891_centroid,42.586048,-81.669369,EPSG:4326,E94_Space_Primitive
ON061002_1891_centroid,42.669382,-81.49304,EPSG:4326,E94_Space_Primitive
ON061007_1891_centroid,42.745614,-81.314669,EPSG:4326,E94_Space_Primitive
ON060005_1891_centroid,42.780968,-81.202921,EPSG:4326,E94_Space_Primitive
ON061003_1891_centroid,42.662173,-81.487148,EPSG:4326,E94_Space_Primitive
ON062002_1891_centroid,42.242906,-82.797837,EPSG:4326,E94_Space_Primitive
ON062003_1891_centroid,42.235505,-82.655264,EPSG:4326,E94_Space_Primitive
ON062004_1891_centroid,42.260355,-82.937046,EPSG:4326,E94_Space_Primitive
ON062005_1891_centroid,42.242699,-83.052993,EPSG:4326,E94_Space_Primitive
ON062010_1891_centroid,42.30987,-83.044462,EPSG:4326,E94_Space_Primitive
