lineage_type,:START_ID,:END_ID,change_year:int,:TYPE
SPLIT_FROM,PLACE_ON104012,PLACE_ON104019,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON104016,PLACE_ON104020,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON105008,PLACE_ON111006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON039010,PLACE_ON152008,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON039010,PLACE_ON152017,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON039010,PLACE_ON127006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON107001,PLACE_ON107006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON107003,PLACE_ON107007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON108003,PLACE_ON108010,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON108004,PLACE_ON108007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON109002,PLACE_ON109014,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON065005,PLACE_ON072016,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON113004,PLACE_ON113008,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON117004,PLACE_ON117008_1891,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON117004,PLACE_ON117007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON015003,PLACE_ON118012,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON118017,PLACE_ON118033,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON016008,PLACE_ON119004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON016008,PLACE_ON119009,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON016008,PLACE_ON119013,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON017005,PLACE_ON121005,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON017005,PLACE_ON121006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON019004,PLACE_ON082014,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON019004,PLACE_ON123004_1911,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON019001,PLACE_ON123014,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON019001,PLACE_ON123001,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON125006_1891,PLACE_ON125007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON128008,PLACE_ON170005,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON132002_1891,PLACE_ON132013,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON132003,PLACE_ON132014,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON026007,PLACE_ON133002,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON026007,PLACE_ON133004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON136003_1891,PLACE_ON136006,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON136004,PLACE_ON136009,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON137001,PLACE_ON171002,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON112009,PLACE_ON125001,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON030004,PLACE_ON113007,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON030004,PLACE_ON138011,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON142017,PLACE_ON142038,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON144008,PLACE_ON144020,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON152009,PLACE_ON152020,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON152009,PLACE_ON152022,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON151001,PLACE_ON142004,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON151005,PLACE_ON142012,1861,SPLIT_FROM
SPLIT_FROM,PLACE_ON037006,PLACE_ON149001,1861,SPLIT_FROM
