wikidata_qid,wikidata_label,place_id,place_type,name,province,year_min,year_max,num_years,num_chains_for_qid
Q142151,Trois-Pistoles,PLACE_QC071007,CSD,Trois Pistoles,QC,1851,1851,1,5
Q142151,Trois-Pistoles,PLACE_QC166008,CSD,Trois Pistoles,QC,1861,1871,2,5
Q142151,Trois-Pistoles,PLACE_QC201022,CSD,Trois-Pistoles,QC,1881,1911,4,5
Q142151,Trois-Pistoles,PLACE_QC095027,CSD,Trois Pistoles,QC,1921,1921,1,5
Q142151,Trois-Pistoles,PLACE_QC095030,CSD,"Trois Pistoles, T-V",QC,1921,1921,1,5
Q142218,L'Ancienne-Lorette,PLACE_QC081001,CSD,Ancienne Lorette,QC,1851,1921,7,2
Q142218,L'Ancienne-Lorette,PLACE_QC144003_1871,CSD,L'Ancienne Lorette,QC,1871,1871,1,2
Q142271,Pointe-Claire,PLACE_QC024003,CSD,La Pointe Claire,QC,1861,1861,1,5
Q142271,Pointe-Claire,PLACE_QC092003,CSD,"Pointe Claire, Village",QC,1871,1881,2,5
Q142271,Pointe-Claire,PLACE_QC092004_1871,CSD,Pointe Claire,QC,1871,1881,2,5
Q142271,Pointe-Claire,PLACE_QC162017,CSD,Pointe Claire t-v,QC,1911,1911,1,5
Q142271,Pointe-Claire,PLACE_QC076029_1921,CSD,"Pointe Claire, T-V",QC,1921,1921,1,5
Q142320,Saint-Marc-des-Carrières,PLACE_QC186019_1911,CSD,St. Marc,QC,1911,1911,1,2
Q142320,Saint-Marc-des-Carrières,PLACE_QC080033_1921,CSD,"St. Marc des Carrières, VL",QC,1921,1921,1,2
Q142333,Saint-Bruno-de-Montarville,PLACE_QC052005,CSD,St. Bruno,QC,1851,1851,1,5
Q142333,Saint-Bruno-de-Montarville,PLACE_QC118008,CSD,St. Bruno,QC,1861,1871,2,5
Q142333,Saint-Bruno-de-Montarville,PLACE_QC145009,CSD,St. Bruno,QC,1881,1901,3,5
Q142333,Saint-Bruno-de-Montarville,PLACE_QC150005_1911,CSD,St. Bruno,QC,1911,1911,1,5
Q142333,Saint-Bruno-de-Montarville,PLACE_QC046005,CSD,St. Bruno de Montarville,QC,1921,1921,1,5
Q142397,Warwick,PLACE_QC055003_1851,CSD,"Warwick, Township",QC,1851,1851,1,7
Q142397,Warwick,PLACE_QC003012,CSD,Warwick,QC,1861,1861,1,7
Q142397,Warwick,PLACE_QC153032,CSD,"Warwick, Village",QC,1871,1891,3,7
Q142397,Warwick,PLACE_QC153031,CSD,Warwick,QC,1891,1891,1,7
Q142397,Warwick,PLACE_QC038025,CSD,"Warwick, VL",QC,1901,1921,3,7
Q142397,Warwick,PLACE_QC153040,CSD,Warwick,QC,1901,1901,1,7
Q142397,Warwick,PLACE_QC038019,CSD,Warwick,QC,1911,1921,2,7
Q142405,Saint-Ours,PLACE_QC070002,CSD,"St. Ours, Parish",QC,1851,1851,1,6
Q142405,Saint-Ours,PLACE_QC186006,CSD,"St. Ours, Town—Ville",QC,1851,1901,6,6
Q142405,Saint-Ours,PLACE_QC043004,CSD,"St. Ours, Parish",QC,1861,1861,1,6
Q142405,Saint-Ours,PLACE_QC186005,CSD,St. Ours,QC,1871,1901,4,6
Q142405,Saint-Ours,PLACE_QC082006_1911,CSD,St. Ours,QC,1911,1921,2,6
Q142405,Saint-Ours,PLACE_QC082012_1911,CSD,"St. Ours, T-V",QC,1911,1921,2,6
Q142430,Portneuf,PLACE_QC080029,CSD,"Portneuf, VL",QC,1871,1921,6,2
Q142430,Portneuf,PLACE_QC080008_1921,CSD,Portneuf (Notre Dame de),QC,1921,1921,1,2
Q142451,Saint-Pascal,PLACE_QC165010,CSD,St. Paschal,QC,1851,1871,3,2
Q142451,Saint-Pascal,PLACE_QC061014,CSD,St. Pascal,QC,1901,1921,3,2
