measurement_id:ID,:LABEL,measurement_type,year:int
BORDER_MEAS_ON065002_ON087005_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065002_ON065005_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065002_ON065003_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065002_ON065008_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065002_ON065006_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065002_ON065004_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065002_ON104001_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065003_ON087007_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065003_ON087005_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065003_ON090007_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065003_ON065005_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065003_ON090010_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065003_ON090002_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065003_ON065004_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065004_ON065007_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065004_ON090002_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065004_ON104001_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065004_ON101002_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065004_ON104004_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065008_ON087005_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065008_ON076010_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065008_ON076007_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065005_ON087005_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON065001_ON065002_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON083007_ON083012_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON083007_ON083009_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066001_ON066002_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066001_ON066999_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066002_ON066003_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066002_ON066015_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066002_ON075009_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066003_ON066008_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066003_ON066014_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066003_ON075015_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066003_ON066015_1861,E16_Measurement,shared_border_length,1861
BORDER_MEAS_ON066003_ON075004_1861,E16_Measurement,shared_border_length,1861
