space_id:ID,latitude:float,longitude:float,crs,:LABEL
CD_ON_Addington_1891_SPACE,44.775918,-76.943606,EPSG:4326,E94_Space_Primitive
CD_NB_Albert_1891_SPACE,45.811379,-64.895607,EPSG:4326,E94_Space_Primitive
CD_NT_Alberta_1891_SPACE,52.656437,-114.703344,EPSG:4326,E94_Space_Primitive
CD_ON_Algoma_1891_SPACE,49.402761,-86.393123,EPSG:4326,E94_Space_Primitive
CD_NS_Annapolis_1891_SPACE,44.689055,-65.231051,EPSG:4326,E94_Space_Primitive
CD_NS_Antigonish_1891_SPACE,45.614449,-61.932566,EPSG:4326,E94_Space_Primitive
CD_QC_Argenteuil_1891_SPACE,45.798788,-74.468886,EPSG:4326,E94_Space_Primitive
CD_NT_Assiniboia_East-Est_1891_SPACE,50.475071,-102.779914,EPSG:4326,E94_Space_Primitive
CD_NT_Assiniboia_West-Ouest_1891_SPACE,50.482695,-107.730208,EPSG:4326,E94_Space_Primitive
CD_QC_Bagot__1891_SPACE,45.661409,-72.740798,EPSG:4326,E94_Space_Primitive
CD_QC_Beauce_1891_SPACE,45.953015,-70.802503,EPSG:4326,E94_Space_Primitive
CD_QC_Beauharnois_1891_SPACE,45.239177,-74.002135,EPSG:4326,E94_Space_Primitive
CD_QC_Bellechasse_1891_SPACE,46.669101,-70.572782,EPSG:4326,E94_Space_Primitive
CD_QC_Berthier_1891_SPACE,47.106748,-74.588662,EPSG:4326,E94_Space_Primitive
CD_QC_Bonaventure_1891_SPACE,48.247236,-66.149968,EPSG:4326,E94_Space_Primitive
CD_ON_Bothwell_1891_SPACE,42.615337,-82.236591,EPSG:4326,E94_Space_Primitive
"CD_ON_Brant,_North—Nord_1891_SPACE",43.223268,-80.319656,EPSG:4326,E94_Space_Primitive
"CD_ON_Brant,_South—Sud_1891_SPACE",43.08956,-80.196053,EPSG:4326,E94_Space_Primitive
CD_ON_Brockville_1891_SPACE,44.698704,-75.861515,EPSG:4326,E94_Space_Primitive
CD_QC_Brome_1891_SPACE,45.173949,-72.506739,EPSG:4326,E94_Space_Primitive
"CD_ON_Bruce,_East—Est_1891_SPACE",44.110457,-81.215484,EPSG:4326,E94_Space_Primitive
"CD_ON_Bruce,_North—Nord_1891_SPACE",44.80425,-81.282047,EPSG:4326,E94_Space_Primitive
"CD_ON_Bruce,_West—Ouest_1891_SPACE",44.194192,-81.492046,EPSG:4326,E94_Space_Primitive
CD_NS_Cap_Breton_1891_SPACE,46.25929,-60.297708,EPSG:4326,E94_Space_Primitive
CD_NS_Cape_Breton_1891_SPACE,46.006555,-60.267413,EPSG:4326,E94_Space_Primitive
CD_ON_Cardwell_1891_SPACE,43.949203,-79.95579,EPSG:4326,E94_Space_Primitive
CD_BC_Cariboo_1891_SPACE,55.032855,-121.793021,EPSG:4326,E94_Space_Primitive
CD_NB_Carleton_1891_SPACE,46.386192,-67.455335,EPSG:4326,E94_Space_Primitive
CD_ON_Carleton_1891_SPACE,45.22747,-75.856808,EPSG:4326,E94_Space_Primitive
CD_QC_Chambly_1891_SPACE,45.511417,-73.376237,EPSG:4326,E94_Space_Primitive
CD_QC_Champlain_1891_SPACE,47.925963,-73.897202,EPSG:4326,E94_Space_Primitive
CD_QC_Champlain__1891_SPACE,46.827203,-72.625543,EPSG:4326,E94_Space_Primitive
CD_QC_Charlevoix_1891_SPACE,47.733837,-70.59781,EPSG:4326,E94_Space_Primitive
CD_NB_Charlotte_1891_SPACE,45.272906,-66.933353,EPSG:4326,E94_Space_Primitive
