identifier_id:ID,:LABEL,value,identifier_type,year:int
TCPUID_ON105007_1921,E42_Identifier,ON105007,TCP_UID,1921
TCPUID_ON004008_1851,E42_Identifier,ON004008,TCP_UID,1851
TCPUID_ON067008_1861,E42_Identifier,ON067008,TCP_UID,1861
TCPUID_ON111006_1861,E42_Identifier,ON111006,TCP_UID,1861
TCPUID_ON004011_1851,E42_Identifier,ON004011,TCP_UID,1851
TCPUID_ON067011_1861,E42_Identifier,ON067011,TCP_UID,1861
TCPUID_ON078008_1871,E42_Identifier,ON078008,TCP_UID,1871
TCPUID_ON108008_1881,E42_Identifier,ON108008,TCP_UID,1881
TCPUID_ON055008_1891,E42_Identifier,ON055008,TCP_UID,1891
TCPUID_ON052009_1901,E42_Identifier,ON052009,TCP_UID,1901
TCPUID_ON061008_1911,E42_Identifier,ON061008,TCP_UID,1911
TCPUID_ON105010_1921,E42_Identifier,ON105010,TCP_UID,1921
TCPUID_ON004010_1851,E42_Identifier,ON004010,TCP_UID,1851
TCPUID_ON067010_1861,E42_Identifier,ON067010,TCP_UID,1861
TCPUID_ON078005_1871,E42_Identifier,ON078005,TCP_UID,1871
TCPUID_ON108005_1881,E42_Identifier,ON108005,TCP_UID,1881
TCPUID_ON055007_1891,E42_Identifier,ON055007,TCP_UID,1891
TCPUID_ON052008_1901,E42_Identifier,ON052008,TCP_UID,1901
TCPUID_ON061014_1911,E42_Identifier,ON061014,TCP_UID,1911
TCPUID_ON105013_1921,E42_Identifier,ON105013,TCP_UID,1921
TCPUID_ON039011_1851,E42_Identifier,ON039011,TCP_UID,1851
TCPUID_ON103001_1861,E42_Identifier,ON103001,TCP_UID,1861
TCPUID_ON035007_1871,E42_Identifier,ON035007,TCP_UID,1871
TCPUID_ON039006_1851,E42_Identifier,ON039006,TCP_UID,1851
TCPUID_ON103007_1861,E42_Identifier,ON103007,TCP_UID,1861
TCPUID_ON039010_1851,E42_Identifier,ON039010,TCP_UID,1851
TCPUID_ON103012_1861,E42_Identifier,ON103012,TCP_UID,1861
TCPUID_ON035003_1871,E42_Identifier,ON035003,TCP_UID,1871
TCPUID_ON103002_1861,E42_Identifier,ON103002,TCP_UID,1861
TCPUID_ON103010_1861,E42_Identifier,ON103010,TCP_UID,1861
TCPUID_ON035006_1871,E42_Identifier,ON035006,TCP_UID,1871
TCPUID_ON035016_1851,E42_Identifier,ON035016,TCP_UID,1851
TCPUID_ON098010_1861,E42_Identifier,ON098010,TCP_UID,1861
TCPUID_ON035015_1851,E42_Identifier,ON035015,TCP_UID,1851
TCPUID_ON098012_1861,E42_Identifier,ON098012,TCP_UID,1861
TCPUID_ON005001_1851,E42_Identifier,ON005001,TCP_UID,1851
TCPUID_ON068001_1861,E42_Identifier,ON068001,TCP_UID,1861
TCPUID_ON071002_1871,E42_Identifier,ON071002,TCP_UID,1871
TCPUID_ON068002_1861,E42_Identifier,ON068002,TCP_UID,1861
TCPUID_ON071001_1871,E42_Identifier,ON071001,TCP_UID,1871
TCPUID_ON102001_1881,E42_Identifier,ON102001,TCP_UID,1881
TCPUID_ON057003_1891,E42_Identifier,ON057003,TCP_UID,1891
TCPUID_ON054003_1901,E42_Identifier,ON054003,TCP_UID,1901
TCPUID_ON063001_1911,E42_Identifier,ON063001,TCP_UID,1911
TCPUID_ON107001_1921,E42_Identifier,ON107001,TCP_UID,1921
TCPUID_ON005002_1851,E42_Identifier,ON005002,TCP_UID,1851
TCPUID_ON068004_1861,E42_Identifier,ON068004,TCP_UID,1861
TCPUID_ON071005_1871,E42_Identifier,ON071005,TCP_UID,1871
TCPUID_ON102005_1881,E42_Identifier,ON102005,TCP_UID,1881
TCPUID_ON057005_1891,E42_Identifier,ON057005,TCP_UID,1891
TCPUID_ON054005_1901,E42_Identifier,ON054005,TCP_UID,1901
TCPUID_ON063002_1911,E42_Identifier,ON063002,TCP_UID,1911
TCPUID_ON107002_1921,E42_Identifier,ON107002,TCP_UID,1921
TCPUID_ON005003_1851,E42_Identifier,ON005003,TCP_UID,1851
TCPUID_ON068003_1861,E42_Identifier,ON068003,TCP_UID,1861
TCPUID_ON071004_1871,E42_Identifier,ON071004,TCP_UID,1871
TCPUID_ON102004_1881,E42_Identifier,ON102004,TCP_UID,1881
TCPUID_ON057004_1891,E42_Identifier,ON057004,TCP_UID,1891
TCPUID_ON054004_1901,E42_Identifier,ON054004,TCP_UID,1901
TCPUID_ON063007_1911,E42_Identifier,ON063007,TCP_UID,1911
TCPUID_ON107007_1921,E42_Identifier,ON107007,TCP_UID,1921
TCPUID_ON068005_1861,E42_Identifier,ON068005,TCP_UID,1861
TCPUID_ON071003_1871,E42_Identifier,ON071003,TCP_UID,1871
TCPUID_ON102003_1881,E42_Identifier,ON102003,TCP_UID,1881
TCPUID_ON057006_1891,E42_Identifier,ON057006,TCP_UID,1891
TCPUID_ON054006_1901,E42_Identifier,ON054006,TCP_UID,1901
TCPUID_ON063003_1911,E42_Identifier,ON063003,TCP_UID,1911
TCPUID_ON107003_1921,E42_Identifier,ON107003,TCP_UID,1921
TCPUID_ON005004_1851,E42_Identifier,ON005004,TCP_UID,1851
TCPUID_ON068006_1861,E42_Identifier,ON068006,TCP_UID,1861
TCPUID_ON071006_1871,E42_Identifier,ON071006,TCP_UID,1871
TCPUID_ON102006_1881,E42_Identifier,ON102006,TCP_UID,1881
TCPUID_ON006001_1851,E42_Identifier,ON006001,TCP_UID,1851
TCPUID_ON069003_1861,E42_Identifier,ON069003,TCP_UID,1861
TCPUID_ON006002_1851,E42_Identifier,ON006002,TCP_UID,1851
TCPUID_ON069002_1861,E42_Identifier,ON069002,TCP_UID,1861
TCPUID_ON051003_1871,E42_Identifier,ON051003,TCP_UID,1871
TCPUID_ON006003_1851,E42_Identifier,ON006003,TCP_UID,1851
TCPUID_ON069008_1861,E42_Identifier,ON069008,TCP_UID,1861
TCPUID_ON006004_1851,E42_Identifier,ON006004,TCP_UID,1851
TCPUID_ON069001_1861,E42_Identifier,ON069001,TCP_UID,1861
TCPUID_ON069005_1861,E42_Identifier,ON069005,TCP_UID,1861
TCPUID_ON050001_1871,E42_Identifier,ON050001,TCP_UID,1871
TCPUID_ON006005_1851,E42_Identifier,ON006005,TCP_UID,1851
TCPUID_ON069006_1861,E42_Identifier,ON069006,TCP_UID,1861
TCPUID_ON051001_1871,E42_Identifier,ON051001,TCP_UID,1871
TCPUID_ON127001_1881,E42_Identifier,ON127001,TCP_UID,1881
TCPUID_ON006006_1851,E42_Identifier,ON006006,TCP_UID,1851
TCPUID_ON069007_1861,E42_Identifier,ON069007,TCP_UID,1861
TCPUID_ON051004_1871,E42_Identifier,ON051004,TCP_UID,1871
TCPUID_ON127004_1881,E42_Identifier,ON127004,TCP_UID,1881
TCPUID_ON058003_1891,E42_Identifier,ON058003,TCP_UID,1891
TCPUID_ON055003_1901,E42_Identifier,ON055003,TCP_UID,1901
TCPUID_ON064006_1911,E42_Identifier,ON064006,TCP_UID,1911
TCPUID_ON108006_1921,E42_Identifier,ON108006,TCP_UID,1921
TCPUID_ON007002_1851,E42_Identifier,ON007002,TCP_UID,1851
TCPUID_ON070008_1861,E42_Identifier,ON070008,TCP_UID,1861
TCPUID_ON006006_1871,E42_Identifier,ON006006,TCP_UID,1871
TCPUID_ON163009_1881,E42_Identifier,ON163009,TCP_UID,1881
TCPUID_ON060006_1891,E42_Identifier,ON060006,TCP_UID,1891
TCPUID_ON057006_1901,E42_Identifier,ON057006,TCP_UID,1901
TCPUID_ON070002_1861,E42_Identifier,ON070002,TCP_UID,1861
TCPUID_ON006005_1871,E42_Identifier,ON006005,TCP_UID,1871
TCPUID_ON163008_1881,E42_Identifier,ON163008,TCP_UID,1881
TCPUID_ON060002_1891,E42_Identifier,ON060002,TCP_UID,1891
TCPUID_ON057002_1901,E42_Identifier,ON057002,TCP_UID,1901
TCPUID_ON065001_1911,E42_Identifier,ON065001,TCP_UID,1911
TCPUID_ON109002_1921,E42_Identifier,ON109002,TCP_UID,1921
TCPUID_ON007005_1851,E42_Identifier,ON007005,TCP_UID,1851
TCPUID_ON070005_1861,E42_Identifier,ON070005,TCP_UID,1861
TCPUID_ON006003_1871,E42_Identifier,ON006003,TCP_UID,1871
TCPUID_ON007007_1851,E42_Identifier,ON007007,TCP_UID,1851
TCPUID_ON070009_1861,E42_Identifier,ON070009,TCP_UID,1861
TCPUID_ON006001_1871,E42_Identifier,ON006001,TCP_UID,1871
TCPUID_ON007001_1851,E42_Identifier,ON007001,TCP_UID,1851
TCPUID_ON070001_1861,E42_Identifier,ON070001,TCP_UID,1861
TCPUID_ON007003_1851,E42_Identifier,ON007003,TCP_UID,1851
TCPUID_ON070004_1861,E42_Identifier,ON070004,TCP_UID,1861
TCPUID_ON005002_1871,E42_Identifier,ON005002,TCP_UID,1871
TCPUID_ON164002_1881,E42_Identifier,ON164002,TCP_UID,1881
TCPUID_ON007006_1851,E42_Identifier,ON007006,TCP_UID,1851
TCPUID_ON070006_1861,E42_Identifier,ON070006,TCP_UID,1861
TCPUID_ON005003_1871,E42_Identifier,ON005003,TCP_UID,1871
TCPUID_ON008009_1851,E42_Identifier,ON008009,TCP_UID,1851
TCPUID_ON071011_1861,E42_Identifier,ON071011,TCP_UID,1861
TCPUID_ON001013_1871,E42_Identifier,ON001013,TCP_UID,1871
TCPUID_ON008002_1851,E42_Identifier,ON008002,TCP_UID,1851
TCPUID_ON071002_1861,E42_Identifier,ON071002,TCP_UID,1861
TCPUID_ON001003_1871,E42_Identifier,ON001003,TCP_UID,1871
