dimension_id:ID,:LABEL,value:float,dimension_type
BORDER_DIM_AB001001_AB004001_1911,E54_Dimension,79052.04,length
BORDER_DIM_AB001001_AB003001_1911,E54_Dimension,55134.23,length
BORDER_DIM_AB001001_AB003999_1911,E54_Dimension,9778.51,length
BORDER_DIM_AB001001_AB001017_1911,E54_Dimension,5999.98,length
BORDER_DIM_AB001001_AB001018_1911,E54_Dimension,5999.95,length
BORDER_DIM_AB001001_AB001002_1911,E54_Dimension,48337.56,length
BORDER_DIM_AB001001_AB001006_1911,E54_Dimension,44727.31,length
BORDER_DIM_AB001001_AB001014_1911,E54_Dimension,5999.95,length
BORDER_DIM_AB001001_AB001008_1911,E54_Dimension,5999.95,length
BORDER_DIM_AB001001_AB001016_1911,E54_Dimension,5999.92,length
BORDER_DIM_AB001001_AB001004_1911,E54_Dimension,5999.95,length
BORDER_DIM_AB001001_AB001999_1911,E54_Dimension,78167.19,length
BORDER_DIM_AB001001_AB001007_1911,E54_Dimension,5999.92,length
BORDER_DIM_AB001001_AB001003_1911,E54_Dimension,99284.34,length
BORDER_DIM_AB001001_AB001015_1911,E54_Dimension,5999.94,length
BORDER_DIM_AB001001_AB001009_1911,E54_Dimension,5999.94,length
BORDER_DIM_AB001001_AB001013_1911,E54_Dimension,5999.95,length
BORDER_DIM_AB001001_AB001011_1911,E54_Dimension,3984.82,length
BORDER_DIM_AB001001_AB001005_1911,E54_Dimension,158331.12,length
BORDER_DIM_AB001001_AB005001_1911,E54_Dimension,110177.84,length
BORDER_DIM_AB001002_AB003001_1911,E54_Dimension,28946.26,length
BORDER_DIM_AB001002_AB003999_1911,E54_Dimension,307.38,length
BORDER_DIM_AB001003_AB001999_1911,E54_Dimension,6815.48,length
BORDER_DIM_AB001003_AB001005_1911,E54_Dimension,40467.51,length
BORDER_DIM_AB001005_AB003999_1911,E54_Dimension,43455.51,length
BORDER_DIM_AB001005_AB001999_1911,E54_Dimension,9697.65,length
BORDER_DIM_AB001005_AB001012_1911,E54_Dimension,5999.95,length
BORDER_DIM_AB001005_AB001010_1911,E54_Dimension,5999.97,length
BORDER_DIM_AB001005_AB001011_1911,E54_Dimension,2015.13,length
BORDER_DIM_AB001005_AB005001_1911,E54_Dimension,488.28,length
BORDER_DIM_AB001005_BC009001_1911,E54_Dimension,144497.76,length
BORDER_DIM_AB001005_AB005002_1911,E54_Dimension,102793.62,length
BORDER_DIM_AB001999_AB003999_1911,E54_Dimension,19453.27,length
BORDER_DIM_AB002001_AB006001_1911,E54_Dimension,134427.63,length
BORDER_DIM_AB002001_AB006999_1911,E54_Dimension,32332.32,length
BORDER_DIM_AB002001_AB002006_1911,E54_Dimension,22303.1,length
BORDER_DIM_AB002001_AB002016_1911,E54_Dimension,5999.94,length
BORDER_DIM_AB002001_AB002013_1911,E54_Dimension,5999.98,length
BORDER_DIM_AB002001_AB002018_1911,E54_Dimension,5999.99,length
BORDER_DIM_AB002001_AB002017_1911,E54_Dimension,5999.97,length
BORDER_DIM_AB002001_AB002008_1911,E54_Dimension,5999.97,length
BORDER_DIM_AB002001_AB002007_1911,E54_Dimension,5999.97,length
BORDER_DIM_AB002001_AB002011_1911,E54_Dimension,5999.95,length
BORDER_DIM_AB002001_AB007001_1911,E54_Dimension,101301.06,length
BORDER_DIM_AB002001_AB002015_1911,E54_Dimension,5999.95,length
BORDER_DIM_AB002001_AB002014_1911,E54_Dimension,5999.97,length
BORDER_DIM_AB002001_AB002012_1911,E54_Dimension,6000.0,length
BORDER_DIM_AB002001_AB002010_1911,E54_Dimension,6000.0,length
