dimension_id:ID,:LABEL,value:float,dimension_type
BORDER_DIM_ON182003_ON182005_1881,E54_Dimension,9447.37,length
BORDER_DIM_ON182003_ON182012_1881,E54_Dimension,3786.91,length
BORDER_DIM_ON182003_ON182004_1881,E54_Dimension,10284.63,length
BORDER_DIM_ON182010_ON182011_1881,E54_Dimension,10708.96,length
BORDER_DIM_ON182007_ON182009_1881,E54_Dimension,14455.09,length
BORDER_DIM_ON182007_ON182008_1881,E54_Dimension,22487.79,length
BORDER_DIM_ON182006_ON182007_1881,E54_Dimension,23278.42,length
BORDER_DIM_ON182999_QC098999_1881,E54_Dimension,73278.05,length
BORDER_DIM_ON182009_ON182010_1881,E54_Dimension,8169.17,length
BORDER_DIM_ON182001_ON182002_1881,E54_Dimension,16503.67,length
BORDER_DIM_ON182001_ON182013_1881,E54_Dimension,10147.14,length
BORDER_DIM_ON182001_ON182999_1881,E54_Dimension,15689.0,length
BORDER_DIM_ON182004_ON182005_1881,E54_Dimension,12606.98,length
BORDER_DIM_ON182004_ON182006_1881,E54_Dimension,10762.09,length
BORDER_DIM_ON182004_ON182007_1881,E54_Dimension,441.99,length
BORDER_DIM_ON182005_ON182006_1881,E54_Dimension,9382.89,length
BORDER_DIM_ON182016_ON182999_1881,E54_Dimension,27943.67,length
BORDER_DIM_ON182015_ON182999_1881,E54_Dimension,50030.59,length
BORDER_DIM_ON182026_ON182999_1881,E54_Dimension,30285.25,length
BORDER_DIM_ON182022_ON182023_1881,E54_Dimension,9386.62,length
BORDER_DIM_ON182022_ON182999_1881,E54_Dimension,15085.91,length
BORDER_DIM_ON160001_ON160002_1881,E54_Dimension,13279.25,length
BORDER_DIM_ON160001_ON160004_1881,E54_Dimension,1459.96,length
BORDER_DIM_ON160001_ON160003_1881,E54_Dimension,14396.51,length
BORDER_DIM_ON159002_ON165004_1881,E54_Dimension,8306.7,length
BORDER_DIM_ON159002_ON159003_1881,E54_Dimension,8894.14,length
BORDER_DIM_ON159002_ON165006_1881,E54_Dimension,11506.81,length
BORDER_DIM_ON159002_ON159004_1881,E54_Dimension,10856.45,length
BORDER_DIM_ON159002_ON166007_1881,E54_Dimension,14725.71,length
BORDER_DIM_ON160003_ON160004_1881,E54_Dimension,7408.74,length
BORDER_DIM_ON160003_ON166007_1881,E54_Dimension,10393.68,length
BORDER_DIM_ON160003_ON161002_1881,E54_Dimension,19941.1,length
BORDER_DIM_ON159005_ON160002_1881,E54_Dimension,21098.77,length
BORDER_DIM_ON159003_ON159004_1881,E54_Dimension,14542.51,length
BORDER_DIM_ON159004_ON159005_1881,E54_Dimension,7970.17,length
BORDER_DIM_ON159004_ON160002_1881,E54_Dimension,11157.4,length
BORDER_DIM_ON159004_ON160001_1881,E54_Dimension,26573.53,length
BORDER_DIM_ON159004_ON160004_1881,E54_Dimension,2752.1,length
BORDER_DIM_ON159004_ON160003_1881,E54_Dimension,4181.34,length
BORDER_DIM_ON159001_ON159004_1881,E54_Dimension,6065.93,length
BORDER_DIM_ON159001_ON160001_1881,E54_Dimension,11508.64,length
BORDER_DIM_ON109006_ON110008_1881,E54_Dimension,11126.92,length
BORDER_DIM_ON109006_ON110010_1881,E54_Dimension,13116.98,length
BORDER_DIM_ON109005_ON109006_1881,E54_Dimension,1116.2,length
BORDER_DIM_ON177006_ON177999_1881,E54_Dimension,11437.23,length
BORDER_DIM_ON177006_ON177007_1881,E54_Dimension,15831.87,length
BORDER_DIM_ON177005_ON177009_1881,E54_Dimension,5999.91,length
BORDER_DIM_ON177005_ON177006_1881,E54_Dimension,12496.39,length
BORDER_DIM_ON177002_ON177013_1881,E54_Dimension,17067.56,length
BORDER_DIM_ON177002_ON177003_1881,E54_Dimension,13690.88,length
BORDER_DIM_ON177002_ON177011_1881,E54_Dimension,5999.92,length
BORDER_DIM_ON177002_ON177004_1881,E54_Dimension,3022.27,length
BORDER_DIM_ON177002_ON177005_1881,E54_Dimension,17652.98,length
