appellation_id:ID,:LABEL,name,type,tcpuid,notes,year
APP_PE136001_1901_VARIANT,E41_Appellation,"Charlottetown, City & Royalty",variant,PE136001,"OCR variant of ""Charlottetown Royalty""",1901.0
APP_PE136002_CANONICAL,E41_Appellation,Township No. 20,canonical,PE136002,Canonical name for PE136002 (OCR corrected),
APP_PE136002_1901_VARIANT,E41_Appellation,Township 20,variant,PE136002,"OCR variant of ""Township No. 20""",1901.0
APP_PE136003_CANONICAL,E41_Appellation,Township No. 21,canonical,PE136003,Canonical name for PE136003 (OCR corrected),
APP_PE136003_1901_VARIANT,E41_Appellation,Township 21,variant,PE136003,"OCR variant of ""Township No. 21""",1901.0
APP_PE136004_CANONICAL,E41_Appellation,Township No. 22,canonical,PE136004,Canonical name for PE136004 (OCR corrected),
APP_PE136004_1901_VARIANT,E41_Appellation,Township 22,variant,PE136004,"OCR variant of ""Township No. 22""",1901.0
APP_PE136005_CANONICAL,E41_Appellation,Township No. 23,canonical,PE136005,Canonical name for PE136005 (OCR corrected),
APP_PE136005_1901_VARIANT,E41_Appellation,Township 23,variant,PE136005,"OCR variant of ""Township No. 23""",1901.0
APP_PE136007_CANONICAL,E41_Appellation,Township No. 29,canonical,PE136007,Canonical name for PE136007 (OCR corrected),
APP_PE136007_1901_VARIANT,E41_Appellation,Township 32,variant,PE136007,"OCR variant of ""Township No. 29""",1901.0
APP_PE997999_CANONICAL,E41_Appellation,NO DATA,canonical,PE997999,Canonical name for PE997999 (OCR corrected),
APP_QC037005_CANONICAL,E41_Appellation,Sherrington,canonical,QC037005,Canonical name for QC037005 (OCR corrected),
APP_QC037005_1921_VARIANT,E41_Appellation,Harrington,variant,QC037005,"OCR variant of ""Sherrington""",1921.0
APP_QC048999_CANONICAL,E41_Appellation,NO DATA,canonical,QC048999,Canonical name for QC048999 (OCR corrected),
APP_QC069999_CANONICAL,E41_Appellation,NO DATA,canonical,QC069999,Canonical name for QC069999 (OCR corrected),
APP_QC080999_CANONICAL,E41_Appellation,NO DATA,canonical,QC080999,Canonical name for QC080999 (OCR corrected),
APP_QC096003_CANONICAL,E41_Appellation,Chatham,canonical,QC096003,Canonical name for QC096003 (OCR corrected),
APP_QC137001_CANONICAL,E41_Appellation,Arundel,canonical,QC137001,Canonical name for QC137001 (OCR corrected),
APP_QC137002_CANONICAL,E41_Appellation,"Carillon, Village",canonical,QC137002,Canonical name for QC137002 (OCR corrected),
APP_QC137003_CANONICAL,E41_Appellation,Chatham,canonical,QC137003,Canonical name for QC137003 (OCR corrected),
APP_QC137010_CANONICAL,E41_Appellation,Mille Isles,canonical,QC137010,Canonical name for QC137010 (OCR corrected),
APP_QC137010_1901_VARIANT,E41_Appellation,Mille Iles,variant,QC137010,"OCR variant of ""Mille Isles""",1901.0
APP_QC138002_CANONICAL,E41_Appellation,St. André,canonical,QC138002,Canonical name for QC138002 (OCR corrected),
APP_QC140001_CANONICAL,E41_Appellation,"Beauharnois, Town—Ville",canonical,QC140001,Canonical name for QC140001 (OCR corrected),
APP_QC141009_CANONICAL,E41_Appellation,St. Michel,canonical,QC141009,Canonical name for QC141009 (OCR corrected),
APP_QC141010_CANONICAL,E41_Appellation,St. Néré,canonical,QC141010,Canonical name for QC141010 (OCR corrected),
APP_QC141010_1901_VARIANT,E41_Appellation,St. Nérée,variant,QC141010,"OCR variant of ""St. Néré""",1901.0
APP_QC141012_CANONICAL,E41_Appellation,St. Raphaël,canonical,QC141012,Canonical name for QC141012 (OCR corrected),
APP_QC141013_CANONICAL,E41_Appellation,St. Valier ,canonical,QC141013,Canonical name for QC141013 (OCR corrected),
APP_QC141013_1901_VARIANT,E41_Appellation,St. Valier,variant,QC141013,"OCR variant of ""St. Valier """,1901.0
APP_QC142999_CANONICAL,E41_Appellation,NO DATA,canonical,QC142999,Canonical name for QC142999 (OCR corrected),
APP_QC143999_CANONICAL,E41_Appellation,NO DATA,canonical,QC143999,Canonical name for QC143999 (OCR corrected),
APP_QC145009_CANONICAL,E41_Appellation,St. Bruno,canonical,QC145009,Canonical name for QC145009 (OCR corrected),
APP_QC145010_CANONICAL,E41_Appellation,St. Hubert,canonical,QC145010,Canonical name for QC145010 (OCR corrected),
APP_QC145011_CANONICAL,E41_Appellation,St. Lambert,canonical,QC145011,Canonical name for QC145011 (OCR corrected),
