:START_ID,:END_ID,:TYPE,type
NB015002,APP_NB015002_CANONICAL,P1_is_identified_by,canonical_name
NB022005,APP_NB022005_CANONICAL,P1_is_identified_by,canonical_name
NB022007,APP_NB022007_CANONICAL,P1_is_identified_by,canonical_name
NB023011,APP_NB023011_CANONICAL,P1_is_identified_by,canonical_name
NB023012,APP_NB023012_CANONICAL,P1_is_identified_by,canonical_name
NB023013,APP_NB023013_CANONICAL,P1_is_identified_by,canonical_name
NB028999,APP_NB028999_CANONICAL,P1_is_identified_by,canonical_name
NB032003,APP_NB032003_CANONICAL,P1_is_identified_by,canonical_name
NB032004,APP_NB032004_CANONICAL,P1_is_identified_by,canonical_name
NB036008,APP_NB036008_CANONICAL,P1_is_identified_by,canonical_name
NB036009,APP_NB036009_CANONICAL,P1_is_identified_by,canonical_name
NB036010,APP_NB036010_CANONICAL,P1_is_identified_by,canonical_name
NB036011,APP_NB036011_CANONICAL,P1_is_identified_by,canonical_name
NB036013,APP_NB036013_CANONICAL,P1_is_identified_by,canonical_name
NB036014,APP_NB036014_CANONICAL,P1_is_identified_by,canonical_name
NB995999,APP_NB995999_CANONICAL,P1_is_identified_by,canonical_name
NL998999,APP_NL998999_CANONICAL,P1_is_identified_by,canonical_name
NL999999,APP_NL999999_CANONICAL,P1_is_identified_by,canonical_name
NS004999,APP_NS004999_CANONICAL,P1_is_identified_by,canonical_name
NS010999,APP_NS010999_CANONICAL,P1_is_identified_by,canonical_name
NS013999,APP_NS013999_CANONICAL,P1_is_identified_by,canonical_name
NS016999,APP_NS016999_CANONICAL,P1_is_identified_by,canonical_name
NS020013,APP_NS020013_CANONICAL,P1_is_identified_by,canonical_name
NS020999,APP_NS020999_CANONICAL,P1_is_identified_by,canonical_name
NS026001,APP_NS026001_CANONICAL,P1_is_identified_by,canonical_name
NS026002,APP_NS026002_CANONICAL,P1_is_identified_by,canonical_name
NS026003,APP_NS026003_CANONICAL,P1_is_identified_by,canonical_name
NS026004,APP_NS026004_CANONICAL,P1_is_identified_by,canonical_name
NS026005,APP_NS026005_CANONICAL,P1_is_identified_by,canonical_name
NS026006,APP_NS026006_CANONICAL,P1_is_identified_by,canonical_name
NS026007,APP_NS026007_CANONICAL,P1_is_identified_by,canonical_name
NS026008,APP_NS026008_CANONICAL,P1_is_identified_by,canonical_name
NS026010,APP_NS026010_CANONICAL,P1_is_identified_by,canonical_name
NS026011,APP_NS026011_CANONICAL,P1_is_identified_by,canonical_name
NS026012,APP_NS026012_CANONICAL,P1_is_identified_by,canonical_name
NS026013,APP_NS026013_CANONICAL,P1_is_identified_by,canonical_name
NS026014,APP_NS026014_CANONICAL,P1_is_identified_by,canonical_name
NS026015,APP_NS026015_CANONICAL,P1_is_identified_by,canonical_name
NS026016,APP_NS026016_CANONICAL,P1_is_identified_by,canonical_name
NS026017,APP_NS026017_CANONICAL,P1_is_identified_by,canonical_name
NS026018,APP_NS026018_CANONICAL,P1_is_identified_by,canonical_name
NS026019,APP_NS026019_CANONICAL,P1_is_identified_by,canonical_name
NS026020,APP_NS026020_CANONICAL,P1_is_identified_by,canonical_name
NS026021,APP_NS026021_CANONICAL,P1_is_identified_by,canonical_name
NS026022,APP_NS026022_CANONICAL,P1_is_identified_by,canonical_name
NS026023,APP_NS026023_CANONICAL,P1_is_identified_by,canonical_name
NS026024,APP_NS026024_CANONICAL,P1_is_identified_by,canonical_name
NS026025,APP_NS026025_CANONICAL,P1_is_identified_by,canonical_name
NS026026,APP_NS026026_CANONICAL,P1_is_identified_by,canonical_name
NS026028,APP_NS026028_CANONICAL,P1_is_identified_by,canonical_name
NS029012,APP_NS029012_CANONICAL,P1_is_identified_by,canonical_name
NS029018,APP_NS029018_CANONICAL,P1_is_identified_by,canonical_name
NS029021,APP_NS029021_CANONICAL,P1_is_identified_by,canonical_name
NS029022,APP_NS029022_CANONICAL,P1_is_identified_by,canonical_name
NS030001,APP_NS030001_CANONICAL,P1_is_identified_by,canonical_name
NS032001,APP_NS032001_CANONICAL,P1_is_identified_by,canonical_name
NS032002,APP_NS032002_CANONICAL,P1_is_identified_by,canonical_name
NS032003,APP_NS032003_CANONICAL,P1_is_identified_by,canonical_name
NS032004,APP_NS032004_CANONICAL,P1_is_identified_by,canonical_name
NS032010,APP_NS032010_CANONICAL,P1_is_identified_by,canonical_name
NS032011,APP_NS032011_CANONICAL,P1_is_identified_by,canonical_name
NS032012,APP_NS032012_CANONICAL,P1_is_identified_by,canonical_name
NS032013,APP_NS032013_CANONICAL,P1_is_identified_by,canonical_name
NS032014,APP_NS032014_CANONICAL,P1_is_identified_by,canonical_name
NS032015,APP_NS032015_CANONICAL,P1_is_identified_by,canonical_name
NS033001,APP_NS033001_CANONICAL,P1_is_identified_by,canonical_name
NS033002,APP_NS033002_CANONICAL,P1_is_identified_by,canonical_name
NS033003,APP_NS033003_CANONICAL,P1_is_identified_by,canonical_name
NS033004,APP_NS033004_CANONICAL,P1_is_identified_by,canonical_name
NS033005,APP_NS033005_CANONICAL,P1_is_identified_by,canonical_name
NS033006,APP_NS033006_CANONICAL,P1_is_identified_by,canonical_name
NS037999,APP_NS037999_CANONICAL,P1_is_identified_by,canonical_name
NS039999,APP_NS039999_CANONICAL,P1_is_identified_by,canonical_name
NS041016,APP_NS041016_CANONICAL,P1_is_identified_by,canonical_name
NS043999,APP_NS043999_CANONICAL,P1_is_identified_by,canonical_name
NS044999,APP_NS044999_CANONICAL,P1_is_identified_by,canonical_name
NS045999,APP_NS045999_CANONICAL,P1_is_identified_by,canonical_name
NS046999,APP_NS046999_CANONICAL,P1_is_identified_by,canonical_name
NS047999,APP_NS047999_CANONICAL,P1_is_identified_by,canonical_name
NS050999,APP_NS050999_CANONICAL,P1_is_identified_by,canonical_name
NS052999,APP_NS052999_CANONICAL,P1_is_identified_by,canonical_name
NS053999,APP_NS053999_CANONICAL,P1_is_identified_by,canonical_name
NS996999,APP_NS996999_CANONICAL,P1_is_identified_by,canonical_name
ON038007,APP_ON038007_CANONICAL,P1_is_identified_by,canonical_name
PE001001,APP_PE001001_CANONICAL,P1_is_identified_by,canonical_name
PE001002,APP_PE001002_CANONICAL,P1_is_identified_by,canonical_name
PE001003,APP_PE001003_CANONICAL,P1_is_identified_by,canonical_name
PE001004,APP_PE001004_CANONICAL,P1_is_identified_by,canonical_name
PE001005,APP_PE001005_CANONICAL,P1_is_identified_by,canonical_name
PE001006,APP_PE001006_CANONICAL,P1_is_identified_by,canonical_name
PE001007,APP_PE001007_CANONICAL,P1_is_identified_by,canonical_name
PE001008,APP_PE001008_CANONICAL,P1_is_identified_by,canonical_name
PE001009,APP_PE001009_CANONICAL,P1_is_identified_by,canonical_name
PE001011,APP_PE001011_CANONICAL,P1_is_identified_by,canonical_name
PE001012,APP_PE001012_CANONICAL,P1_is_identified_by,canonical_name
PE001013,APP_PE001013_CANONICAL,P1_is_identified_by,canonical_name
PE001014,APP_PE001014_CANONICAL,P1_is_identified_by,canonical_name
PE001015,APP_PE001015_CANONICAL,P1_is_identified_by,canonical_name
PE001016,APP_PE001016_CANONICAL,P1_is_identified_by,canonical_name
PE001018,APP_PE001018_CANONICAL,P1_is_identified_by,canonical_name
PE001019,APP_PE001019_CANONICAL,P1_is_identified_by,canonical_name
PE001020,APP_PE001020_CANONICAL,P1_is_identified_by,canonical_name
